word,part_of_speech,meaning,example,example_meaning,definition,ID
diversity,noun,loại khác nhau,"There is a diverse array of types, each differently identified depending on their coat color.","Có một loạt các loại ngựa với sắc màu khác nhau , mỗi loại khác nhau được xác định tùy thuộc vào màu lông của chúng.",The quality of being diverse or different; difference or unlikeness.,5783
eliminate,verb,loại trừ,"However, this does not eliminate our responsibility in the plan.","Tuy nhiên, điều này không loại trừ trách nhiệm của chúng ta trong kế hoạch.",(transitive) To completely destroy (something) so that it no longer exists.,5784
emphasize,verb,nhấn mạnh,"I made out a special card for him, emphasizing his strengths.",Tôi làm một bản đặc biệt cho nó và nhấn mạnh đến các ưu điểm của nó.,"(transitive) To stress, give emphasis or extra weight to (something).",5785
dubious,adjective,đáng ngờ,And to what do I owe this dubious pleasure?,Vì cớ gì mà tớ lại mắc nợ cái cái sự khoan khoái đáng ngờ thế này chứ?,Arousing doubt; questionable; open to suspicion.,5786
facsimile,noun,bản sao,In 1984 a limited facsimile edition was printed.,Một số bản sao có giới hạn được ấn hành năm 1984.,A copy or reproduction.,5787
trellis,noun,lưới mắt cáo,"Water towers can be surrounded by ornate coverings including fancy brickwork, a large ivy-covered trellis or they can be simply painted.","Tháp nước có thể được bao quanh bởi các tấm phủ trang trí công phu bao gồm ưa thích gạch, một lớn ivy bao phủ Trellis | lưới mắt cáo hoặc có thể chỉ đơn giản là vẽ.",An outdoor garden frame which can be used for partitioning a common area.,5788
jargon,noun,biệt ngữ,"Its name is derived from ""ogging"", jargon from the computer game Netrek.","Tên của nó bắt nguồn từ ""ogging"", biệt ngữ từ trò chơi máy tính Netrek.",(uncountable) A technical terminology unique to a particular subject.,5789
burlesque,adjective,hài hước,"For the next twenty years, Franquin largely reinvented the strip, creating longer, more elaborate storylines and a large gallery of burlesque characters.","Trong suốt 20 năm, Franquin đã sáng tạo lại phần lớn bộ truyện, tạo ra những kịch bản dài hơn, công phu hơn và một loạt các nhân vật hài hước mới.",parodical,5790
posit,verb,đặt,Why would they have taken the trouble... to position the bodies like that?,Tại sao họ lại mất công để đặt những cái xác trong tư thế đó?,Something that is posited; a postulate.,5791
quibble,verb,lý sự cùn,How dare you quibble ?,Còn dám cãi ?,"A trivial or minor complaint, objection or argument.",5792
gauche,adjective,vụng về,This is the first time I've seen you be so gauche .,Đây là lần đầu tiên anh thấy em vụng về như vậy.,Awkward or lacking in social graces; bumbling.,5793
trespass,verb,xâm phạm,I think three little trespassers met the vengeful blade of the tribe.,Tôi nghĩ ba kẻ xâm phạm nhỏ gặp lưỡi dao trả thù của bộ tộc.,(1290) sin,5794
parish,noun,giáo xứ,The city and parish economy continued to be based on agriculture into the early 20th century.,Kinh tế thành phố và giáo xứ tiếp tục dựa trên nền nông nghiệp vào đầu thế kỷ 20.,"In the Anglican, Eastern Orthodox and Catholic Church or certain civil government entities such as the state of Louisiana, an administrative part of a diocese that has its own church.",5795
bland,adjective,nhạt nhẽo,It runs a risk of being completely bland .,Nó đã có thể trở nên nhạt nhẽo .,"(now rare) Mild; soft, gentle, balmy; smooth in manner; suave.",5796
indistinguishable,adjective,không thể phân biệt được,"He had, in essence, become indistinguishable from His Father.",Ngài chủ yếu trở nên không thể phân biệt được với Cha Ngài.,"Not distinguishable; not capable of being perceived, known, or discriminated as separate and distinct",5797
invariably,adverb,luôn,"Bereaved relatives invariably ask themselves, “Where are the dead?”",Gia quyến của người quá cố luôn luôn tự hỏi: “Người chết ở đâu?”,Every time; always. Without change.,5798
enormity,noun,sự khổng lồ,And it was huge — it was absolutely enormous .,Và chúng thật lớn — thật sự khổng lồ .,"(uncountable) Extreme wickedness, nefariousness.",5799
cummerbund,noun,khăn thắt lưng,"Well, I cranked my cummerbund down really hard over my hand, and I simply swam away.","Tôi quấn tay thật chặt bằng khăn thắt lưng , và bơi ra khỏi đó.","A broad sash, especially one that is pleated lengthwise and worn as an article of formal dress, as with a tuxedo or dinner jacket.",5800
conquistador,noun,Conquistador,"Also known as the Florida Scrub or just as the Cracker cow, these cattle are one of the criollo-type breeds originally brought to the Southern U.S. by the Spanish Conquistadors .","Ngoài tên gọi trên, giống bò này còn được gọi là Florida Scrub hoặc bò Cracker, những con bò này là một trong những giống bò criollo ban đầu được mang đến miền Nam Hoa Kỳ bởi các Conquistador Tây Ban Nha.","A conqueror, but especially one of the Spanish soldiers that invaded Central and South America in the 16th century and defeated the Incas and Aztecs",5801
catechism,noun,bản câu hỏi,A bit of catechism .,Một ít câu hỏi .,"A book, in question and answer form, summarizing the basic principles of Christianity.",5802
alma mater,noun,học hiệu,The old Alma mater hasn't changed a lick.,Ngôi trường này không hề thay đổi chút nào.,A school or college from which an individual has graduated or which he has attended.,5803
consul,noun,lãnh sự,That's the consulate .,Nếu đó là lãnh sự quán thì làm sao họ biết điều đó?,An official residing in a foreign country in order to protect the interests of citizens from his or her nation.,5804
earmark,verb,dành,"$ 724,000 is all I've got and it's earmarked .",Tôi chỉ có 724.000 đô và chúng được để dành cho mục đích khác.,(transitive) To specify or set aside for a particular purpose.,5805
illustrious,adjective,nổi tiếng,"However, he refers to ""those two illustrious Coloni, his relatives.""","Tuy nhiên, ông coi ""hai người Coloni nổi tiếng đó, là họ hàng của ông.""",dignified,5806
hitherto,adverb,cho đến nay,Hitherto this commission has met twice a year.,"Cho đến nay , ủy ban này họp hai lần trong một năm.",(formal or law) Up to this or that time.,5807
chalet,noun,biệt thự nhỏ,"By 1926, the monument had a chalet and seven two-bedroom cabins.","Đến năm 1926, đài tưởng niệm có một biệt thự nhỏ và 7 nhà thô sơ hai phòng.",Alternative form of chalet.,5808
rudiment,noun,cơ quan thô sơ,Enter Rudimental feat.,Nhập Rudimental feat.,"A fundamental principle or skill, especially in a field of learning (often in the plural).",5809
venial,adjective,bỏ qua được,"A venial sin, perhaps.",Tội nhẹ có thể tha thứ.,Pardonable; able to be forgiven.,5810
delve,verb,nghiên cứu sâu,"And in the next video, I'll delve into this, and a little bit more.","Và ở video tiếp theo, tôi sẽ nghiên cứu sâu hơn, và nhiều hơn nữa.","(intransitive) To dig the ground, especially with a shovel.",5811
tryst,verb,hẹn hò,Did you tell me about the secret trysts in Hyde Park?,Con có chịu nói cho Dì nghe về những cuộc hẹn hò bí mật ở Hyde Park chưa?,"A prearranged meeting or assignation, now especially between lovers to meet at a specific place and time.",5812
afield,adverb,ra ruộng,Moving Further Afield,Tiến tới trong công việc rao giảng,Digressing from the topic at hand.,5813
forgo,verb,bỏ,He had to forgo all the farm activities.,Ông phải từ bỏ mọi hoạt động trên nông trại.,To let pass.,5814
propound,verb,đề xuất,"Over the centuries leading up to our Common Era, men such as Socrates, Plato, and Aristotle propounded the philosophies that made them famous.","Qua nhiều thế kỷ trước công nguyên, những người như Socrates, Plato và Aristotle đã nổi danh nhờ những triết lý họ đề xuất .",To put forward; to offer for discussion or debate.,5815
undermine,verb,làm suy yếu,"Thus, belief in fate undermines the notion of personal responsibility.","Như thế, niềm tin nơi định mệnh làm suy yếu đi khái niệm về trách nhiệm cá nhân.","To dig, tunnel, hollow out as if making a cave or opening.",5816
wryly,adverb,xỏ xiên,They've got that wryly smile on their mouth.,Miệng chúng có kiểu cười ghê tởm.,In a wry manner.,5817
doting,adjective,lẩm cẩm,He dotes on you.,Ông ấy thích 2 người đấy,Present participle of dote.,5818
unsavory,adjective,bại hoại,An unsavory entrapment.,Một sự gài bẫy vô đạo đức.,Not savory; without flavor.,5819
aboveboard,adjective,không che đậy,I'm sure it was all aboveboard .,Tôi chắc nó đều không hề mờ ám .,"Above the board or table. Hence: in open sight; without trick, concealment, or deception.",5820
anathema,noun,ghét đắng,"(Acts 23:9) The very suggestion that an angel might have spoken to Paul was anathema to the Sadducees, who did not believe in angels!","Người Sa-đu-sê ghét cay ghét đắng cái ý tưởng cho rằng một thiên sứ đã nói với Phao-lô, vì họ không tin có thiên sứ!","A ban or curse pronounced with religious solemnity by ecclesiastical authority, often accompanied by excommunication; denunciation of anything as accursed.",5821
comestible,adjective,có thể ăn được,Whence comest thou?,Ngươi comest Từ đâu đến?,(chiefly in the plural) Anything that can be eaten; food,5822
harried,adjective,bị quấy rầy,"Well done, Harry .","Hay lắm Harry , Giỏi lắm!",Rushed; panicked; overly busy or preoccupied.,5824
linchpin,noun,chốt sắt hình S,"Hero, weapon... linchpin of our national security... deterrent to nuclear war, or a man to end worlds.","Anh hùng, vũ khí người then chốt bảo vệ an ninh quốc gia ngăn cản chiến tranh hạt nhân, hoặc để phá hủy thế giới.","a pin inserted through holes at the end of an axle, so as to secure a wheel",5825
atmospheric,adjective,thuộc khí quyển,Their rotting corpses heating our atmosphere .,Những cái xác thối rữa nung nóng bầu khí quyển của chúng ta.,"Of, relating to, produced by, or coming from the atmosphere.",5826
authoritarian,adjective,độc tài,So why do economists fall in love with authoritarian governments?,Vậy tại sao các nhà kinh tế lại yêu chế độ độc tài ?,"Of, or relating to, absolute obedience to an authority.",5827
circumference,verb,chu vi vòng tròn,Pi represents the ratio of the circumference of a circle to its diameter.,Pi biểu thị tỉ số giữa chu vi vòng tròn và đường kính của nó.,(geometry) The line that bounds a circle or other two-dimensional figure,5828
diagnosis,noun,chẩn đoán,A diagnosis that provides neither an explanation nor a cure is by definition not a diagnosis .,Chẩn đoán mà không có giải thích hay cách chữa trị thì không phải là chẩn đoán .,(medicine) The identification of the nature and cause of an illness.,5829
longitudinal,noun,theo chiều dọc dọc,It often has a streak of bright orange running longitudinally .,Nó thường có một vệt màu cam sáng chạy theo chiều dọc .,"Relating to length, or to longitude.",5830
retaliation,noun,sự trả đũa,Do you have any idea what your spiteful retaliation did to my son?,Anh có biết sự trả đũa ác ý của anh đã làm gì con trai tôi không?,Violent response to an act of harm or perceived injustice.,5831
cobbler,noun,vá,"The company founder, Joseph William Foster, was born in 1881 and trained as a cobbler .","Người sáng lập ra công ty là Joseph William Foster, ông sinh năm 1881, được nuôi lớn và dạy dỗ để trở thành một người thợ vá giày.",A person who repairs shoes.,5832
deprivation,noun,sự tước đoạt,"And back here in the United States, we saw economic despair, deprivation .","Và trở lại đây, nước Mỹ, chúng ta thấy sự tước đoạt kinh tế lẫn nỗi tuyệt vọng.","(countable) The act of depriving, dispossessing, or bereaving; the act of deposing or divesting of some dignity.",5833
erosion,noun,sự xói mòn,and do something about the erosion of topsoils and the quality of water.,và làm được điều gì đó về sự xói mòn lớp đất mặt và chất lượng nước.,"(uncountable) The result of having been being worn away or eroded, as by a glacier on rock or the sea on a cliff face",5834
pollinator,noun,thụ phấn,Aborting pollination and nectar detail.,Hủy quá trình thụ phấn và lấy mật hoa.,(biology) the agent that pollinates a plant; often an insect,5835
restoration,noun,sự khôi phục,"Yet, that restoration took place on a relatively small scale.",Nhưng đó chỉ là một sự khôi phục trên một phạm vi tương đối nhỏ.,"the return of a former monarchy or monarch to power, usually after having been forced to step down",5836
yolk,noun,lòng đỏ trứng,Well they both have a egg yolk and butter base.,"Well, cả 2 đều có lòng đỏ trứng gà và bơ nền.","The yellow, spherical part of an egg that is surrounded by the white albumen, and serves as nutriment for the growing young.",5838
allergic,noun,dị ứng,Penicillin allergy explains the allergic reaction much better.,Dị ứng penicillin giải thích các phản ứng dị ứng tốt hơn.,Of or pertaining to allergy.,5839
bypass,verb,bỏ qua,Bypassing override!,Bỏ qua ghi đè!,"a road that passes around something, such as a residential area",5840
ecosystem,noun,hệ sinh thái,"If there's a water pocket, there's a possibility of an ecosystem .","Nếu có túi nước ở đó, có thể có một hệ sinh thái .",A system formed by an ecological community and its environment that functions as a unit.,5841
mortality,noun,số tử vong,"For more on the debate over mortality rates, see: Hatcher, John (1977).","537, 581. ^ Để biết thêm thông tin về con số tử vong , xem: Hatcher, John (1977).",The condition of being susceptible to death,5842
tease,verb,trêu,Never tease dogs or pull their tails or ears .,"Không bao giờ trêu chọc hoặc kéo đuôi , tai của chó .",One who teases.,5843
assassination,noun,ám sát,Including the man responsible for the assassination of my sister.,Cả người đứng sau vụ ám sát chị tôi.,"The murder of a person, especially for political reasons or for personal gain.",5844
cease-fire,noun,lệnh ngừng bắn,1949 – United Nations cease - fire takes effect in Kashmir from one minute before midnight.,1949 - Lệnh ngừng bắn của Liên Hiệp Quốc có hiệu lực tại Kashmir trước nửa đêm.,alternative spelling of ceasefire,5845
detonate,verb,làm nổ,Detonate the vest.,Cho nổ chiếc áo đó.,"(intransitive): To explode; to blow up. Specifically, to combust supersonically via shock compression.",5846
duet,verb,bản song tấu,So basically I'm going to make a duet .,Về cơ bản tôi sẽ làm một bản song tấu .,"(music) A musical composition in two parts, each performed by a single voice (singer, instrument or univoce ensemble).",5847
frostbite,verb,tê cóng,It's like third-degree frostbite .,Nó như bị tê cóng mức độ thứ ba.,"The freezing, or effect of a freezing, of some part of the body.",5848
sequoia,noun,cây cù tùng,A towering sequoia can even withstand a powerful earthquake.,Một cây cù tùng khổng lồ có thể thậm chí đứng vững trong một trận động đất khủng khiếp.,"Sequoiadendron giganteum, a coniferous evergreen tree formerly in the genus Sequoia.",5849
simulator,noun,thiết bị mô phỏng,we've been studying fly behaviors in little flight simulators .,Chúng tôi đã nghiên cứu hành vi của ruồi trong những thiết bị mô phỏng bay nhỏ bé,"Anything which simulates, but especially a machine or system which simulates an environment (such as an aircraft cockpit) for training purposes.",5850
start-up,noun,sự khởi động,He started up in alarm .,Ông hoảng hốt bật dậy .,Alternative spelling of startup.,5851
uniform,adjective,quân phục,Officers of the navy wear white uniforms .,Sĩ quan hải quân mặc quân phục màu trắng.,Unvarying; all the same.,5852
brittle,adjective,giòn,"Without D , your bones can become brittle and weak .","Nếu không có vitamin D , xương của bạn có thể trở nên giòn và yếu .","Inflexible, may break or snap easily under stress or pressure.",5854
foreshadowing,adjective,tiên đoán,□ What was foreshadowed by the “conspiracy” of Isaiah 8:12?,□ Mưu đồ “kết đảng” ghi nơi Ê-sai 8:12 hình dung trước cho điều gì?,Present participle of foreshadow.,5855
scandalous,adjective,nhục nhã,It will be a great scandal if you don't keep your word.,Sẽ là một sự nhục nhã nếu anh không giữ lời hứa đấy.,"wrong, immoral, causing a scandal",5856
abomination,noun,sự ghê tởm,This was abomination .,Đấy chính là sự ghê tởm .,"The feeling of extreme disgust and hatred; abhorrence; detestation; loathing; as, he holds tobacco in abomination.",5857
genocide,verb,diệt chủng,"Well, I'm going to kill a few, but there won't be any genocide .","Tôi sẽ giết vài con, nhưng không đến mức diệt chủng .","The systematic killing of substantial numbers of people on the basis of ethnicity, religion, political opinion, social status, or other particularity.",5858
misshapen,adjective,méo mó,"“He won’t mind starting in this small, misshapen body.”","“Hắn cũng sẽ không bận tâm bắt đầu trong thân thể nhỏ bé, méo mó này.”",Having a bad or ugly form; deformed; malformed.,5859
flashback,verb,cảnh hồi tưởng,Can't wait around for my next psychedelic flashback .,Tôi không thể đợi cảnh hồi tưởng tiếp theo của tôi.,"(psychology) a vivid mental image of a past trauma, especially one that recurs",5860
usurp,verb,chiếm đoạt,To speak to the usurper .,Nói chuyện với tên chiếm đoạt,"To seize power from another, usually by illegitimate means.",5861
enticing,adjective,hấp dẫn,And so for me that was the thing that was so enticing .,Và đối với tôi thì đó là một điều hết sức hấp dẫn .,That entices; alluring; attracting; charming.,5862
belle,noun,hoa khôi,TWO BELL .,Lúc 2 giờ .,An attractive woman.,5863
obscene,adjective,tục tĩu,It's obscene .,Nó tục tĩu .,Offensive to current standards of decency or morality,5864
venue,noun,nơi gặp gỡ,"Another historical museum is the House of Terror, hosted in the building that was the venue of the Nazi Headquarters.","Một bảo tàng lịch sử khác là House of Terror, bên trong tòa nhà là nơi gặp gỡ của tổng hành dinh Nazi.","A place, especially the one where a given event is to happen.",5865
assertive,adjective,xác nhận,Modem asserts CD line,Bộ điều giải xác nhận dòng CD,boldly self-assured; aggressively confident; cocky,5867
persistence,noun,bền bỉ,"If we persist in that work, our spiritual stores of supply will be filled with plenty.","Nếu bền bỉ trong công việc này, vựa lẫm thiêng liêng của chúng ta sẽ đầy dư dật.",The property of being persistent.,5868
captivating,adjective,làm say đắm,"""Syrian Soap Opera Captivates Arab World"".",Ngày 17 tháng 8 năm 2012. ^ “Syrian Soap Opera Captivates Arab World (Phim truyền hình Syria làm say đắm các nước Ả Rập)”.,Present participle of captivate.,5869
deja vu,noun,từ ngữ tiếng Pháp,deja vu .,Vẫn thế đấy .,Alternative spelling of [i]déjà vu[/i].,5870
legend,noun,truyền thuyết,Legends say that he was also the first king of Siam.,Truyền thuyết nói rằng ông cũng là vị vua đầu tiên của nước Xiêm cổ đại.,A story of unknown origin describing plausible but extraordinary past events. Also historical legend.,5871
parallax,noun,thị sai,It wasn't until the 19th century that scientists were able to detect the stellar parallax .,Cho đến thế kỷ 19 các nhà khoa học mới có thể phát hiện ra thị sai sao.,"The change of angular position of two stationary points relative to each other as seen by an observer, due to the motion of an observer",5872
orbit,noun,quỹ đạo,"We've been accelerating at one "" G "" ever since we left orbit .",Chúng ta đã tăng gia tốc trọng lực khi chúng ta rời khỏi quỹ đạo,A circular or elliptical path of one object around another object.,5873
elliptical,noun,bầu dục,It goes up delivers the capsule into an elliptical orbit.,"Bay lên, đẩy thân tàu vào quỹ đạo hình bầu dục .",In a shape reminding of an ellipse; oval.,5874
nomad,noun,du cư,"They're tight-knit and nomadic like our unsubs, but not usually prone to violence.","Họ gắn bó chặt chẽ và du cư như hung thủ của ta, nhưng thường không bạo lực.","a member of a group of people who, having no fixed home, move around seasonally in search of food, water and grazing etc.",5875
drowsy,adjective,buồn ngủ,I think you're getting a bit drowsy .,Có lẽ em bắt đầu buồn ngủ rồi đấy.,Inclined to drowse; heavy with sleepiness; lethargic; dozy.,5876
aboard,adverb,gần,"The last active duty Navy Crusader fighter variants were retired from VF-191 and VF-194 aboard Oriskany in 1976 after almost two decades of service, setting a first for a Navy fighter.",Phiên bản Crusader chiến đấu cuối cùng phục vụ trong Hải quân được nghỉ hưu khỏi phi đội VF-191 và VF-194 trên tàu sân bay USS Oriskany (CV-34) vào năm 1976 sau gần hai thập kỷ phục vụ là một kỷ lục của Hải quân.,"On board; into or within a ship or boat; hence, into or within a railway car.",5877
artery,noun,động mạch,Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate.,Mạch (hoặc số lượng xung động mạch mỗi phút) tương đương với việc đo nhịp tim.,"An efferent blood vessel from the heart, conveying blood away from the heart regardless of oxygenation status; see pulmonary artery.",5878
eject,verb,đẩy ra,Remove a storage device safely by clicking Eject [ Eject ].,Tháo thiết bị lưu trữ một cách an toàn bằng cách nhấp vào biểu tượng Đẩy ra [Tháo].,(transitive) To force (a person or persons) to leave.,5879
enable,verb,cho phép,They enable their teachers to make innovations in pedagogy.,Họ cho phép giáo viên tạo những cải tiến trong sư phạm.,(obsolete) To give strength or ability to; to make firm and strong.,5880
adhesive,adjective,dính,Mastic has also been used in adhesives and in leather tanning.,Mát-tít cũng được dùng trong chất làm dính và trong ngành thuộc da.,"Sticky; tenacious, as glutinous substances.",5881
swivel,verb,quay,But let's swivel around and look at me frontally.,Nhưng hãy quay vòng và nhìn vào trứơc mặt tôi.,"(mechanical): A piece, as a ring or hook, attached to another piece by a pin, in such a manner as to permit rotation about the pin as an axis.",5882
insert,verb,đăng,Note: Credentials can only be automatically inserted into Android apps that use standard Android widgets.,Lưu ý: Thông tin đăng nhập chỉ có thể được tự động chèn vào các ứng dụng Android sử dụng tiện ích Android tiêu chuẩn.,(transitive) To put in between or into.,5883
regain,verb,lấy lại,"I stopped to dog paddle and float, trying to regain my strength.","Tôi ngừng bơi kiểu ếch và thả nổi, cố gắng lấy lại sức.",(transitive) To get back; to recover possession of.,5884
ignite,verb,bốc cháy,It ignited as though it had been drenched in gasoline.,Nó bốc cháy như thể đã được tẩm xăng.,"(transitive) to set fire to (something), to light (something)",5885
prime,adjective,chủ yếu,"(b) To what literature should we give prime consideration, and why?","(b) Chúng ta nên xem xét chủ yếu những sách nào, và tại sao?","First in importance, degree, or rank.",5886
embarrass,verb,làm lúng túng,Embarrass you?,Làm con ngượng ư?,(transitive) to humiliate; to disrupt somebody's composure or comfort with acting publicly or freely; to disconcert; to abash,5887
hammock,noun,cái võng,Let's play in the hammock ?,Hãy chơi trên cái võng .,"A swinging couch or bed, usually made of netting or canvas about six feet wide, suspended by clews or cords at the ends.",5888
satellite,noun,vệ tinh,"I mean, satellite imagery is pretty amazing stuff.","Tôi hiểu, hình ảnh vệ tinh là một thứ tuyệt vời","(now rare) An attendant on an important person; a member of someone's retinue, often in a somewhat derogatory sense; a henchman. [from 16th c.]",5889
communist,noun,cộng sản,Only untraceable weapons this side of communist California.,Họ sẽ không tìm được tung tích của loại súng này phía bên này của cộng sản California.,"Of, relating to, supporting, or advocating communism.",5890
