word,part_of_speech,meaning,example,example_meaning,definition,ID
resonant,adjective,cộng hưởng,And we built software that'll link functional magnetic resonance imaging devices up over the Internet.,Chúng tôi viết phần mềm để nối thiết bị cộng hưởng từ trường lên Internet.,"Resounding, echoing.",1463
elated,adjective,phấn chấn,“A Town Is Elated ”,“Cả thành đều vui - vẻ ”,Extremely happy and excited; delighted; pleased.,1464
grit,verb,tính can đảm,"Yet despite all of this, there was a dignity about my mother, a tremendous source of determination and sheer Scottish grit .","Tuy nhiên, bất chấp tất cả những điều này, mẹ tôi vẫn có phẩm giá, một bản tính đầy quyết tâm và tính can đảm của người Scotland.","Collection of hard small materials, such as dirt, ground stone, debris from sandblasting or other such grinding, swarf from metalworking.",1465
billowing,noun,sôi nổi,Loud the angry billows roar.,Sóng to gầm thét dữ dội .,Present participle of billow.,1466
undertaking,noun,công việc kinh doanh,To undertake a voyage to the Fountain...,Để thực hiện 1 chuyến đi tìm con suối...,"Specifically, the business of an undertaker, or the management of funerals.",1467
industrious,adjective,cần cù,"The Chinese are an industrious people, and I like them very much.","Người Trung Quốc cần cù siêng năng, và tôi rất mến họ.",Hard-working and persistent; worksome.,1468
clamor,verb,tiếng ồn,"So, now we clamor for organic food.",Giờ chúng ta đang hô hào cho thực phẩm hữu cơ.,(intransitive) To cry out and/or demand.,1469
deliberation,noun,cuộc bàn cãi,And they observe deliberations after mock trial proceedings so that they can better advise their clients how to adjust their trial strategy to have the outcome that they're hoping for.,Họ quan sát các cuộc bàn cãi sau quá trình xét xử mô phỏng để tư vấn khách hàng trong việc điều chỉnh chiến lược bào chữa trong phiên xử thật để có được một kết quả như mong đợi.,"The act of deliberating, or of weighing and examining the reasons for and against a choice or measure; careful consideration; mature reflection.",1470
exhilarated,adjective,phấn khích,It sounds exhilarating .,Nghe có vẻ hồ hởi quá.,Simple past tense and past participle of exhilarate.,1471
bayou,noun,nhánh sông,"Now, isn't this a whole lot better than hopping around the bayou for the rest of your life?",Điều này không tốt hơn là nhảy nhót ở nhánh sông suốt phần đời còn lại sao?,A creek.,1472
kerosene,noun,dầu hỏa,I also need two bottles of kerosene .,Tôi cũng cần 2 chai dầu hỏa .,(US) A petroleum based thin and colorless fuel; (UK) paraffin.,1473
douse,verb,đóng,Douse it like this.,Đóng lại như vậy.,To plunge suddenly into water; to duck; to immerse; to dowse.,1474
spigot,noun,máy nước,They had to turn the spigot entirely off.,họ phải tắt tòan bộ vòi nước,The plug of a faucet or cock.,1475
abate,verb,bớt,"There had been signs that the disease is abating , with cholera infections down by about 50% to around 4,000 cases a week.","Đã có những dấu hiệu cho thấy bệnh dịch đang dịu bớt , với số ca nhiễm dịch tả giảm khoảng 50% xuống khoảng 4,000 ca mỗi tuần.","(transitive) To bring down or reduce to a lower state, number, degree or estimation.",1476
rummage,verb,lục lọi,Why did you rummage through my closet?,Tại sao lại đi lục lọi tủ quần áo người ta chứ?,"(transitive, nautical) to arrange (cargo, goods, etc.) in the hold of a ship; to move or rearrange such goods.",1477
lather,noun,bọt,"When she lathers me up, I close my eyes, and my fingers and toes tingle wildly.","Khi cô ấy xoa tạo bọt cho tôi, tôi nhắm mắt, và những ngón tay ngón chân tôi ngứa râm ran điên loạn.",The foam made by rapidly stirring soap and water.,1478
fluke,noun,cá bơn,The fluke wasn't bad.,Cá bơn ăn không tệ.,"A lucky or improbable occurrence, with the implication that the occurrence could not be repeated.",1479
collective,adjective,tập thể,"But then when we vote, the collective is not rational.","Nhưng khi bầu chọn, cả tập thể lại trở nên vô lý.","Formed by gathering or collecting; gathered into a mass, sum, or body; congregated or aggregated; as, the collective body of a nation.",1480
ramshackle,adjective,xiêu vẹo,"Between 1940 and 1945, the population of Japan's capital city dwindled from 6,700,000 to less than 2,800,000, with the majority of those who lost their homes living in "" ramshackle , makeshift huts"".","Từ năm 1940 đến năm 1945, dân số của thành phố thủ đô của Nhật Bản đã giảm từ 6.700.000 xuống dưới 2.800.000, với phần lớn những người mất nhà sống trong ""những túp lều xiêu vẹo , tạm bợ"".","In disrepair or disorder; poorly maintained; lacking upkeep, usually of buildings or vehicles.",1481
con,verb,lừa bịp,"Greatest long con in history, I guess.",Trò lừa bịp lâu nhất trong lịch sử.,"(rare) To study, especially in order to gain knowledge of.",1482
preoccupied,adjective,bận tâm,What were people in Noah’s day preoccupied with?,Những người vào thời Nô-ê bận tâm đến điều gì?,Concerned with something else; distracted; giving one's attention elsewhere.,1483
cleave,verb,chẻ,"For instance, if a bacterium finds itself in a broth containing lactose, rather than the simpler sugar glucose, it must adapt itself to the need to 1) import lactose, 2) cleave lactose to its constituents glucose and galactose, and 3) convert the galactose to glucose.","Chẳng hạn như, nếu một vi khuẩn ở trong một broth (tương đương món súp) chứa lactoza, thay cho glucose đường đơn giản hơn, nó sẽ tự thích nghi với nhu cầu để: 1) nhập lactoza 2) chẻ lactoza thành những thành phần glucose và galactose 3) biến galactose thành glucose.",(transitive) To split or sever something or as if with a sharp instrument.,1484
contorted,adjective,méo mó,"Mayella's face contorted , and I was afraid that she would cry again.","Mặt Mayella méo mó , và cô e rằng cô ta sẽ lại khóc.",Simple past tense and past participle of contort.,1485
divot,noun,tảng đất cỏ,"And also, as you look away from the bridge, there's a divot on the left- hand side of the bank, and the river narrows.","Và cũng khi bạn nhìn từ chiếc cầu, có một tảng đất cỏ bên phía tay trái của bờ sông, con sông bị thu hẹp lại.",A torn up piece of turf (e.g. by a golf club in making a stroke or by a horse's hoof).,1486
prairie,noun,đồng cỏ,"In the middle of the prairie , we decided to get off our horses and play marbles.","Ở giữa đồng cỏ , chúng tôi đã quyết định là xuống ngựa và chơi bắn bi.","An extensive area of relatively flat grassland with few, if any, trees, especially in North America.",1487
expanse,noun,khoảng,"The existing stations are operated without exceptions in the operating period. → Table: Route of the U1 line Since the last expansion , which was completed on 29 May, 1999, the U2 line serves a distance of 24,377 kilometers and a total of 27 metro stations.","Trong khi hoạt động, tàu dài với sáu chiếc xe thường được sử dụng. → Bảng: Đường đi tuyến U1 Tuyến U2 hoạt động kể từ lần mở rộng cuối cùng vào ngày 29 tháng 5 năm 1999 khoảng đường 24,377 Kilômét và tổng cộng 27 trạm.","A wide stretch, usually of sea, sky, or land.",1488
integrated,adjective,tích hợp,Job defends his integrity (1-40),Gióp bênh vực lòng trọn thành của ông (1-40),Present participle of integrate.,1489
dominant,adjective,trội,"So this is an example of one unique Nash equilibrium that happened to be a very strong one, a dominant strategy, Nash Equilibrium.","Vì vậy, đây là một Ví dụ về một cân bằng Nash duy nhất đã xảy ra là một công cụ rất mạnh, một chiến lược trội , cân bằng Nash.","(music) The fifth major tone of a musical scale (five major steps above the note in question); thus G is the dominant of C, A of D, and so on.",1490
petrify,verb,chết điếng,I'm petrified of your father.,Gần như chết điếng bởi cha em.,To immobilize with fright.,1491
shindig,noun,điệu nhảy sinđich,Very nice of you to come to our little shindig .,Anh thật tốt khi đến dự cuộc tụ họp vui nhộn này.,Noisy party or festivities.,1492
teeming,adjective,dồi dào,We are literally a teeming ecosystem of microorganisms.,Chúng ta theo nghĩa đen là một hệ sinh thái dồi dào của vi sinh vật.,Present participle of teem.,1493
incredulously,adverb,không tin,""" Scared and incredulous """,""" Sợ hãi và hoài nghi """,In an incredulous manner; tending to disbelieve: skeptically.,1494
brutish,adjective,hung ác,"Life was nasty, brutish and a very long time ago.","Cuộc đời thì bẩn thỉu, hung ác và rất nhiều năm về trước.","Of, or in the manner of a brute",1495
spatter,verb,vảy,There's blood spatter on the door panel behind it.,Có vết máu bắn lên cánh cửa phía sau.,To splash with small droplets.,1496
tidy,adjective,ngăn nắp,Keep it tidy .,Giữ cho ngăn nắp .,Arranged neatly and in order.,1497
bungalow,noun,nhà gỗ một tầng,You were not at the bungalow .,Cô không có ở trong chòi .,A small house or cottage usually having a single story,1498
mend,verb,vá,Mend the bond.,Nối tình cảm.,"A place, as in clothing, which has been repaired by mending.",1499
spectacles,noun,kính,"In the context of human vision, the term ""field of view"" is typically only used in the sense of a restriction to what is visible by external apparatus, like when wearing spectacles or virtual reality goggles.","Trong phạm vi nhìn của con người, thuật ngữ ""phạm vi quan sát"" thường chỉ được sử dụng theo nghĩa của một hạn chế với thiết bị bên ngoài có thể nhìn thấy, như khi đeo kính .",Plural form of spectacle.,1500
disagreeable,adjective,khó chịu,● Chasm 3: Disagreeable behavior.,● Khoảng cách 3: Có thái độ khó chịu .,"Not agreeable, conformable, or congruous; contrary; unsuitable.",1501
hastily,adverb,vội vã,"'Yes,'said Alice,'I've often seen them at dinn --'she checked herself hastily .",""" Có, "" Alice, "" Tôi đã thường nhìn thấy chúng tại dinn - "" cô kiểm tra mình vội vã .","In a hasty manner; quickly, hurriedly.",1502
broadcast,verb,phát thanh,"Radio broadcasts , leaflets, things like that.","Đài phát thanh , tờ rơi, gì đó giống thế.","cast or scattered widely, in all directions",1503
impressed,tính từ,"có ấn tượng, cảm phục",Impressive .,Ấn tượng thật .,compelled to serve in a military force,1504
meek,adjective,hiền,Blessed are the meek for they will inherit the earth.,May mắn thuộc về những người hiền lành vì họ sẽ kế thừa thế giới.,"Humble, modest, meager, or self-effacing.",1505
stray,verb,lạc,The talk graphically explained the way that Christendom had strayed from genuine Christian doctrine and practice.,Bài giảng đã giải thích một cách sống động cách mà các đạo tự xưng trôi lạc khỏi giáo lý và thực hành của đạo thật của Đấng Christ.,"Any domestic animal that has an inclosure, or its proper place and company, and wanders at large, or is lost; an estray. Used also figuratively.",1506
debris,noun,rác,"Now, because space debris and junk has become increasingly worrisome, there have been some national and international efforts to develop technical standards to help us limit the generation of additional debris .","Hiện nay, do các mảnh vụn và rác này đang ngày càng nguy hiểm, nên các quốc gia và cộng đồng quốc tế đã và đang nỗ lực đề ra các tiêu chuẩn kỹ thuật giúp chúng ta hạn chế việc gia tăng thêm các mảnh vụn.","Rubble, wreckage, scattered remains of something destroyed.",1507
eventful,adjective,mưa gió,19 total events and,tổng số 19 sự kiện và,Of or pertaining to high levels of activity; having many memorable events.,1508
ventilate,verb,thông hơi,"Those are for, like, you know ventilation .",Chúng là... lỗ thông hơi đấy.,To provide with a vent.,1509
sympathetic,adjective,thông cảm,A compassionate man is a sympathetic man.,Người thương xót là người biết thông cảm .,"Of, related to, showing, or characterized by sympathy.",1510
indignantly,adverb,tức giận,'Certainly not!'said Alice indignantly .,"Chắc chắn không phải "" Alice phẫn nộ.",in an indignant manner,1511
intention,noun,ý định,How does God’s word reveal the “thoughts and intentions of the heart”?,Làm thế nào lời của Đức Chúa Trời cho thấy “tư-tưởng và ý - định trong lòng”?,A course of action that a person intends to follow.,1512
sensible,adjective,khôn,"Lydia, be sensible .","Lydia, hãy khôn ngoan đi.",Easily perceived; appreciable.,1513
ordinance,noun,pháp lệnh,The National Park Ordinance of 1948 (implemented in 1951) created the Serengeti National Park (SNP).,Pháp lệnh Vườn quốc gia năm 1948 (thực hiện năm 1951) đã thành lập Vườn quốc gia Serengeti (SNP).,a local law or regulation.,1514
spectacle,noun,cảnh tượng,"Jane, it was such a humiliating spectacle !","Jane ơi, thật là một cảnh tượng nhục nhã!","Something exhibited to view; usually, something presented to view as extraordinary, or as unusual and worthy of special notice; a remarkable or noteworthy sight; a show; a pageant; a gazingstock.",1515
recline,Verb,dựa,"So on the morning I visited, Eleanor came downstairs, poured herself a cup of coffee, sat in a reclining chair, and she sat there, kind of amiably talking to each of her children as one after the other they came downstairs, checked the list, made themselves breakfast, checked the list again, put the dishes in the dishwasher, rechecked the list, fed the pets or whatever chores they had, checked the list once more, gathered their belongings, and made their way to the bus.","Buổi sáng tôi ghé thăm, Eleanor đi xuống lầu, rót một cốc cà phê, rồi ngồi trên chiếc ghế dựa cô ngồi đó, nhẹ nhàng nói chuyện với từng đứa khi từng đứa đi xuống lầu, kiểm tra danh sách, tự ăn bữa sáng, kiểm tra danh sách lần nữa, để đĩa vào chậu rửa chén, xem lại danh sách, cho vật nuôi ăn hay làm việc nhà được giao, kiểm tra lần nữa, thu dọn đồ đạc, và tự đi ra xe buýt.",(transitive) To cause to lean back; to bend back.,1516
flee,verb,chạy trốn,"You must flee quickly, Majesty.","Người phải chạy trốn ngay, nữ hoàng.",(intransitive) To run away; to escape.,1517
determined,adjective,kiên quyết,16:21-23) Jesus was determined to accept the self-sacrificing course that God had assigned to him.,Chúa Giê-su đã kiên quyết chấp nhận lối sống hy sinh mà Đức Chúa Trời giao phó.,"Decided; resolute, possessing much determination.",1518
plunge,verb,lao xuống,"The plane, fully fueled, plunged into a residential complex.",Phi cơ chứa đầy nhiên liệu lao xuống một khu cư xá.,the act of plunging or submerging,1519
distract,adjective,làm rối trí,This blinds or distracts the predator.,Nó làm mù hoặc làm rối trí kẻ săn mồi..,(transitive) To divert the attention of.,1520
cease,verb,ngớt,"May we, like them, never cease to do the same.","Mong sao chúng ta sẽ như họ, cũng không ngớt vui mừng như thế.","(formal, intransitive) To stop.",1521
sulk,verb,hờn,"He's out in the streets, sulking and having a wonderful time.",Hắn đang ở đâu đó dưới phố... khóc lóc và giận hờn tận hưởng đời mình.,a state of sulking.,1522
berth,verb,chỗ tàu đậu ở bến,Is Berthe’s business thriving?,Việc buôn bán của chị Berthe có thuận lợi không?,"A fixed bunk for sleeping in (caravans, trains, etc).",1523
ecstatic,adjective,ngây ngất,And he says by describing it as an ecstatic state.,Ông ấy mô tả nó như một trạng thái ́ ngây ngất '.,Feeling or characterized by ecstasy.,1524
riotous,adjective,huyên náo,Otherwise the wedding could deteriorate into a riotous affair and cause stumbling. —Romans 14:21.,"Bằng không, đám cưới có thể trở thành một cuộc huyên náo và gây vấp phạm.—Rô-ma 14:21.",having the characteristics of a riot,1525
reputation,noun,tiếng,The serow has a reputation in Japan for its speed and agility.,Tỳ linh có danh tiếng tại Nhật Bản do tốc độ và sự nhanh nhẹn của chúng.,What somebody is known for.,1526
irritable,adjective,bực tức,(b) How might parents unwittingly irritate their children?,(b) Làm thế nào cha mẹ có thể vô tình “làm cho con bực tức ”?,Capable of being irritated.,1527
onslaught,noun,sự tấn công dữ dội,So how did our ancestors cope with this onslaught of UV?,Vì vậy làm thế nào tổ tiên chúng ta đương đầu với sự tấn công dữ dội của tia UV?,A fierce attack.,1528
encompass,verb,bao quanh,Chi is an energy that encompasses us all.,Khí là năng lượng bao quanh tất cả chúng ta.,(transitive) To form a circle around; to encircle.,1529
destabilize,verb,làm mất ổn định,"Until 1934, lack of food and the outbreak of diseases started to destabilize the Gulag system.","Cho đến năm 1934, thiếu lương thực và sự bùng phát các bệnh tật bắt đầu làm mất ổn định hệ thống Gulag.",(transitive) To make something unstable.,1530
guise,noun,guise,The higher derivatives of a function f go under many different notational guises .,Các đạo hàm cấp cao của một hàm f đi theo nhiều nhà Guise mô khác nhau.,"Customary way of speaking or acting; custom; fashion; manner; behavior; mien; mode; practice; -- often used formerly in such phrases as: at his own guise; that is, in his own fashion, to suit himself.",1531
assimilation,noun,đồng hóa,"They assimilate entire worlds, and we fall back.",Chúng đồng hóa toàn bộ thế giới và ta thì rút lui.,The act of assimilating or the state of being assimilated.,1532
confines,noun,biên giới,"Although in the 1930s, Joseph Stalin divided the rich Fergana Valley among Kirghizia, Uzbekistan and Tajikistan, nationalities were not necessarily confined to the borders drawn for them.","Mặc dù vào những năm 1930, Joseph Stalin đã phân chia Thung lũng Fergana giàu có giữa Kirghizia, Uzbekistan và Tajikistan, các dân tộc không nhất thiết bị giới hạn ở biên giới được vẽ cho họ.",the borders or limits of an area,1533
indenture,verb,bản giao kèo,"You could turn up in North America having signed a deed of indenture saying, "" I'll work for nothing for five years.","Bạn có thể đến Bắc Mĩ ký một bản giao kèo và nói "" Tôi sẽ làm việc không công trong 5 năm.","(law) A contract which binds a person to work for another, under specified conditions, for a specified time (often as an apprentice).",1534
optimal,adjective,tối ưu,Your ad's layout automatically optimizes for the mobile experience.,Bố cục quảng cáo của bạn sẽ tự động tối ưu hóa cho trải nghiệm di động.,"The best, most favourable or desirable, especially under some restriction",1535
opaque,adjective,mờ đục,The body of K. bicirrhis is mostly opaque and light greyish.,Cơ thể của K. bicirrhis chủ yếu là mờ đục và hơi xám nhạt.,Neither reflecting nor emitting light.,1536
confederacy,noun,liên minh,Mahan was the largest and earliest developed of the three confederacies .,Mã Hàn là liên minh lớn nhất và phát triển từ sớm nhất trong ba liên minh .,an alliance,1537
unfathomable,adjective,bí hiểm,Unfathomable .,Vô địch ?,impossible to fathom or understand; incomprehensible,1538
requisite,adjective,cần thiết,"* It is requisite that men should be judged according to their works, Alma 41:3.","* Điều cần thiết là loài người phải được xét xử tùy theo việc làm của họ, AnMa 41:3.","essential, required, indispensable",1539
meager,adjective,nghèo,The evidence was meager .,Chứng cứ còn nghèo nàn lắm.,Having little flesh; lean; thin.,1540
extravagance,noun,sự phung phí,"I know it's a meaningless extravagance , but I had to have it.","Tôi biết nó là sự phung phí vô nghĩa, nhưng tôi phải có nó.",excessive or superfluous expenditure of money,1541
conscript,adjective,bắt đi lính,"Conscript the men, leave the girls behind.","Hãy lấy những người đàn ông, tôi sẽ không giao những cô gái đâu.","One who is compulsorily enrolled, often into a military service; a draftee.",1542
cowl,noun,mũ trùm đầu,"The cape was topped by a cowl , which was designed by Nolan, Hemming, and costume effects supervisor Graham Churchyard.","Trên cùng của chiếc áo choàng là chiếc mũ trùm đầu , được thiết kế bởi Nolan, Hemming, và người giám sát thiết kế phục trang Graham Churchyard.",A monk's hood or hooded robe,1544
omission,noun,sự bỏ sót,"The external LHIIIA:1-era sources do, however, agree in their omission of a great king or other unifying structure behind Ahhiya and the Tinay.",Tuy vậy các nguồn bên ngoài vào thời đại LHIIIA:1 lại phù hợp về sự bỏ sót của họ một vị vua vĩ đại hay các cấu trúc thống nhất khác phía sau Tinay/Ahhiya.,The act of omitting.,1545
nemesis,noun,nữ thần báo ứng,"A nemesis , right?","Nữ thần báo ứng , đúng ko?",An archenemy,1546
seasoned,adjective,dày dạn,"No offense, my man, but you're a little seasoned .","Không sao, hình như ông rất dày dạn",Simple past tense and past participle of season.,1547
indelible,adjective,không thể gột sạch,He'd left an indelible mark on her heart and her soul.,Anh đã bỏ lại một dấu ấn không thể gột sạch trong trái tim và linh hồn cô.,"having the quality of being difficult to remove, wash away, blot out, or efface;",1548
leach,verb,cho lọc qua,This is leach .,Leach đây.,"A quantity of wood ashes, through which water passes, and thus imbibes the alkali.",1549
ambiguous,adjective,mơ hồ,"This time, the exam was not just difficult, but also, the questions were ambiguous .","Lần này, bài thi không chỉ khó mà câu hỏi còn mơ hồ nữa!",Open to multiple interpretations.,1550
hapless,adjective,không may,"Begin with the hapless dodo. """,Bắt đầu với con chim dodo không may .:,Very unlucky; ill-fated.,1551
obsolescence,noun,sự lỗi thời,""" The Obsolescence of Man. """,Sự lỗi thời của loài người.,(uncountable) The state of being obsolete—no longer in use; gone into disuse; disused or neglected.,1552
inoculation,noun,sự tiêm chủng,An inoculation .,Sự tiêm chủng .,(immunology) The introduction of an antigenic substance or vaccine into the body to produce immunity to a specific disease.,1553
impressionable,adjective,nhạy cảm,I cannot imagine why anyone would want to expose impressionable teenagers to such a horrible ending.,Tôi không thể tưởng tượng nổi sao lại có người muốn các em thiếu niên nhạy cảm tiếp xúc với cái kết khủng khiếp như thế.,Susceptible of impression; capable of receiving impressions; emotional.,1554
sovereign,adjective,có chủ quyền,The chair recognizes the senator from the sovereign system of Naboo.,Chủ toạ nhận thấy thượng nghị sĩ từ hệ sao có chủ quyền Naboo.,Exercising power of rule.,1555
impervious,adjective,không thấm,I'm pretty impervious to stuff like that.,Anh khá lơ mơ về những chuyện như vậy.,Unaffected or unable to be affected by.,1556
gaudy,noun,cầu kỳ,"Rich, not gaudy .","Phong phú, không cầu kỳ .","Very showy or ornamented, now especially when excessive, or in a tasteless or vulgar manner.",1557
topography,noun,địa hình,"As you can see, the topography forced the two sides down towards each other.","Như ngài thấy, địa hình buộc cả ha bên phải giáp mặt với nhau.",a precise description of a place,1558
articulate,adjective,phát âm rõ ràng,"At school, I was taught to adapt the volume of my voice and to articulate more clearly.","Ở trường, tôi được dạy điều chỉnh âm lượng giọng nói của mình và phát âm rõ ràng hơn.","especially, speaking in a clear or effective manner",1559
inexplicable,adjective,không thể giải thích được,Those familiar with the facts have described the accident as ‘simply inexplicable ’.,Những người chứng kiến miêu tả vụ tai nạn là “ không thể giải thích được .”,Impossible to explain; not easily accounted for.,1560
precarious,adjective,hiểm nghèo,"They had not gone far when they encountered precarious conditions, at which point tragedy struck.",Họ chưa đi xa lắm thì gặp phải tình trạng hiểm nghèo là lúc mà thảm kịch xảy ra.,(comparable) dangerously insecure or unstable; perilous,1561
transient,adjective,nhất thời,These transient phenomena are thought to be related to interaction with the solar wind.,Các hiện tượng nhất thời này được cho là có liên hệ với tương tác của gió mặt trời.,Passing or disappearing with time; transitory.,1562
