word,part_of_speech,meaning,example,example_meaning,definition,ID
algorithm,noun,thuật toán,It's a response algorithm for Fetch Retrieve.,Đây là một thuật toán đáp ứng của Fetch Retrieve.,A precise step-by-step plan for a computational procedure that begins with an input value and yields an output value in a finite number of steps.,7205
atlas,noun,tập bản đồ,Species text in The Atlas of Southern African Birds.,Mô tả loài trong Tập bản đồ Chim miền nam châu Phi (The Atlas of Southern African Birds) (tiếng Anh).,"A bound collection of maps often including tables, illustrations or other text.",7206
czar,noun,Nga hoàng,A shoe made of apricot leather for the daughter of a czar .,Một chiếc giày làm bằng da khô của quả mơ cho con gái của Nga Hoàng .,Alternative spelling of tsar.,7207
jeremiad,noun,lời than van,"Wrote a self-defeating Jeremiad about his employer, the U.N., back in 2010.","Nhà tiên đoán thất sủng nhân viên kiểu mẫu của Liên Hiệp Quốc, năm 2010.","A long speech or prose work that bitterly laments the state of society and its morals, and often contains a prophecy of its coming downfall.",7208
leotard,noun,quần áo nịt,"You know, I don't look good in leotards .","Em biết đấy, anh không hợp với quần áo nịt .","A skin-tight one-piece garment with long sleeves and no legs, often worn by dancers, acrobats etc.",7209
panic,adjective,hoảng sợ,"If one of these things were to hit pretty much anywhere, it would cause a panic .","Nếu một trong những thiên thạch này đâm vào bất cứ ở đâu, nó sẽ gây hoảng sợ .",(now rare) Pertaining to the god Pan.,7210
dawn,noun,bình minh,"According to Winston Churchill, “the dawn of the twentieth century seemed bright and calm.”","Theo lời Winston Churchill, “ bình minh của thế kỷ 20 dường như chói rạng và yên tĩnh”.",(intransitive) To begin to brighten with daylight.,7211
flora,noun,hệ thực vật,"The flora of Cyprus contains about 1800 species, of which circa 128 are endemic.","Hệ thực vật của Síp có khoảng 1.800 loài, trong đó có khoảng 128 loài đặc hữu.","plants considered as a group, especially those of a particular country, region, time, etc.",7212
forest,verb,Rừng,"If you go into the forest , watch out for the man-eating ogres!",Nếu đi vào rừng thì bạn nên coi chừng lũ ăn thịt người đó!,A dense collection of trees covering a relatively large area. Larger than woods.,7213
ginger,noun,gừng,"Ginger , taken regularly as a powder in a capsule , grated fresh into hot water , can significantly relieve morning sickness after a few days of treatment .","Uống đều đặn thuốc gừng dưới dạng bột trong viên nang , cạo gừng tươi cho vào nước nóng có thể giúp giảm ốm nghén đáng kể sau vài ngày chữa trị .","Any plant of a genus (Zingiber, especially Zingiber officinale) of tropical Asiatic and Polynesian herbs of a family (Zingiberaceae, the ginger family) with pungent aromatic rhizomes used as a condiment and as a stimulant and acarminative.",7214
grace,verb,sự gia hạn,"He was subsequently given the post of Defense Minister, though he briefly fell from grace in 1995 when Saddam dismissed him after it was discovered that al-Majid was involved in illegally smuggling grain to Iran.","Sau đó ông trở thành cột trụ của Bộ trưởng Bộ Quốc phòng, mặc dù anh ta hơi thất bại từ sự gia hạn năm 1995 khi Saddam đuổi việc ông sau khi phát hiện ra rằng Ali Hassan bị dính vào vụ buôn lậu lúa bất hợp pháp cho Iran.",(not countable) Elegant movement; poise or balance.,7215
abbot,noun,cha trưởng tu viện,The abbot said... Natre will be cremated today.,Cha trưởng tu viện nói... họ sẽ hoả táng Natre hôm nay.,The superior or head of an abbey or monastery.,7216
archer,noun,xạ thủ,"And, for someone like Robin Hood, to be crowned best archer in all of England.","Còn đối với một kẻ như Robin Hood, là được tôn làm xạ thủ giỏi nhất nước Anh.",One who shoots an arrow from a bow or a bolt from a crossbow.,7217
barber,verb,thợ cắt tóc,Her barber .,Thợ cắt tóc của cổ.,A person whose profession is cutting (usually male) customers’ hair and beards.,7218
butcher,verb,giết,This thing didn't butcher Willits.,Thứ này đã không giết Willits.,A person who prepares and sells meat (and sometimes also slaughters the animals).,7219
carpenter,verb,Thợ mộc,"A carpenter is a person who makes things out of wood, such as tables and chairs and benches.","Thợ mộc là một người làm ra đồ vật bằng gỗ, như bàn, ghế và băng để ngồi.","A person skilled at carpentry, the trade of cutting and joining timber in order to construct buildings or other structures.",7220
farmer,noun,nông dân,"If we were farmers , we'd be eating our seed.","Nếu chúng ta là nông dân , chúng ta sẽ ăn hạt giống của mình.",Agent noun of farm; someone or something that farms.,7221
hunter,noun,người đi săn,Even the hunter -gatherers used some elementary tools.,Thậm chí những người đi săn cũng phải dùng những công cụ thô sơ.,A person who hunts game.,7222
shepherd,verb,người chăn cừu,As if sheep don't need a shepherd guiding them.,Nếu con cừu không cần một người chăn cừu dẫn lối,A person who tends sheep.,7223
smith,verb,thợ rèn,There are three living smiths who know how to rework Valyrian steel.,Giờ chỉ còn 3 thợ rèn còn sống biết cách làm lại thép Varian.,"A craftsperson who works metal into desired forms using a hammer and other tools, sometimes heating the metal to make it more workable, especially a blacksmith.",7224
mason,noun,thợ nề,"It was now that my training as a mason , or bricklayer, proved invaluable.",Đó chính là lúc nghề thợ nề trở nên rất hữu ích cho tôi.,"One whose occupation is to build with stone or brick; also, one who prepares stone for building purposes.",7225
potter,verb,thợ gốm,□ What is the Great Potter’s purpose toward our earth?,□ Ý định của Thợ Gốm Vĩ Đại đối với trái đất là gì?,One who makes pots and other ceramic wares.,7226
weaver,noun,thợ dệt,"6 My days go by more quickly than a weaver’s shuttle,+","6 Đời tôi qua nhanh hơn thoi thợ dệt ,+",Any bird in the family Ploceidae.,7227
colt,verb,ngựa non,Stop acting like a crazy colt and get a hold of yourself.,Đừng có cư xử như một con ngựa non háu đá nữa và hãy tự kếm chế mình.,A young male horse,7228
falcon,noun,chim ưng,"In contrast, the lanner falcon hunts in open country taking birds by horizontal pursuit.","Ngược lại, con chim ưng săn Lanner bắt lấy chim bằng theo đuổi ngang.","Any bird of the genus Falco, all of which are birds of prey.",7229
mystic,adjective,bí ẩn,"It's an ancient, mystical plot I'm using to destroy you.",Nó là một ký hiệu cổ bí ẩn tôi dùng để tiêu diệt ông.,"Of, or relating to mystics, mysticism or occult mysteries; mystical.",7230
patriot,noun,người yêu nước,Translators are patriots enriching their own national language.,Các dịch giả là những người yêu nước muốn làm giàu cho ngôn ngữ riêng của nước mình.,A person who loves and zealously supports and defends his or her country.,7231
buccaneer,noun,cướp biển,A famous admiral of buccaneers took the Knights'galley and the bird.,Một thuyền trưởng cướp biển lừng danh đã cướp chiếc thuyền và con chim của các Hiệp Sĩ.,(nautical) Any of a group of seamen who cruised on their own account on the Spanish Main and in the Pacific in the 17th century; similar to pirates but did not prey on ships of their own nation.,7232
jet,noun,tia,"Now, the physics of the human brain could hardly be more unlike the physics of such a jet .",Vật lý học của não người sẽ khó mà khác được so với vật lý học của một tia đó.,(intransitive) To spray out of a container.,7233
piston,verb,pít tông,"In internal combustion engines with pistons , the camshaft is used to operate poppet valves.","Trong các động cơ đốt trong có pít - tông , trục cam được sử dụng để vận hành xú páp.","A solid disk or cylinder that fits inside a hollow cylinder, and moves under pressure (as in an engine) or displaces fluid (as in a pump)",7234
timber,interjection,kèo,"The roof still leaks, the timber's still rotten.","Mái vẫn dột, cột kèo vẫn mục.",(uncountable) Trees in a forest regarded as a source of wood.,7235
spark,verb,tia lửa,I'd say there's a spark of the divine in you.,Ta phải nói là có tia lửa thần thánh lóe lên trong chàng đấy.,"A small particle of glowing matter, either molten or on fire.",7236
flame,adjective,FLAME,♪ I'll always remember the flame,♪ I'll always remember the flame Tôi vẫn còn nhớ mãi ngọn lửa ấy,The visible part of fire.,7237
heat,verb,nung,The process of heating and separating bitumen from the sand requires millions of cubic meters of water.,Quy trình nung nóng và tách nhựa đường từ cát cần đến hàng triệu mét khối nước.,"(uncountable, physics) thermal energy",7238
dynamo,noun,máy phát điện,The dynamo was the first electrical generator capable of delivering power for industry.,Dynamo là máy phát điện đầu tiên có khả năng cung cấp điện năng cho công nghiệp.,A dynamo-electric machine.,7239
dream,verb,mơ,Everyone would like to believe that dreams can come true.,Ai cũng muốn tin rằng mọi giấc mơ đều có thể trở thành hiện thực.,A hope or wish.,7240
fever,noun,cơn sốt,She lost her voice when she was three years old due to a severe fever .,Bà mất giọng từ khi còn 3 tuổi do một cơn sốt nghiêm trọng.,"A higher than normal body temperature of a person (or, generally, a mammal), usually caused by disease.",7241
intuitive,adjective,thuộc trực giác,Coolhunters resemble the intuitive fashion magazine editors of the 1960s such as Nancy White (Harper's Bazaar 1958–1971).,"Đối với công việc này, họ giống như các biên tập viên trang web thời trang thuộc trực giác của những năm 1960 như Nancy White (Harper’s Bazaar 1958-1971).","automatic, without requiring conscious thought; easily understood or grasped by intuition",7242
prosthesis,noun,bộ phận giả,"So, for prosthesis applications it's probably not too practical, because it's not affordable.","Thế nên đối với ứng dụng cho các bộ phận giả , nó không khả thi vì quá đắt.","An artificial replacement for a body part, either internal or external.",7243
modified,noun,biến đổi,Modify Task,Sửa đổi tác vụ,Simple past tense and past participle of modify.,7244
incision,noun,vết rạch,These incisions have been made with precision.,Những vết rạch này rất chính xác.,"A cut, especially one made by a scalpel or similar medical tool in the context of surgical operation.",7245
snobby,adjective,ngạo mạn,"Snobby little jerk, isn't he?","Đúng là đồ nhà giầu hợm hĩnh , phải không?",Characteristic of a snob.,7246
slat,verb,thanh,Ain't no slats in it at all.,"Phải. Vấn đề là, trong này không có cái thanh giường nào.","A thin, narrow strip or bar of wood or metal.",7247
conifer,noun,bộ thông,"Taxaceae is now generally included with all other conifers in the order Pinales, as DNA analysis has shown that the yews are monophyletic with the other families in the Pinales (Chase et al., 1993; Price, 2003), a conclusion supported by micromorphology studies (Anderson & Owens, 2003).","Họ Taxaceae hiện tại nói chung được gộp cùng các nhóm thực vật quả nón khác trong bộ Thông (Pinales), do các phân tích ADN đã chỉ ra rằng các loài thanh tùng nói chung là đơn ngành với các họ khác trong bộ Thông (Chase và ctv., 1993; Price, 2003), một kết luận được hỗ trợ thêm bởi các nghiên cứu vi hình thái học (Anderson & Owens, 2003).","(botany) A plant belonging to the conifers; a cone-bearing seed plant with vascular tissue, usually a tree.",7248
notation,noun,ký hiệu,"We can integrate over the surface, and the notation usually is a capital sigma.","Chúng tôi có thể tích hợp trên bề mặt, và các ký hiệu thường là một sigma vốn.","(uncountable) The act, process, method, or an instance of representing by a system or set of marks, signs, figures, or characters.",7249
deterrent,adjective,cái làm nhụt chí,"No stockpiling, no deterrence .","Không nhận ngân phiếu, không lòng vòng .","Serving to deter, preventing something from happening",7250
depicted,adjective,mô tả,Silver coin with Alexander the Great depicted as a Greek deity,Đồng tiền bạc khắc hình A-léc-xan-đơ Đại Đế như một thần của Hy Lạp,Simple past tense and past participle of depict.,7251
android,noun,người máy,Introducing the world's first family android .,Xin giới thiệu người máy gia đình đầu tiên trên thế giới.,A robot that is designed to look and act like a human (usually male).,7252
hypocrite,noun,kẻ đạo đức giả,I'm just a hypocrite .,Anh chỉ là một kẻ đạo đức giả .,"Someone who practices hypocrisy, who pretends to hold beliefs, or whose actions are not consistent with their claimed beliefs. [from early 13th c.]",7253
blemish,verb,thiếu sót,"When we peer into the mirror of God’s Word, we see spiritual flaws and blemishes , both in ourselves and in others.","Khi nhìn kỹ trong gương là Lời Đức Chúa Trời, chúng ta thấy những thiếu sót và khuyết điểm về mặt thiêng liêng của mình và của người khác (Gia-cơ 1:22-25).",A small flaw which spoils the appearance of something.,7254
infiltrate,verb,thâm nhập,Some of us lucky ones who spoke Chiricahua infiltrated the village.,May mắn là trong số chúng tôi có người biết nói tiếng Chiricahua... và thâm nhập vào làng.,"To surreptitiously penetrate, enter or gain access.",7255
apiculture,noun,nghề nuôi ong,"In 1985 there were 56,100 pigs and 271,300 head of poultry; no figures were available on apiculture .","Năm 1985, có 56.100 con lợn và 271.300 con gia cầm; không có số liệu nào có sẵn trên nghề trồng nho .",The keeping and maintenance of bees for commercial reasons.,7256
larva,noun,ấu trùng,"Larvae have been recorded on Brassica, Emilia, Senecio scandens and Crassocephalum.","Ấu trùng ăn Brassica, Emilia, Senecio scandens và Crassocephalum.","A stage of growth for some insects, in which they are wingless and resemble a caterpillar or grub after hatching from their egg",7257
pheromone,noun,Pheromone,"The species must use a similar pheromone to Euxoa churchillensis because males of E. churchillensis were observed being attracted to calling E. muldersi females, although no attempts at mating were observed.",The species must use a similar pheromone to Euxoa churchillensis bởi vì con cái E. churchillensis đã được quan sát thấy chúng bị thu hút bởi tiếng gọi của con đực E. muldersi dù người ta không quan sát thấy chúng cố giao phối.,"(biology) A chemical secreted by an animal, especially an insect that affects the development or behavior of other members of the same species, functioning often as a means of attracting a member of the opposite sex.",7258
rupture,verb,vỡ,"After a first rupture , the annual bleeding risk may increase to more than 5%.","Sau lần vỡ đầu tiên, hàng năm nguy cơ chảy máu có thể tăng lên hơn 5%.","A social breach or break, between individuals or groups.",7259
barb,noun,ngạnh,I felt as if a ball of fire had been thrown into my face; as if my chest had been bound with barbed wire.,Tôi có cảm giác một vòng lửa vừa được tung vào mặt mình; như thể tim tôi bị buộc chặt bởi sợi dây thép đầy ngạnh .,"The point that stands backward in an arrow, fishhook, etc., to prevent it from being easily extracted. Hence: Anything which stands out with a sharp point obliquely or crosswise to something else.",7260
disinter,verb,khai quật,His remains were disinterred and positively identified by forensic examination in 1985.,Hài cốt của Mengele được khai quật và nhận diện rõ ràng bằng giám định pháp y vào năm 1985.,To take out of the grave or tomb; to unbury; to exhume; to dig up.,7261
residency,noun,Bác sĩ nội trú,Not all residents could stand the pressure.,Không phải bác sĩ nội trú nào cũng có thể chịu đựng được áp lực.,(US) The position or term of a medical resident,7262
infallible,adjective,không thể sai được,The radiography technology is infallible .,Các công nghệ chụp X quang không thể sai được .,Without fault or weakness; incapable of error or fallacy.,7263
pliable,adjective,mềm dẻo,I made you pliable .,Tôi khiến các người mềm dẻo .,"soft, flexible, easily bent, formed, shaped, or molded",7264
auxiliary,adjective,phụ,Those who are unable to serve as auxiliary pioneers have frequently arranged to spend more time in the preaching work as congregation publishers.,Những ai không thể làm người tiên phong phụ trợ đã thường thu xếp để dành nhiều thì giờ hơn cho công việc rao giảng với tư cách người công bố hội thánh.,Helping; giving assistance or support.,7265
pacification,noun,sự bình định,"Similarly, Cardinal Gomá, the primate of Spain during the civil war, claimed that ‘ pacification was impossible without armed struggle.’","Cũng như vậy, Hồng y Gomá, tổng giám mục của Tây Ban Nha trong thời nội chiến, nói rằng ‘không thể có sự bình định mà không có đấu tranh bằng vũ trang’.",The process of pacifying.,7266
disorient,verb,làm mất phương hướng,"However , another theory is that a violent thunderstorm could have disoriented a roost of blackbirds .","Tuy nhiên , lý do khác cho rằng cơn giông bão dữ dội có thể làm mất phương hướng chỗ trú ngụ của loài chim hét này .",To cause to lose orientation or direction.,7267
exhilarating,adjective,làm hồ hởi,It sounds exhilarating .,Nghe có vẻ hồ hởi quá.,Present participle of exhilarate.,7268
butte,noun,mô đất,They're mounting up now down by the butte .,Bây giờ họ đang lên ngựa phía dưới mô đất .,(US) an isolated hill with steep sides and a flat top,7269
distinctive,adjective,phân biệt,Can you bear being distinct and different?,Các chị em có thể chịu có sự khác biệt và phân biệt rõ ràng không?,that serves to distinguish between things,7270
bureaucracy,noun,bọn quan liêu,You know how things get lost in bureaucracies .,Bọn quan liêu chẳng bao giờ để ý chuyện này đâu,Structure and regulations in place to control activity. Usually in large organizations and government operations.,7271
reprovingly,adverb,khiển trách,"He looked at me a little reprovingly , and the first words he said: ‘Joseph, you are late.’","Ông nhìn tôi một cách không hài lòng lắm, và những lời đầu tiên mà ông đã nói là: “Joseph, cháu đã đến trễ.”",In a reproving manner,7272
bewilderment,noun,sự bối rôi,Its thrashing causes bewilderment .,Nghe tiếng la của tướng lĩnh và tiếng xung trận . +,The state of being bewildered.,7273
debilitate,verb,làm suy nhược,Rosa suffers from debilitating diabetes and other ailments.,"Rosa mắc bệnh tiểu đường làm suy nhược , và các căn bệnh khác.",To make feeble; to weaken.,7274
herculean,adjective,khoẻ như Ec-cun,"Changing 101 or 10,001 people can be a Herculean task.",Thay đổi 101 hay 10.001 con người là một việc phi thường.,see Herculean,7275
repeal,verb,huỷ bỏ,"On May 5, 1987, Executive Order No 167 repealed Presidential Decrees No 1835 and No 1975 as being unduly restrictive of the constitutional right to form associations.","Ngày 5 tháng 5 năm 1987, Lệnh Hành pháp số 167 đã huỷ bỏ các sắc lệnh 1835 và 1975 vì lý do các sắc lệnh này đã ngăn cản quá đáng quyền lập hội theo hiến pháp.","(transitive) To cancel, invalidate, annul.",7276
quad,adjective,Quad,"A quad is a unit of energy equal to 1015 (a short-scale quadrillion) BTU, or 1.055 × 1018 joules (1.055 exajoules or EJ) in SI units.","quad là một đơn vị năng lượng tương đương với 1015 (triệu tỉ - quadrillion) BTU, hay 1.055 x 1018 joule (1.055 exajoules hay EJ) trong hệ đo SI.",(informal) A quadrangle (courtyard).,7277
monstrosity,noun,sự quái dị,"The New Rolling Stone Album Guide described the album as an ""inspired monstrosity ... assault of glorious noise"".","The New Rolling Stone Album Guide mô tả album như "" sự quái dị được truyền ảnh hưởng sự tấn công của những tiếng ồn rực rỡ.""","A monstrous thing, person or act.",7278
pretentious,adjective,tự phụ,Pretentious art.,Biệt tài khoa khoang tự phụ .,Marked by an unwarranted claim to importance or distinction.,7279
turnout,noun,số người tham gia,This is a wonderful turnout .,Mọi người có mặt hôm nay thật tuyệt vời .,attendance; crowd,7280
technological,adjective,công nghệ học,"The answer is, you need to use technology to do it for you.","Câu trả lời là, bạn cần dùng công nghệ học làm việc đó thay cho bạn.","Of, relating to, or involving technology, especially modern scientific technology.",7281
repudiate,verb,bỏ,"(Acts 10:34, 35) With Jehovah’s help, it is possible “to repudiate ungodliness and worldly desires” and live as true Christians should.","Với sự giúp đỡ của Đức Giê-hô-va, chúng ta có thể “chừa- bỏ sự không tin-kính và tình-dục thế-gian” và sống theo cách thật xứng đáng của người tín đồ (Tít 2:11-14).",To reject the truth or validity of something; to deny.,7282
colonization,noun,chiếm làm thuộc địa,The history of the Pitcairn Islands begins with the colonization of the islands by Polynesians in the 11th century.,Lịch sử của Quần đảo Pitcairn bắt đầu với sự xâm chiếm làm thuộc địa của người Polynesia vào thế kỷ 11.,The process of establishing a colony.,7283
edible,adjective,ăn được,Everything is edible .,Mọi thứ đều ăn được .,That can be eaten without harm; non-toxic to humans; suitable for consumption.,7284
mutation,noun,sự biến đổi,A mutation of nature.,Một sự biến đổi tự nhiên.,any alteration or change,7285
ecological,adjective,sinh thái,I tripped on the reality of this ecology of creativity just last week.,Tôi đã bước vào thực tế của hệ sinh thái sáng tạo này vào tuần trước.,"Relating to ecology, the interrelationships of organisms and their environment.",7286
herbivore,noun,loài ăn cỏ,Carletonomys was probably herbivorous and lived in a wet habitat.,Carletonomys có lẽ là loài ăn cỏ và sống trong một môi trường sống ẩm ướt.,Any animal that eats only vegetation (i.e. that eats no meat).,7287
omnivore,noun,động vật ăn tạp,These features suggest an omnivorous diet similar to that of modern pigs.,"Những tính năng này cho thấy một chế độ ăn uống theo kiểu động vật ăn tạp , tương tự như của lợn hiện đại.",An animal which is able to consume both plants (like a herbivore) and meat (like a carnivore).,7288
microbe,noun,vi khuẩn,So all of you right now are sharing your microbes with one another.,Tất cả mọi người ngồi đây cũng đang trao đổi vi khuẩn cho nhau.,"(microbiology) Any microorganism, but specially said of those microorganisms which are harmful types of bacteria.",7289
epidemic,adjective,bệnh dịch,""" Epidemic outbreak """,""" Bệnh dịch thịnh hành "".",A widespread disease that affects many individuals in a population.,7290
antibody,noun,kháng thể,They have antihemorrhagic and antineurotoxic antibodies in their blood.,Chúng có kháng thể antihemorrhagic và antineurotoxic trong máu của họ.,(immunology) A protein produced by B-lymphocytes that binds to a specific antigen.,7291
antigen,noun,kháng nguyên,Cells such as the macrophage are specialists at this antigen presentation.,Những tế bào như đại thực bào là những chuyên gia trong quá trình trình diện kháng nguyên .,"(immunology) A substance that induces an immune response, usually foreign.",7292
vector,verb,lái,"So the idea was, okay, keep that feeling of freedom, but change the vector and increase the time.","Cho nên ý tưởng nằm ở chỗ giữ cảm giác tự do ấy, nhưng thay đổi hướng lái và tăng thời gian lên.","(mathematics) a directed quantity, one with both magnitude and direction; an element of a vector space",7293
detract,verb,gièm pha,"Don’t let the thick fog of moral pollution and the detracting voices of the world keep you from reaching your goals, living the standards, enjoying the companionship of the Holy Ghost, and being worthy to enter holy temples.","Đừng để cho màn sương mù dày đặc của sự ô nhiễm đạo đức và những tiếng nói gièm pha của thế gian ngăn cản các em đạt được các mục tiêu của mình, hãy sống theo các tiêu chuẩn, vui hưởng sự đồng hành của Đức Thánh Linh, và được xứng đáng để vào đền thờ thánh.",(transitive) To take away; to withdraw or remove.,7294
cachet,noun,dấu ấn,"And sneakerheads are the ones who drive the marketing and the hype and the PR and the brand cachet , and enable Nike to sell millions of $60 sneakers.","Và thợ săn sneaker là những ai chèo lái chiến dịch tiếp thị và quảng cáo rầm rộ và truyền thông và dấu ấn nhãn hiệu, và giúp cho Nike bán được hàng triệu đôi sneaker giá 60 đô.",A special characteristic or quality.,7295
transect,verb,cắt ngang,So this is a transection through blood.,Đây là một lát cắt ngang qua mạch máu.,(transitive) to divide something by cutting transversely,7296
sunder,adjective,phân ra,Than with that hand that cut thy youth in twain To sunder his that was thine enemy?,Hơn so với rằng tay cắt thanh niên ngươi trong hai ngày Để phân ra rằng mình là kẻ thù ngươi?,(dialectal or obsolete) Sundry; different.,7297
linguistic,noun,ngôn ngữ,"In linguistic terms, this is simply called “language loss.”","Về mặt ngôn ngữ học, điều này được gọi là “mất ngôn ngữ .”",Of or relating to language.,7298
marsupial,noun,thú có túi,A marsupial is a mammal with a pouch like a kangaroo.,Thú có túi là động vật có vú với chiếc túi giống như loài kangaroo.,"Any mammal of which the female typically has a pouch in which it rears its young, which are born immature, through early infancy, such as the kangaroo or koala.",7299
nomadic,adjective,du cư,"They're tight-knit and nomadic like our unsubs, but not usually prone to violence.","Họ gắn bó chặt chẽ và du cư như hung thủ của ta, nhưng thường không bạo lực.","Of, or relating to nomads.",7300
husbandry,noun,nghề nông,My father was a farmer and taught me the art of husbandry .,Cha tôi là một nông dân và dạy cho tôi nghề nông .,The raising of livestock and the cultivation of crops; agriculture,7301
torrential,adjective,cuồn cuộn,"In his review for Prism, Jon Dolan from Rolling Stone wrote that the song ""set stark revelations to torrential Euro splendor"".","Trong bài đánh giá của mình cho album Prism, Jon Dolan từ Rolling Stone đã viết bài hát là ""sự soi sáng mạnh mẽ của dòng chảy cuồn cuộn đầy chói lọi của châu Âu"".",Coming or characterized by torrents; flowing heavily or in large quantities.,7302
