Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link,ID
Blood Water Paint,,"Growing up in Renaissance Italy, Artemisia becomes a talented painter — but her father gets credit for her work. This novel in verse tells the story of how Artemisia finds her voice, both as an artist and as a young woman.",https://cdn.vocabulary.com/units/2dij7yjy/cover.jpeg?width=220&v=16c25630b42,https://www.amazon.com/dp/0735232113?tag=vocabulary01-20,Joy McCullough,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2dij7yjy/blood-water-paint,13
The Cardboard Kingdom,,"In this graphic novel, neighborhood kids create imaginative costumes and personas to entertain themselves during the summer.",https://cdn.vocabulary.com/units/2dwh5nrs/cover.jpeg?width=220&v=16f8576d038,https://www.amazon.com/dp/1524719382?tag=vocabulary01-20,Chad Sell,"Grade 5,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2dwh5nrs/cardboard-kingdom,14
Kindred,,"An acclaimed science-fiction classic, Kindred tells the story of Dana, an African-American woman in 1970s California who time-travels to the American South before the Civil War.",https://cdn.vocabulary.com/units/2e2j7oqx/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/B009U9S540?tag=vocabulary01-20,Octavia Butler,"Grade 9,Grade 10,Grade 11,Grade 12,Literature,Just for Fun",/lists/2e2j7oqx/kindred,15
Our Only May Amelia,,May Amelia Jackson grows up on the American frontier at the end of the 19th century.,https://cdn.vocabulary.com/units/2edf23an/cover.jpg?width=220&v=17547860139,https://www.amazon.com/dp/0064408566?tag=vocabulary01-20,Jennifer L. Holm,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2edf23an/our-only-may-amelia,16
My Life with the Chimpanzees,,"In this memoir, primatologist Jane Goodall recounts her childhood love of animals and her work with chimpanzees in Africa.",https://cdn.vocabulary.com/units/2eozgdrf/cover.jpeg?width=220&v=16d06d7b979,https://www.amazon.com/dp/0671562711?tag=vocabulary01-20,Jane Goodall,"Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/2eozgdrf/my-life-with-the-chimpanzees,17
Of Mice and Men,,"Set during the Great Depression, Steinbeck's classic novel tells the story of shrewd, scheming George and loyal, childlike Lennie. The two farm workers dream of owning their own land but must struggle merely to survive.",https://cdn.vocabulary.com/units/2g2c3ynd/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0140177396?tag=vocabulary01-20,John Steinbeck,"Grade 9,Grade 11,Literature",/lists/2g2c3ynd/of-mice-and-men,18
"Mississippi Trial, 1955",,"In this historical fiction, sixteen-year-old Hiram Hillburn crosses paths with fourteen-year-old Emmett Till, whom he unsuccessfully tries to protect from the hateful intentions he has grown more aware of in his birthplace of Greenwood, Mississippi.",https://cdn.vocabulary.com/units/2hdagiid/cover.jpeg?width=220&v=189f965c1d5,https://www.amazon.com/dp/0142501921?tag=vocabulary01-20,Chris Crowe,"Grade 6,Grade 7,Grade 8,Literature",/lists/2hdagiid/mississippi-trial-1955,19
The Glory Field,,This novel traces five generations of a single family from their enslavement on a plantation through contemporary times.,https://cdn.vocabulary.com/units/2hejxe37/cover.jpg?width=220&v=17334858e5e,https://www.amazon.com/dp/054505575X?tag=vocabulary01-20,Walter Dean Myers,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2hejxe37/glory-field,20
Love from A to Z,,"After she gets suspended from school, Zayneb takes a trip to Qatar, where she meets Adam, who is coping with the loss of his mother and keeping a major secret from his father.",https://cdn.vocabulary.com/units/2heoc2th/cover.jpeg?width=220&v=1730a6faead,https://www.amazon.com/dp/1534442731?tag=vocabulary01-20,S.K. Ali,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2heoc2th/love-from-a-to-z,21
It's Kind of a Funny Story,,"In this novel, a high school student details his time in a psychiatric institution.",https://cdn.vocabulary.com/units/2htbte3a/cover.jpeg?width=220&v=16c24f1e36c,https://www.amazon.com/dp/078685197X?tag=vocabulary01-20,Ned Vizzini,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2htbte3a/its-kind-of-a-funny-story,22
Monster,,"Told in the form of journal entries and a screenplay, this novel tells the story of a teenager on trial for murder.",https://cdn.vocabulary.com/units/2hwkcqlb/cover.jpeg?width=220&v=181864351ff,https://www.amazon.com/dp/0064407314?tag=vocabulary01-20,Walter Dean Myers,"Grade 9,Literature",/lists/2hwkcqlb/monster,23
Refugee,,"Three young refugees — a Jewish boy fleeing Nazi Germany in 1939, a Cuban girl suffering under the Castro regime in 1994, and a Muslim boy trying to escape war-torn Syria in 2015 — make desperate journeys in search of freedom and safety.",https://cdn.vocabulary.com/units/2i2p67wx/cover.jpeg?width=220&v=16c25600703,https://www.amazon.com/dp/0545880831?tag=vocabulary01-20,Alan Gratz,"Grade 6,Grade 7,Grade 8,Literature,Non-Fiction",/lists/2i2p67wx/refugee,24
Rez Dogs,,"In this novel in verse, a girl befriends a stray dog while quarantining with her grandparents on a Wabanaki reservation during the Covid-19 pandemic.",https://cdn.vocabulary.com/units/2iafniek/cover.jpeg?width=220&v=17e20777557,https://www.amazon.com/dp/0593326210?tag=vocabulary01-20,Joseph Bruchac,"Grade 5,Literature",/lists/2iafniek/rez-dogs,25
The Family Romanov,"Murder, Rebellion, and the Fall of Imperial Russia","This award-winning book traces the history of the last royal family to rule Russia, the Romanovs.",https://cdn.vocabulary.com/units/2ja7wqet/cover.jpeg?width=220&v=17565a1ab80,https://www.amazon.com/dp/0375867821?tag=vocabulary01-20,Candace Fleming,Non-Fiction,/lists/2ja7wqet/family-romanov,26
When the Angels Left the Old Country,,"When all the young people of their tiny Polish village emigrate to America, Ashmedai the demon eventually convinces Uriel the angel to follow them to the rumored Golden Land.",https://cdn.vocabulary.com/units/2jynkjxz/cover.png?width=220&v=1887382aa6b,https://www.amazon.com/dp/1646141768?tag=vocabulary01-20,Sacha Lamb,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2jynkjxz/when-the-angels-left-the-old-country,27
Black Boy,,"Using novelistic techniques, this autobiography details Wright's coming of age during the Jim Crow era.",https://cdn.vocabulary.com/units/2l2daxm3/cover.jpeg?width=220&v=16c300760c6,https://www.amazon.com/dp/0061130249?tag=vocabulary01-20,Richard Wright,"Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/2l2daxm3/black-boy,28
This Was Our Pact,,"On the night of the Autumn Equinox Festival, Ben and Nathaniel find themselves caught up in an adventure involving a talking bear, a helpful crow, and a cranky witch.",https://cdn.vocabulary.com/units/2l44yk6q/cover.jpeg?width=220&v=16fd2973105,https://www.amazon.com/dp/1626720533?tag=vocabulary01-20,Ryan Andrews,"Grade 5,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",/lists/2l44yk6q/this-was-our-pact,29
King of the Mound,My Summer with Satchel Paige,"After a bout of polio, Nick is unsure if he will ever be able to play baseball again — but he draws inspiration from star pitcher Satchel Paige.",https://cdn.vocabulary.com/units/2lgaf7vq/cover.jpg?width=220&v=17b98c0f2a0,https://www.amazon.com/dp/1442433472?tag=vocabulary01-20,Wes Tooke,Literature,/lists/2lgaf7vq/king-of-the-mound,30
Mr. Popper’s Penguins,,"Mr. Popper, who dreams of exploring the polar regions, receives a penguin as a gift — and soon he training an entire penguin family to be part of Popper's Performing Penguins.",https://cdn.vocabulary.com/units/2lje57q7/cover.jpeg?width=220&v=16c8c5ae370,https://www.amazon.com/dp/0316058432?tag=vocabulary01-20,Florence Atwater,"Grade 6,Grade 7,Grade 8,Literature",/lists/2lje57q7/mr-poppers-penguins,31
Apple,Skin to the Core,"In this memoir, Gansworth explores his experiences growing up on a Native American reservation.",https://cdn.vocabulary.com/units/2ljn37ry/cover.jpeg?width=220&v=17532a4f951,https://www.amazon.com/dp/1646140133?tag=vocabulary01-20,Eric Gansworth,"Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/2ljn37ry/apple,32
The Last Cuentista,,"After Earth is destroyed by a comet, twelve-year-old Petra Peña wakes up on a new planet and discovers she is the only one who remembers Earth. She must use her stories and her wits to save humanity's legacy.",https://cdn.vocabulary.com/units/2n4bmbvg/cover.jpeg?width=220&v=1836b37d584,https://www.amazon.com/dp/1646140893?tag=vocabulary01-20,Donna Barba Higuera,"Grade 6,Grade 7,Grade 8",/lists/2n4bmbvg/last-cuentista,33
The Contender,,"Alfred Brooks's life is going nowhere until he joins a renowned boxing club in Harlem. There, he learns what it takes to be a champion.",https://cdn.vocabulary.com/units/2nos3fzy/cover.jpeg?width=220&v=16c3015141a,https://www.amazon.com/dp/0064470393?tag=vocabulary01-20,Robert Lipsyte,Literature,/lists/2nos3fzy/contender,34
Dubliners,,"This masterful short story collection by James Joyce, originally published in 1914, explores the lives of ordinary inhabitants of Dublin.",https://cdn.vocabulary.com/units/2nuks26g/cover.jpeg?width=220&v=16d44f5266b,https://www.amazon.com/dp/0140186476?tag=vocabulary01-20,James Joyce,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2nuks26g/dubliners,35
Early Departures,,"When a technological miracle allows Jamal's best friend, Q, to be brought back to life for a few weeks, Jamal must decide whether to tell Q the truth about what happened to him.",https://cdn.vocabulary.com/units/2pirsx5q/cover.jpeg?width=220&v=177fe008ef3,https://www.amazon.com/dp/0062748408?tag=vocabulary01-20,Justin A. Reynolds,Literature,/lists/2pirsx5q/early-departures,36
"Roll of Thunder, Hear My Cry",,"Set in Mississippi during the Great Depression, this classic novel follows Cassie Logan and her family as they face prejudice and economic hardship.",https://cdn.vocabulary.com/units/2puwfsam/cover.jpeg?width=220&v=16fa49ff8d4,https://www.amazon.com/dp/110199388X?tag=vocabulary01-20,Mildred D. Taylor,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",/lists/2puwfsam/roll-of-thunder-hear-my-cry,37
A Passage to India,,"Based on the author's own experiences, this novel explores tensions between British colonizers and native Indians in the 1920s. Read the full text here.",https://cdn.vocabulary.com/units/2rdboxdq/cover.jpeg?width=220&v=178b288cbcf,https://www.amazon.com/dp/014144116X?tag=vocabulary01-20,E.M. Forster,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2rdboxdq/passage-to-india,38
Pygmalion,,"In this play inspired by the Greek myth of Pygmalion, Professor Henry Higgins bets that he can transform Eliza Doolittle, a poor flower seller, into a cultured and genteel lady. Read the full texthere.",https://cdn.vocabulary.com/units/2rhlxr7x/cover.jpeg?width=220&v=188def85bd8,https://www.amazon.com/dp/0141439505?tag=vocabulary01-20,George Bernard Shaw,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2rhlxr7x/pygmalion,39
Amari and the Great Game,,"In this second book of the Supernatural Investigations series, thirteen-year-old Amari Peters of Atlanta's Whitman Preparatory Academy must compete for the Crown in order to save her brother, stop a war, and prevent the future of magic from being controlled by evil forces.",https://cdn.vocabulary.com/units/2rie432r/cover.png?width=220&v=186c2c95e85,https://www.amazon.com/dp/0062975196?tag=vocabulary01-20,B.B. Alston,"Grade 5,Literature",/lists/2rie432r/amari-and-the-great-game,40
Shane,,"In the late 19th century, a mysterious man comes to live and work on the Starrett's Wyoming farm.",https://cdn.vocabulary.com/units/2rkmp7e3/cover.jpg?width=220&v=17ace758190,https://www.amazon.com/dp/0553271105?tag=vocabulary01-20,Jack Schaefer,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2rkmp7e3/shane,41
The Cricket in Times Square,,"Chester Cricket makes an unexpected journey from the fields of Connecticut to bustling New York City, where he meets several new friends but misses his rural home.",https://cdn.vocabulary.com/units/2rui7ryj/cover.jpeg?width=220&v=16c301606a9,https://www.amazon.com/dp/0312380038?tag=vocabulary01-20,George Selden,"Grade 6,Grade 7,Grade 8,Literature",/lists/2rui7ryj/cricket-in-times-square,42
Ripped from the Headlines: November 2019,Our Weekly Roundups of Words Used in the News,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/2ruvhtkd/feature.png?width=500&v=17020466c7b,,,Events,/lists/2ruvhtkd/ripped-from-the-headlines-november-2019,43
Two Roads,,"While his father is on a campaign to pressure Congress and President Hoover to deliver bonus payments owed to veterans of the Great War, twelve-year-old Calvin Blackbird must fight his own battles at a federal agricultural Native American boarding school in Oklahoma.",https://cdn.vocabulary.com/units/2rvbtvjl/cover.png?width=220&v=18f4e7113d3,https://www.amazon.com/dp/0735228876?tag=vocabulary01-20,Joseph Bruchac,"Grade 6,Grade 7,Grade 8,Literature,Non-Fiction",/lists/2rvbtvjl/two-roads,44
The Evolution of Calpurnia Tate,,"The year is 1899, and 11-year-old Callie enjoys studying Darwin and exploring the natural world with her grandfather — but her traditional mother wants Callie to spend her time engaged in ""ladylike"" pursuits like cooking and sewing. As a new century dawns, Callie must struggle to balance her desires and interests with the expectations of society.",https://cdn.vocabulary.com/units/2sqqkqm2/cover.jpeg?width=220&v=16c3005f1e6,https://www.amazon.com/dp/031265930X?tag=vocabulary01-20,Jacqueline Kelly,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",/lists/2sqqkqm2/evolution-of-calpurnia-tate,45
Root Magic,,Eleven-year-old twins Jezebel and Jay must use their family's legacy of magic to fight against evil forces in South Carolina during the 1960s.,https://cdn.vocabulary.com/units/2tbgvhmm/cover.jpeg?width=220&v=1814e152e56,https://www.amazon.com/dp/0062899597?tag=vocabulary01-20,Eden Royce,Literature,/lists/2tbgvhmm/root-magic,46
Whirligig,,"After nearly dying in a car crash, Brent Bishop takes a cross-country trip to help heal his emotional wounds.",https://cdn.vocabulary.com/units/2u3daqac/cover.jpg?width=220&v=1746eda5af6,https://www.amazon.com/dp/0312629117?tag=vocabulary01-20,Paul Fleischman,Grade 9,/lists/2u3daqac/whirligig,47
The Witches,,"After learning about witches from his grandmother, a young boy accidentally stumbles into the witches' annual gathering — and decides to take on the Grand High Witch herself.",https://cdn.vocabulary.com/units/2u66edk7/cover.jpeg?width=220&v=16d1d098e44,https://www.amazon.com/dp/014241011X?tag=vocabulary01-20,Roald Dahl,Literature,/lists/2u66edk7/witches,48
Harry Potter and the Order of the Phoenix,,"In his fifth year at Hogwarts, Harry must contend with terrifying dreams, malicious gossip, and a nasty new Defense Against the Dark Arts teacher. He continues his struggle against Lord Voldemort in this fifth installment of J.K. Rowling's popular series.",https://cdn.vocabulary.com/units/2uikpfgv/cover.jpeg?width=220&v=16ddb8907c4,https://www.amazon.com/dp/043935806X?tag=vocabulary01-20,J.K. Rowling,Literature,/lists/2uikpfgv/harry-potter-and-the-order-of-the-phoenix,49
150 Words Every 5th Grader Should Know,Vocabulary You Need to Succeed,"By analyzing student data and commonly taught texts, Vocabulary.com has compiled this collection of essential vocabulary for students in 5th grade. Master high-frequency, high-utility words that you'll encounter across the curriculum.",https://cdn.vocabulary.com/units/2v2w6pjn/feature.png?width=500&v=17d33615117,,,Grade 5,/lists/2v2w6pjn/150-words-every-5th-grader-should-know,50
Oedipus at Colonus,,"Though written last, this play in Sophocles' Theban Cycle takes place between the events of Oedipus the King and Antigone and focuses on the blind king's philosophical understanding of his fate. Learn these words from the translation by Francis Storr.",https://cdn.vocabulary.com/units/2v45ocvp/cover.jpeg?width=220&v=1715ac52dbe,https://www.amazon.com/dp/1387816454?tag=vocabulary01-20,Sophocles,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2v45ocvp/oedipus-at-colonus,51
Marcus Vega Doesn't Speak Spanish,,"After 14-year-old Marcus gets into a fight at school, his mom decides to take him to Puerto Rico, where Marcus searches for his absentee father.",https://cdn.vocabulary.com/units/2vk2ufbb/cover.jpeg?width=220&v=16f8c2796b7,https://www.amazon.com/dp/1101997281?tag=vocabulary01-20,Pablo Cartaya,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/2vk2ufbb/marcus-vega-doesnt-speak-spanish,52
The Woman in White,,"In this 19th-century novel, a drawing teacher unravels a complicated mystery involving mistaken identity and family secrets. Read the full text here.",https://cdn.vocabulary.com/units/2w43qhtk/cover.jpeg?width=220&v=1795cb40832,https://www.amazon.com/dp/0141439610?tag=vocabulary01-20,Wilkie Collins,Just for Fun,/lists/2w43qhtk/woman-in-white,53
Sir Gawain and the Green Knight,,"In this medieval poem, originally composed in Middle English in the 14th century, a mysterious green knight issues a challenge to the knights of King Arthur's court. Learn these words from the translation by J.R.R. Tolkien.",https://cdn.vocabulary.com/units/2wd4tpoc/cover.jpeg?width=220&v=16d6dc747bc,https://www.amazon.com/dp/0345277600?tag=vocabulary01-20,J.R.R. Tolkien,"Grade 12,Literature",/lists/2wd4tpoc/sir-gawain-and-the-green-knight,54
"Commonly Confused Words, Grade 7",,Commonly confused words are pairs or groups of words that share similar spellings or pronunciations but have different meanings or usages. This collection features commonly confused words that seventh-grade students frequently encounter while reading or taking standardized tests.,https://cdn.vocabulary.com/units/2xecodad/feature.png?width=500&v=18e1a70f025,,,Grade 7,/lists/2xecodad/commonly-confused-words-grade-7,55
The Other Wes Moore,"One Name, Two Fates","Two children, both named Wes Moore, grew up in similar circumstances in Baltimore, but one ended up in prison while the other won a Rhodes Scholarship and became a respected business leader. In this book, author Wes Moore explores the challenges and choices that led him and the other Wes Moore to have two radically different fates.",https://cdn.vocabulary.com/units/2xi2vguo/cover.jpeg?width=220&v=16c25183414,https://www.amazon.com/dp/0385528205?tag=vocabulary01-20,Wes Moore,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/2xi2vguo/other-wes-moore,56
First Man: The Life of Neil A. Armstrong,,This biography explores the life and legacy of the first astronaut to walk on the moon.,https://cdn.vocabulary.com/units/2xsie3i7/cover.jpeg?width=220&v=16c255cf2c5,https://www.amazon.com/dp/1501153064?tag=vocabulary01-20,James R. Hansen,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/2xsie3i7/first-man-the-life-of-neil-a-armstrong,57
Appetite For Instruction,An All-You-Can-Eat Vocab Buffet,Help yourself to a smorgasbord of food words! This culinary collection is packed with tasty terms about food and cooking. Dig in!,https://cdn.vocabulary.com/units/2z2huuiv/feature.png?width=500&v=19235308887,,,"Grade 9,Grade 10,Just for Fun",/lists/2z2huuiv/appetite-for-instruction,58
Thirteen Reasons Why,,"After Hannah Baker's death, classmate Clay Jenson receives a set of cassette tapes in which Hannah makes painful revelations.",https://cdn.vocabulary.com/units/2zikuavr/cover.jpeg?width=220&v=18f2b1af6c9,https://www.amazon.com/dp/B007I0I1L0?tag=vocabulary01-20,Jay Asher,"Grade 9,Grade 10,Grade 11,Grade 12",/lists/2zikuavr/thirteen-reasons-why,59
Dig,,Five cousins from an unconventional family try to reestablish ties while uncovering family secrets.,https://cdn.vocabulary.com/units/33febwmy/cover.jpeg?width=220&v=170e95f733e,https://www.amazon.com/dp/1101994916?tag=vocabulary01-20,A.S. King,Grade 11,/lists/33febwmy/dig,60
"The Girl I Am, Was, and Never Will Be",A Speculative Memoir of Transracial Adoption,"An Educator of the Year of Minnesota State Colleges, the author tells her story of growing up in Michigan as an adoptee by intertwining it with the fictional story of Erin Powers, whom she could've been if she had been raised by her birth mother.",https://cdn.vocabulary.com/units/34cai3ov/cover.jpg?width=220&v=19330cb222e,https://www.amazon.com/dp/0593112016?tag=vocabulary01-20,Shannon Gibney,Literature,/lists/34cai3ov/girl-i-am-was-and-never-will-be,61
The Diary of a Young Girl,,"While in hiding with her family in Nazi-occupied Amsterdam, 13-year-old Anne Frank kept a diary of her experiences. Published after Anne's death in a Nazi concentration camp, the diary remains a powerful testament to the everyday horrors of the Holocaust.",https://cdn.vocabulary.com/units/34jlkcgi/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0553577123?tag=vocabulary01-20,Anne Frank,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction,Just for Fun",/lists/34jlkcgi/diary-of-a-young-girl,62
Little Brother,,"In this dystopian novel, San Francisco has become a police state controlled by the Department of Homeland Security — and 17-year-old Marcus is determined to take it down.",https://cdn.vocabulary.com/units/355rpybm/cover.jpeg?width=220&v=1748dff358c,https://www.amazon.com/dp/0765323117?tag=vocabulary01-20,Cory Doctorow,Grade 12,/lists/355rpybm/little-brother,63
Boy: Tales of Childhood,,"Renowned writer Roald Dahl, the author of such children's classics as Charlie and the Chocolate Factory and Matilda, recounts unexpected and fascinating stories from his own childhood.",https://cdn.vocabulary.com/units/355t65nl/cover.jpeg?width=220&v=1808f1cf6a2,https://www.amazon.com/dp/014241381X?tag=vocabulary01-20,Roald Dahl,"Grade 5,Non-Fiction",/lists/355t65nl/boy-tales-of-childhood,64
"The Unsung Hero of Birdsong, USA",,"After World War II, a twelve-year-old boy befriends an African-American veteran — and begins to recognize prejudice and injustice in his hometown.",https://cdn.vocabulary.com/units/35fy4at4/cover.jpeg?width=220&v=17c99f60f4d,https://www.amazon.com/dp/1524737119?tag=vocabulary01-20,Brenda Woods,"Grade 6,Grade 7,Grade 8,Literature",/lists/35fy4at4/unsung-hero-of-birdsong-usa,65
The Great Gatsby,,"Nick Carraway rents a summer house in Long Island where he befriends his mysterious neighbor Jay Gatsby, a self-made millionaire who hides behind an extravagant and decadent lifestyle. Read the full text here.",https://cdn.vocabulary.com/units/36dcwn7g/cover.jpeg?width=220&v=1852b3e8820,https://www.amazon.com/dp/0743273567?tag=vocabulary01-20,F. Scott Fitzgerald,"Grade 11,Literature",/lists/36dcwn7g/great-gatsby,66
A Room of One's Own,,"Based on lectures that Woolf delivered at Cambridge, this essay argues that women need financial independence and private spaces in order to create literature.",https://cdn.vocabulary.com/units/36odwfje/cover.jpg?width=220&v=16d21e97d7c,https://www.amazon.com/dp/0156787334?tag=vocabulary01-20,Virginia Woolf,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/36odwfje/room-of-ones-own,67
Writing in the Classroom: High School,,"Have you got the write stuff? Find out by exploring this comprehensive collection of words related to writing. You'll review genres of writing, text structure, grammar and parts of speech, stages of the writing process, and much more. From introduction to conclusion, this list has got you covered.",https://cdn.vocabulary.com/units/36pi5wam/feature.png?width=500&v=1825f4fea1c,,,"Grade 9,Grade 10,Grade 11,Grade 12",/lists/36pi5wam/writing-in-the-classroom-high-school,68
