Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
"Sarah, Plain and Tall",,"In this award-winning book set in the late 1800s, a young woman answers an ad placed by a Midwestern man seeking a wife.",https://cdn.vocabulary.com/units/n64rt3nk/cover.jpeg?width=220&v=16ccf0af246,https://www.amazon.com/dp/0062399527?tag=vocabulary01-20,Patricia MacLachlan,"Grade 5,Grade 6,Grade 7,Grade 8,Literature,Just for Fun",/lists/n64rt3nk/sarah-plain-and-tall
Ready…Set…Hike!,Vocabulary for Fans with NFL Fever,"Whether you're a fervent fan or an NFL newbie, this collection of NFL vocabulary features the essential football terms to make you sound like a pro. Study up and soon you'll be ready to win a vocabulary Super Bowl.",https://cdn.vocabulary.com/units/n6drqxxv/feature.png?width=500&v=194898c29dc,,,Just for Fun,/lists/n6drqxxv/readysethike
Words to Help You Win at Wordle,,Which great words might solve those daily games? Study these helpful five-letter words and you could become a Wordle champ!,https://cdn.vocabulary.com/units/n6qhcqws/feature.png?width=500&v=194e1501001,,,Just for Fun,/lists/n6qhcqws/words-to-help-you-win-at-wordle
Ghost Squad,,"When best friends Lucely and Syd accidentally summon evil spirits to their town, they must figure out a way to reverse the spell and defeat the spirits.",https://cdn.vocabulary.com/units/n6wsrehx/cover.jpeg?width=220&v=173a10100c8,https://www.amazon.com/dp/1338280120?tag=vocabulary01-20,Claribel A. Ortega,Literature,/lists/n6wsrehx/ghost-squad
The Dragonet Prophecy,"Wings of Fire, Book 1",Five young dragons are trained to fulfill a prophecy and end the wars among the dragon tribes.,https://cdn.vocabulary.com/units/n6zatvsj/cover.jpeg?width=220&v=171eb01e60d,https://www.amazon.com/dp/0545349230?tag=vocabulary01-20,Tui T. Sutherland,Just for Fun,/lists/n6zatvsj/dragonet-prophecy
I Lived on Butterfly Hill,,"With Chile in turmoil, Celeste's parents go into hiding and send Celeste to Maine to keep her safe.",https://cdn.vocabulary.com/units/na2wbecz/cover.jpeg?width=220&v=17a1a2ba07c,https://www.amazon.com/dp/1416994025?tag=vocabulary01-20,Marjorie Agosín,Non-Fiction,/lists/na2wbecz/i-lived-on-butterfly-hill
The Next Great Paulie Fink,,"At her tiny new school, Caitlyn organizes a competition to see who can best fill the shoes of a legendary former student.",https://cdn.vocabulary.com/units/nawm2l4j/cover.jpg?width=220&v=174c571507c,https://www.amazon.com/dp/0316380873?tag=vocabulary01-20,Ali Benjamin,Literature,/lists/nawm2l4j/next-great-paulie-fink
O Pioneers!,,"In the late 19th century, a Swedish-American family attempts to survive and thrive on the Nebraska frontier. Read the full text here.",https://cdn.vocabulary.com/units/ncr5tuk5/cover.jpeg?width=220&v=17a8750b12b,https://www.amazon.com/dp/0451532120?tag=vocabulary01-20,Willa Cather,Grade 12,/lists/ncr5tuk5/o-pioneers
The Madman of Piney Woods,,"Thirteen-year-olds Benjamin (the son of runaway slave) and Alvin (the grandson of Irish immigrants) live in different Canadian towns in 1901, but they meet in the woods and end up working together to hunt down the Madman in this companion novel to Elijah of Buxton.",https://cdn.vocabulary.com/units/nd2fyqfl/cover.png?width=220&v=1890d6a32dd,https://www.amazon.com/dp/1338359657?tag=vocabulary01-20,Christopher Paul Curtis,"Grade 6,Grade 7,Grade 8,Literature",/lists/nd2fyqfl/madman-of-piney-woods
Blended,,"After her parents' divorce, eleven-year-old Isabella must shuttle back and forth between two separate households while trying to understand her biracial identity.",https://cdn.vocabulary.com/units/nd6tp2aa/cover.jpeg?width=220&v=16c25674263,https://www.amazon.com/dp/1442495006?tag=vocabulary01-20,Sharon M. Draper,Non-Fiction,/lists/nd6tp2aa/blended
Flowers for Algernon,,"Charlie Gordon goes through an experimental treatment to increase his intelligence, with unexpected and ultimately tragic results.",https://cdn.vocabulary.com/units/nd73pjrg/cover.jpeg?width=220&v=181868fead1,https://www.amazon.com/dp/0156030306?tag=vocabulary01-20,Daniel Keyes,"Grade 9,Grade 10,Grade 11,Grade 12,Just for Fun",/lists/nd73pjrg/flowers-for-algernon
Hearts Unbroken,,"Louise Wolfe, a Native American teen, gets caught up in controversy (and an unexpected romance) when she and other school newspaper reporters pursue a big story.",https://cdn.vocabulary.com/units/ndosvjef/cover.jpeg?width=220&v=1733445632b,https://www.amazon.com/dp/1536213136?tag=vocabulary01-20,Cynthia Leitich Smith,Literature,/lists/ndosvjef/hearts-unbroken
The Brave,,"Collin, struggling with OCD and frequent bullying, moves in with with his mother, who lives on a Native American reservation.",https://cdn.vocabulary.com/units/ndwbkryr/cover.jpeg?width=220&v=1778db3ad2f,https://www.amazon.com/dp/1250247756?tag=vocabulary01-20,James Bird,Literature,/lists/ndwbkryr/brave
Concrete Rose,,A young man attempts to turn his life around when he becomes a father.,https://cdn.vocabulary.com/units/nemutgkw/cover.jpeg?width=220&v=1788ddfb330,https://www.amazon.com/dp/006284671X?tag=vocabulary01-20,Angie Thomas,Literature,/lists/nemutgkw/concrete-rose
This Is How I Roll,,"The daughter of a sushi chef whose Californian restaurant has been featured in magazines, twelve-year-old Susannah Mikami wants to prove to her father that she is worthy of a place in his kitchen.",https://cdn.vocabulary.com/units/nexzgv35/cover.png?width=220&v=18f9c77ea48,https://www.amazon.com/dp/1338785567?tag=vocabulary01-20,Debbi Michiko Florence,Literature,/lists/nexzgv35/this-is-how-i-roll
Me Talk Pretty One Day,,"In this collection of humorous essays, Sedaris reflects on his childhood, living in New York City, and moving to France.",https://cdn.vocabulary.com/units/nf4fr5w6/cover.jpeg?width=220&v=16ccf0fd509,https://www.amazon.com/dp/0316776963?tag=vocabulary01-20,David Sedaris,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/nf4fr5w6/me-talk-pretty-one-day
Democracy in America,Volume I and Volume II,"In 1831, French aristocrat Alexis de Tocqueville visited the United States. In this book, he records his impressions of the customs and culture of the young nation. Learn these words from the translation by Henry Reeve.",https://cdn.vocabulary.com/units/nfgpu7cy/cover.jpeg?width=220&v=177fe645b7c,https://www.amazon.com/dp/1727147286?tag=vocabulary01-20,Alexis de Tocqueville,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/nfgpu7cy/democracy-in-america
A Midsummer Night's Dream,,"In this comedy, two Athenian couples and a troupe of actors become unwitting pawns in a squabble between a fairy king and queen.",https://cdn.vocabulary.com/units/nfsq6utl/cover.jpeg?width=220&v=17acfee504e,https://www.amazon.com/dp/0743477545?tag=vocabulary01-20,William Shakespeare,"Grade 6,Grade 7,Grade 8,Grade 11,Grade 12,Literature",/lists/nfsq6utl/midsummer-nights-dream
Body Language,Word Roots to Help You Dissect Anatomical Terms,"Do you have the guts to learn the etymological roots of words related to the human body? Then explore our Body Language collection and bone up on word roots like cord (“heart”), psych (“mind”), derm (“skin”), and more!",https://cdn.vocabulary.com/units/ngnbejaa/feature.png?width=500&v=16d25cddf1a,,,Roots & Affixes,/lists/ngnbejaa/body-language
We Are Displaced,My Journey and Stories from Refugee Girls Around the World,"In this book, Nobel Peace Prize-winner Malala Yousafzai collects the true stories of girls who have been displaced from their homelands.",https://cdn.vocabulary.com/units/nhbkjiaf/cover.jpeg?width=220&v=17c08b628b0,https://www.amazon.com/dp/0316523658?tag=vocabulary01-20,Malala Yousafzai,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/nhbkjiaf/we-are-displaced
Beyond the Bright Sea,,"As a baby, Crow was discovered in a boat adrift at sea and raised on an isolated island off of Cape Cod. When twelve-year-old Crow spots a fire on a nearby island, once the home of a leper colony, she begins to investigate her own past.",https://cdn.vocabulary.com/units/ni4g52jx/cover.jpeg?width=220&v=16d4a0c14a3,https://www.amazon.com/dp/1101994878?tag=vocabulary01-20,Lauren Wolk,Literature,/lists/ni4g52jx/beyond-the-bright-sea
The Autobiography of Benjamin Franklin,,"This memoir traces Franklin's life from his birth in 1706 through 1757. It details his work as a printer, writer, and inventor, as well as his involvement in the French and Indian War. Read the full text here.",https://cdn.vocabulary.com/units/ninbdbdz/cover.jpeg?width=220&v=178ad179197,https://www.amazon.com/dp/0743255062?tag=vocabulary01-20,Benjamin Franklin,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/ninbdbdz/autobiography-of-benjamin-franklin
The Color of My Words,,"Growing up in the Dominican Republic, Ana Rosa longs to become a writer. When her brother leads a protest against the construction of a hotel on their village's land, Ana Rosa discovers both the power and limitations of words.",https://cdn.vocabulary.com/units/niofmr2m/cover.jpeg?width=220&v=16ff230693d,https://www.amazon.com/dp/0064472043?tag=vocabulary01-20,Lynn Joseph,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/niofmr2m/color-of-my-words
"Red, White, and Whole",,"In this verse novel, 13-year-old Reha grapples with her identity as an Indian-American while trying to cope with her mother’s illness.",https://cdn.vocabulary.com/units/njfija5o/cover.jpeg?width=220&v=17de3fff43f,https://www.amazon.com/dp/006304742X?tag=vocabulary01-20,Rajani LaRocca,"Grade 5,Literature",/lists/njfija5o/red-white-and-whole
I Rode a Horse of Milk White Jade,,Oyuna of the Kerait tribe recounts how she pursued her dream of racing across the Mongolian steppes as a youth despite being crippled by a horse.,https://cdn.vocabulary.com/units/nls4hprs/cover.png?width=220&v=18bc90617e0,https://www.amazon.com/dp/1402240279?tag=vocabulary01-20,Diane Lee Wilson,"Grade 6,Grade 7,Grade 8",/lists/nls4hprs/i-rode-a-horse-of-milk-white-jade
Orbiting Jupiter,,"When twelve-year-old Maine farmboy Jackson Hurd meets his new foster brother, another middle schooler whom others see as trouble, he learns what it means to have someone's back.",https://cdn.vocabulary.com/units/nmukhuuh/cover.jpeg?width=220&v=189dfd3f31c,https://www.amazon.com/dp/1783445041?tag=vocabulary01-20,Gary D. Schmidt,"Grade 7,Literature",/lists/nmukhuuh/orbiting-jupiter
Space Case,,Twelve-year-old Dash Gibson tries to solve a murder mystery on the moon base he calls home.,https://cdn.vocabulary.com/units/nmywerrg/cover.jpeg?width=220&v=17260329a39,https://www.amazon.com/dp/1442494875?tag=vocabulary01-20,Stuart Gibbs,Grade 6,/lists/nmywerrg/space-case
City of Bones,"The Mortal Instruments, Book 1","In the first book of The Mortal Instruments series, fifteen-year-old Clary meets the Shadowhunters, a secret group attempting to rid the world of demons.",https://cdn.vocabulary.com/units/nn6zo3er/cover.jpeg?width=220&v=171c259ae6c,https://www.amazon.com/dp/1481455923?tag=vocabulary01-20,Cassandra Clare,Literature,/lists/nn6zo3er/city-of-bones
Reaching for the Moon,The Autobiography of NASA Mathematician Katherine Johnson,"In this inspiring autobiography, Katherine Johnson tells the story of her life and how she became instrumental in the success of some of NASA's most famous missions.",https://cdn.vocabulary.com/units/nnbem5ba/cover.jpg?width=220&v=194a9e9c7f8,https://www.amazon.com/dp/B07M8DPGYL?tag=vocabulary01-20,Katherine Johnson,Non-Fiction,/lists/nnbem5ba/reaching-for-the-moon
The Immortal Life of Henrietta Lacks,,This biography immortalizes a woman whose cancerous cells contributed to medical breakthroughs around the world.,https://cdn.vocabulary.com/units/nngbzwua/cover.png?width=220&v=189653b5ea6,https://www.amazon.com/dp/1400052181?tag=vocabulary01-20,Rebecca Skloot,"Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/nngbzwua/immortal-life-of-henrietta-lacks
The Golden Compass,,"This first book of His Dark Materials trilogy starts off at Oxford's Jordan College, where eleven-year-old Lyra Belacqua and her dæmon Pantalaimon are given a device called an alethiometer that Lyra learns to interpret in order to discover truths, especially in connection to the kidnapping of children.",https://cdn.vocabulary.com/units/nngszml5/cover.jpeg?width=220&v=18a03cfa48d,https://www.amazon.com/dp/0440418321?tag=vocabulary01-20,Philip Pullman,Literature,/lists/nngszml5/golden-compass
Ripped from the Headlines: October 2024,Our Weekly Roundups of Current Events Vocabulary,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/nnj2kw4b/feature.png?width=500&v=192e461b8ad,,,Events,/lists/nnj2kw4b/ripped-from-the-headlines-october-2024
When You Trap a Tiger,,"In order to restore her grandmother's health, Lily makes a bargain with a magical tiger.",https://cdn.vocabulary.com/units/noscvove/cover.jpeg?width=220&v=17b30665bb8,https://www.amazon.com/dp/1524715700?tag=vocabulary01-20,Tae Keller,"Grade 5,Literature",/lists/noscvove/when-you-trap-a-tiger
The Boxcar Children,,"This first book of the series introduces the orphaned siblings Henry, Jessie, Violet, and Benny Alden, who try to make a home for themselves in an abandoned boxcar.",https://cdn.vocabulary.com/units/np7xidjy/cover.png?width=220&v=18848e48f97,https://www.amazon.com/dp/0807508527?tag=vocabulary01-20,Gertrude Chandler Warner,Grade 5,/lists/np7xidjy/boxcar-children
Black Girl Unlimited,The Remarkable Story of a Teenage Wizard,"As Echo moves between the gritty neighborhood she calls home and the privileged neighborhood in which she attends school, she is affected by both the magic and the danger that surrounds her.",https://cdn.vocabulary.com/units/npp24d4c/cover.jpeg?width=220&v=17c0489acb5,https://www.amazon.com/dp/1250309859?tag=vocabulary01-20,Echo Brown,Literature,/lists/npp24d4c/black-girl-unlimited
Out of Darkness,,"In this novel, a romance between a Mexican-American girl and an African-American boy in a segregated Texas town is set against the backdrop of a real historical event: the New London School explosion, which killed around 300 people in 1937.",https://cdn.vocabulary.com/units/nppiaxe7/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/1467742023?tag=vocabulary01-20,Ashley Hope Pérez,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/nppiaxe7/out-of-darkness
Black Boy Joy,,"In this collection of stories from seventeen authors, in settings ranging from Atlanta to outer space, the joys of growing up are emphasized in the experiences of Black boys from ages nine to thirteen.",https://cdn.vocabulary.com/units/nqnj6qou/cover.png?width=220&v=18ba50c861c,https://www.amazon.com/dp/0593379969?tag=vocabulary01-20,Kwame Mbalia,Literature,/lists/nqnj6qou/black-boy-joy
Wilder Girls,,"When the Tox begins to infect students at the Raxter School for Girls, Hetty attempts to discover the truth about the mysterious illness — and the disappearance of her best friend.",https://cdn.vocabulary.com/units/nqwbotpa/cover.jpeg?width=220&v=1712cad6dec,https://www.amazon.com/dp/0525645586?tag=vocabulary01-20,Rory Power,Literature,/lists/nqwbotpa/wilder-girls
The Old Man and the Sea,,"Santiago is a luckless Cuban fisherman who struggles to land a giant marlin. In spare, searing prose, Hemingway transforms the story of one man's battle with nature into a heroic ordeal.",https://cdn.vocabulary.com/units/nrmm3o4p/cover.jpeg?width=220&v=181dec90001,https://www.amazon.com/dp/1476787840?tag=vocabulary01-20,Ernest Hemingway,"Grade 10,Grade 11",/lists/nrmm3o4p/old-man-and-the-sea
The Gene,An Intimate History,"In this engaging work of nonfiction, Pulitzer Prize-winning author Siddhartha Mukherjee delves into genetics, tracing how our scientific understanding of genes and heredity has changed over time.",https://cdn.vocabulary.com/units/nsrixdmr/cover.jpeg?width=220&v=16e1ca0acfa,https://www.amazon.com/dp/147673352X?tag=vocabulary01-20,Siddhartha Mukherjee,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/nsrixdmr/gene
Tight,,"Inspired by the superhero comics he loves to read, Bryan makes difficult choices as he navigates a new friendship.",https://cdn.vocabulary.com/units/nssosmnp/cover.jpeg?width=220&v=17e36330785,https://www.amazon.com/dp/1524740578?tag=vocabulary01-20,Torrey Maldonado,"Literature,Non-Fiction",/lists/nssosmnp/tight
The Secret Garden,,"When her parents die from an infectious outbreak in colonial India, ten-year-old Mary Lennox is sent to live with her uncle in England, where she discovers a garden that seems to make magical things happen. Read the full text here.",https://cdn.vocabulary.com/units/nsvwfyqm/cover.jpeg?width=220&v=18969affb18,https://www.amazon.com/dp/006440188X?tag=vocabulary01-20,Frances Hodgson Burnett,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",/lists/nsvwfyqm/secret-garden
The Diary of Anne Frank,,This dramatic adaptation of the diary of a young Jewish girl hiding from the Nazis won both a Tony Award and the Pulitzer Prize.,https://cdn.vocabulary.com/units/ntdvw5pb/cover.jpeg?width=220&v=181495e9d82,https://www.amazon.com/dp/1607969343?tag=vocabulary01-20,Frances Goodrich,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/ntdvw5pb/diary-of-anne-frank
Pony,,"After his father is kidnapped, twelve-year-old Silas teams up with a ghost and a pony in order to rescue him.",https://cdn.vocabulary.com/units/nter6dl5/cover.jpeg?width=220&v=17cf15f39e6,https://www.amazon.com/dp/0553508113?tag=vocabulary01-20,R.J. Palacio,"Grade 6,Grade 7,Grade 8,Literature",/lists/nter6dl5/pony
Nigeria Jones,,"Not wanting the same path as her father, a revolutionary Black nationalist who founded the separatist Movement in Philadelphia, sixteen-year-old Nigeria Sankofa Jones decides to apply for legal emancipation.",https://cdn.vocabulary.com/units/numc5sen/cover.png?width=220&v=18e67cd4149,https://www.amazon.com/dp/0062888854?tag=vocabulary01-20,Ibi Zoboi,Literature,/lists/numc5sen/nigeria-jones
Call Us What We Carry,,"This collection of poetry reflects on more than a century's worth of American history, exploring a variety of topics including racism, the 1918 influenza pandemic, climate change, and the AIDS epidemic.",https://cdn.vocabulary.com/units/nvicmlqn/cover.jpeg?width=220&v=1800b30b02b,https://www.amazon.com/dp/0593465067?tag=vocabulary01-20,Amanda Gorman,Literature,/lists/nvicmlqn/call-us-what-we-carry
Tasting the Sky,,"In this memoir, Palestinian author Ibtisam Barakat recounts her childhood experiences during and after the Six-Day War.",https://cdn.vocabulary.com/units/nvrlzruo/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/1250097185?tag=vocabulary01-20,Ibtisam Barakat,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/nvrlzruo/tasting-the-sky
The Hunger Games,,Katniss Everdeen must fight for her life in a televised survival competition. Learn these words from the first book of Suzanne Collins's dystopian trilogy.,https://cdn.vocabulary.com/units/nvvaeoe3/cover.jpeg?width=220&v=16ddba53360,https://www.amazon.com/dp/0439023521?tag=vocabulary01-20,Suzanne Collins,"Grade 7,Grade 8,Literature,Non-Fiction",/lists/nvvaeoe3/hunger-games
The Inuit Thought of It,Amazing Arctic Innovations,This nonfiction book explores innovations developed by Inuit communities to survive the harsh Arctic environment.,https://cdn.vocabulary.com/units/nwmiffxi/cover.jpg?width=220&v=1750e27d8e2,https://www.amazon.com/dp/1554510872?tag=vocabulary01-20,Alootook Ipellie,"Grade 5,Non-Fiction",/lists/nwmiffxi/inuit-thought-of-it
Consider the Lobster,,"In this essay collection, David Foster Wallace muses on everything crustaceans to Franz Kafka.",https://cdn.vocabulary.com/units/ny4obdvn/cover.jpeg?width=220&v=16ddb26f6e7,https://www.amazon.com/dp/0316013323?tag=vocabulary01-20,David Foster Wallace,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/ny4obdvn/consider-the-lobster
Forever Is Now,,"Worrying about all the possible things that could happen, sixteen-year-old Sadie Dixon has difficulty leaving her house in Oakland, California, especially after she witnesses a violent injustice.",https://cdn.vocabulary.com/units/nybgmvlq/cover.png?width=220&v=18e5d87828a,https://www.amazon.com/dp/0374388881?tag=vocabulary01-20,Mariama J. Lockington,Literature,/lists/nybgmvlq/forever-is-now
The Boy Who Met a Whale,,"On the island of Serendib, twelve-year-old Razi has not been in the water since his father died in a fishing accident, but then he meets a young stranded sailor who needs his help.",https://cdn.vocabulary.com/units/nys45d3v/cover.png?width=220&v=18c7e5541c1,https://www.amazon.com/dp/1682635228?tag=vocabulary01-20,Nizrana Farook,Literature,/lists/nys45d3v/boy-who-met-a-whale
Written in Bone,Buried Lives of Jamestown and Colonial Maryland,This engaging nonfiction book explores the work of scientists who analyze skeletal remains to learn more about early European colonists in America.,https://cdn.vocabulary.com/units/o2am3bmq/cover.jpeg?width=220&v=17550ae0edb,https://www.amazon.com/dp/0822571358?tag=vocabulary01-20,Sally M. Walker,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/o2am3bmq/written-in-bone
Harry Potter and the Chamber of Secrets,,"Harry can't wait to return for his second year at Hogwarts School of Witchcraft and Wizardry, until a house elf named Dobby warns him of terrible danger ahead. When students start turning to stone — and Harry is a prime suspect — the boy wizard must figure out what's really going on at Hogwarts.",https://cdn.vocabulary.com/units/o346avvn/cover.jpeg?width=220&v=18245be343e,https://www.amazon.com/dp/0439064864?tag=vocabulary01-20,J.K. Rowling,Literature,/lists/o346avvn/harry-potter-and-the-chamber-of-secrets
They Both Die at the End,,"After receiving calls from Death-Cast informing them that they have less than 24 hours to live, strangers Mateo and Rufus connect through an app called Last Friend.",https://cdn.vocabulary.com/units/o3vi26qr/cover.jpeg?width=220&v=179d7f396cb,https://www.amazon.com/dp/0062457802?tag=vocabulary01-20,Adam Silvera,Literature,/lists/o3vi26qr/they-both-die-at-the-end
One Hundred Years of Solitude,,"Translated from the original Spanish by Gregory Rabassa, this classic of magical realism relates the saga of the Buendía family and the isolated town they founded in Colombia.",https://cdn.vocabulary.com/units/o4aluenj/cover.jpeg?width=220&v=16c301382f9,https://www.amazon.com/dp/0060883286?tag=vocabulary01-20,Gabriel García Márquez,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/o4aluenj/one-hundred-years-of-solitude
The Unwanted,Stories of the Syrian Refugees,"This powerful, award-winning graphic novel brings the Syrian refugee crisis to life.",https://cdn.vocabulary.com/units/o7cbv35s/cover.jpeg?width=220&v=16c256c3900,https://www.amazon.com/dp/1328810151?tag=vocabulary01-20,Don Brown,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/o7cbv35s/unwanted
Fever 1793,,"Mattie Cook's simple life in Philadelphia is shattered when an epidemic of yellow fever rages through the city in the summer of 1793. Attempting to flee with her grandfather, Mattie finds that escaping disaster won't be so simple.",https://cdn.vocabulary.com/units/o7hvm5o5/cover.jpeg?width=220&v=16c8bfd6c0c,https://www.amazon.com/dp/0689848919?tag=vocabulary01-20,Laurie Halse Anderson,Literature,/lists/o7hvm5o5/fever-1793
The Castle in the Attic,,William must go on a quest to help a tiny knight living in a miniature castle.,https://cdn.vocabulary.com/units/o7pjebol/cover.jpeg?width=220&v=1761f9e133a,https://www.amazon.com/dp/0440409411?tag=vocabulary01-20,Elizabeth Winthrop,Grade 5,/lists/o7pjebol/castle-in-the-attic
A Farewell To Arms,,"Caught up in the brutality of World War I, an American ambulance driver on the Italian front falls in love with an English nurse.",https://cdn.vocabulary.com/units/oaghuhn5/cover.jpeg?width=220&v=16c3022107d,https://www.amazon.com/dp/1476764522?tag=vocabulary01-20,Ernest Hemingway,"Grade 11,Grade 12",/lists/oaghuhn5/farewell-to-arms
Mosquitoland,,"Sixteen-year-old Mim runs away from her father's home and goes on a long, eventful bus journey to find her mother.",https://cdn.vocabulary.com/units/oasvp7a4/cover.jpg?width=220&v=189551526bf,https://www.amazon.com/dp/0147513656?tag=vocabulary01-20,David Arnold,Grade 8,/lists/oasvp7a4/mosquitoland
Grendel,,"In this retelling, the monster from the Old English epic Beowulf, shares his own story.",https://cdn.vocabulary.com/units/oatey3p6/cover.jpeg?width=220&v=189265bbee6,https://www.amazon.com/dp/0679723110?tag=vocabulary01-20,John Gardner,"Grade 12,Literature",/lists/oatey3p6/grendel
Indian No More,,"In 1957, an Umpqua girl and her family relocate to Los Angeles after the government declares that their tribe no longer exists.",https://cdn.vocabulary.com/units/ob4rdi7u/cover.jpeg?width=220&v=175d6e466e1,https://www.amazon.com/dp/143288462X?tag=vocabulary01-20,Charlene Willing McManis,"Grade 5,Literature",/lists/ob4rdi7u/indian-no-more
