word,part_of_speech,meaning,example,example_meaning,definition
pharmaceutical,adjective,về dược,Imagine a world where I can rent out my healthcare data to a pharmaceutical company.,Hãy tưởng tượng một thế giới nơi tôi có thể cho thuê dữ liệu y tế của tôi tới một công ty chuyên về dược .,"(medicine) of, or relating to pharmacy or pharmacists."
durability,noun,tính bền,"Phthalates are additives used in everyday plastic products to increase their flexibility, durability and transparency.","Phthalate là phụ gia dùng trong sản xuất nhựa hàng ngày để tăng tính dẻo, tính bền và độ trong.",Permanence by virtue of the power to resist stress or force.
gamely,adjective,mạo hiểm,So they weren't game to send a local?,Vậy họ đã không mạo hiểm gởi tới một người địa phương?,(obsolete) Sportive; lively; joyful.
debauchery,noun,sự cám đỗ,My debauchery .,Sự phóng đãng của ta.,"Indulgence in sensual pleasures; scandalous activities involving sex, alcohol, or drugs without inhibition."
languidly,adverb,,"His wound was carefully dressed and bandaged, and he lay languidly opening and shutting his eyes on the white window - curtains and gently- gliding figures of his sick room, like a weary child.","Vết thương của ông đã được cẩn thận mặc quần áo và băng bó, và ông nằm languidly mở và đóng đôi mắt của mình trên cửa sổ, rèm cửa màu trắng và nhẹ nhàng, lướt con số của mình phòng bệnh, giống như một đứa trẻ mệt mỏi.","In a languid manner, without force or effort, in a manner requiring little energy or exertion."
effusiveness,noun,sự dạt dào,Pleural effusions .,Trào màng phổi.,The state of being effusive.
neuron,noun,tế bào thần kinh,Those are the neurons of memory.,Đó là các tế bào thần kinh về trí nhớ.,"(cytology) A cell of the nervous system, which conducts nerve impulses; consisting of an axon and several dendrites. Neurons are connected by synapses."
dissonant,adjective,bất hoà,"So, it really was cognitive psychology -- you know, cognitive dissonance -- that I was experiencing.","Điều đó thật sự liên quan tới nhận thức tâm lý Bạn biết đấy, sự bất hoà trong nhận thức - đó là điều mà tôi đã trải qua.",Of or pertaining to dissonance.
machination,noun,mưu đồ,You simply convinced yourself otherwise to support your own machinations .,Ngươi chỉ đang tự thuyết phịc mình ngược lại để ủng hộ cho cái mưu đồ của ngươi.,"A clever scheme or artful plot, usually crafted for evil purposes."
labile,adjective,dễ biến,Eriochilus cucullatus ( Labill .),Các chi gồm: Eriochilus cucullatus (Labill.),"Liable to slip, err, fall, or apostatize."
tangential,adjective,tiếp tuyến,Even if it's a source just tangentially associated with the administration.,Nếu là từ nguồn tin thì cũng chỉ mơ hồ liên kết với chính quyền thôi.,"Referring to a tangent, moving at a tangent to something."
conflate,adjective,đúc kết thành một,It involves a conflation and compression of time.,Đó là sự thu hẹp độ dài và sự giãn nở thời gian.,To bring things together and fuse them into a single entity.
paucity,noun,sự khan hiếm,"Given the paucity of documents relating to Menkauhor's sun temple, it probably functioned for only a short time or was never completed.","Do sự khan hiếm các văn kiện có liên quan đến ngôi đền mặt trời của Menkauhor, có thể nó chỉ thực hiện chức năng của mình trong một khoảng thời gian ngắn hoặc có lẽ nó không bao giờ được hoàn thành.",Fewness in number; a small number.
ataxia,noun,sự mất điều hoà,Cerebellum ataxia .,Mất điều hòa não.,"(pathology) Lack of coordination while performing voluntary movements, which may appear to be clumsiness, inaccuracy, or instability."
biopsy,noun,sinh thiết,You do a bone marrow biopsy ?,Anh đã làm sinh thiết tủy xương chưa?,The removal and examination of a sample of tissue from a living body for diagnostic purposes.
agnostic,adjective,người theo thuyết bất khả tri,"“Miracles just do not happen —period,” said a young person who called himself an agnostic .","Một thanh niên nhận mình là người theo thuyết bất khả tri phát biểu: “Dứt khoát, không có phép lạ”.","A person who holds to a form of agnosticism, especially uncertainty of the existence of a deity."
aphasia,noun,aphasia,Aphasia and fluid in the lungs.,Mất ngôn ngữ và có dịch trong phổi.,"(pathology) A partial or total loss of language skills due to brain damage. Usually, damage to the left perisylvian region, including Broca's area and Wernike's area, causes aphasia."
fore,adjective,before,“How c'n you stand to get drunk ' fore eight in the morning?”,“Làm sao em có thể say xỉn khi chưa tới tám giờ sáng?”,(obsolete) Former; occurring earlier (in some order); previous. [15th-18th c.]
loquaciousness,noun,tính ba hoa,Loquacious type?,Loại hay hót ấy ?,The state or property of being loquacious.
diffident,adjective,thiếu tự tin,"Now that she had fallen to him so easily, he wondered why he had been so diffident .","Giờ đây nàng đang ở trong đôi cánh tay chàng, chàng tự hỏi sao lúc nãy mình thiếu tự tin như vậy.",(archaic): Lacking confidence in others; distrustful.
inflect,verb,biến cách,Spanish is an inflected language.,Tiếng Indonesia là một ngôn ngữ chắp dính.,(transitive) To cause to curve inwards.
echolalia,noun,,"I want to show you a clip from a piece called "" Echolalia .""","Tôi muốn chiếu một clip từ đoạn nhạc có tên "" Echolalia .""","(clinical psychology) The immediate, involuntary, and repetitive echoing of words or phrases spoken by another."
trauma,noun,chấn thương,She lied about one trauma to cover a worse trauma .,Cô ta nói dối về chấn thương để che dấu cái chấn thương khác tệ hơn.,"Any serious injury to the body, often resulting from violence or an accident."
coma,noun,hôn mê,That woman just woke up from a seven-year coma .,Cô ta vừa mới tỉnh lại sau 7 năm hôn mê .,"A state of sleep from which one may not wake up, usually induced by some form of trauma."
moodiness,noun,trạng thái buồn rầu,Moody gave it to me.,Thầy Moody đưa nó cho mình.,The property of being moody.
blindside,verb,,Blindsided him on a rooftop.,rồi xếp đặt ông ấy... trên mái nhà.,(automotive) A driver's field of blindness around an automobile; the side areas behind the driver.
offbeat,adjective,,"Glass mentions Stravinsky's ""primitive, offbeat rhythmic drive"".","Glass cũng đề cập đến ""dòng nhịp nguyên thủy và không theo các phách thông thường "" của Stravinsky.",(music) The beats not normally accented in a measure.
emigrate,verb,di cư,It's no wonder you all emigrated to America!,Hèn chi các người di cư qua Mỹ!,"(intransitive) To leave the country in which one lives, especially one's native country, in order to reside elsewhere."
normalcy,noun,normality,"Maybe what we both need is a little normalcy , huh?",Có lẽ điều mà chúng ta cần là một cuộc sống bình thường .,(US) The state of being normal; the fact of being normal; normality.
dependent,adjective,phụ thuộc,"It all depends on the day, it depends on my mood.","Nó phụ thuộc vào ngày hôm đó, tùy thuộc vào tâm trạng của tôi.",(of certain Irish irregular verbs): standing only after a preverbal particle
flaxen,adjective,bằng lanh,The mane and tail are white or flaxen .,Bờm và đuôi có màu trắng hoặc flaxen .,Made of or resembling flax fibers.
enrich,verb,làm giàu,The uranium my father enriched for you Is his only legacy.,Uranium cha làm giàu cho ông chính là gia tài ông để lại.,(transitive) To make (someone) rich or richer.
obligation,noun,nghĩa vụ,I have an obligation to not play favorites.,Tôi có một nghĩa vụ là không chơi trò thiên vị.,"The act of binding oneself by a social, legal, or moral tie to someone."
aggression,noun,xâm lược,With the fascist aggression the world is in trouble.,Nhưng sự xâm lược của chủ nghĩa phát xít có qui mô toàn cầu...,The act of initiating hostilities or invasion.
testify,verb,chứng thực,"All these experiments are only examples, but they testify to a new awareness.","Trên đây mới là những ví dụ, nhưng chúng chứng thực cho một nhận thức mới.","To make a declaration, or give evidence, under oath."
veil,verb,mạng che mặt,Was she holding the veil with two fingers like this?,Có phải cô ta nắm mạng che mặt bằng hai ngón thế này?,"Something hung up, or spread out, to intercept the view, and hide an object; a cover; a curtain; esp., a screen, usually of gauze, crape, or similar diaphanous material, to hide or protect the face."
lamented,adjective,được than khóc,Which modern lamentation might have mov'd?,Than thở hiện đại có thể có mov'd?,Simple past tense and past participle of lament.
mutual,adjective,qua lại,"So we should recognize that interdependence, by formal, mutual commitments.","Vậy nên chúng ta cần công nhận sự tương thuộc này, bởi bản chất, qua lại lẫn nhau.","Having the same relationship, each to each other."
satire,noun,lời châm biếm,Tim is a huge fan of satirical comedy.,Tim rất thích truyện cười mỉa mai.,(uncountable) A literary technique of writing or art which principally ridicules its subject often as an intended means of provoking or preventing change. Humour is often used to aid this.
arbiter,verb,người phân xử,"Consul Antony, I am here strictly as an impartial arbiter .","Chấp chính Antony, ta có mặt như 1 người phân xử công bằng.","A person appointed, or chosen, by parties to determine a controversy between them; an arbitrator."
signatory,adjective,bên ký kết,Complete list of signatories .,Danh sách những người trúng cử.,One who signs or signed something.
commensurate,adjective,tương xứng,Other than something commensurate with your loyalty and experience.,Nó sẽ tương xứng với lòng trung thành và kinh nghiệm của anh.,of a proportionate or similar measurable standard
ephemera,noun,con phù du,"Canvassing Books, Sample Books, and Subscription Publishers' Ephemera 1833–1951 in the Collection of Michael Zinman.","Sách canvassing, Sách mẫu và Ephemera 1833 Mạnh1951 của Nhà xuất bản Đăng ký trong Bộ sưu tập của Michael Zinman.",Plural form of ephemeron.
occurrence,noun,điều,This is becoming a near-daily occurrence for you.,Điều này bắt đầu gần như là tiết mục thường ngày của cậu.,Actual instance when a situation arises.
acuity,noun,tính sắc bén,Emotional acuity .,Các bậc cảm xúc.,"Sharpness or acuteness, as of a needle, wit, etc."
inequity,noun,sự không công bằng,"Compensation to the righteous for the inequities of this life (see Preach My Gospel [2004], 52).","Sự đền bù cho người ngay chính về sự không công bằng trong cuộc sống này (xin xem Thuyết Giảng Phúc Âm của Ta [2004], 52).",A lack of justice; injustice.
massacre,verb,tàn sát,They had been roped together and then horribly massacred .,Họ bị trói lại với nhau và rồi tàn sát dã man.,"The intentional killing of a considerable number of human beings, under circumstances of atrocity or cruelty, or contrary to the usages of civilized people."
quash,verb,dập tắt,The Cakraningrats agreed to help the Dutch quash the 1740 rebellion in Central Java after the Chinese massacre in 1740.,Gia tộc Cakraningrat đã giúp đỡ người Hà Lan dập tắt cuộc nổi loạn năm 1740 Trung Java sau vụ thảm sát người Hoa vào năm 1740.,To defeat forcibly.
vigilante,noun,,The vigilante was involved.,Do Gã Tư hình .,A person who considers it their own responsibility to uphold the law in their neighbourhood.
submissive,adjective,dễ phục tùng,It conveys the idea of “easy to be persuaded” and “ submissive .”,Nó chuyển đạt ý tưởng “dễ thuyết phục” và “ dễ phục tùng ”.,one who submits
vineyard,noun,vườn nho,"As noted earlier, he spoke of a certain man who had a fig tree in his vineyard .","Như đề cập ở trên, ngài nói về người có cây vả trong vườn nho mình.",A grape plantation.
bilateral,adjective,song phương,Vietnam has only put forward policies that do not violate bilateral and international commitments .,Việt Nam sẽ chỉ đưa ra những chính sách tuân thủ theo các cam kết song phương và cam kết quốc tế .,having bilateral symmetry
exonerated,adjective,,My brother's been exonerated .,anh trai tao đã được giải oan .,"Freed from any question of guilt, acquitted."
microcosm,noun,mô hình thu nhỏ,"I felt, wow, this is like a microcosm of my life.","Tôi cảm giác, wow, đây giống như mô hình thu nhỏ cuộc đời mình.","(archaic) a small, complete world"
botch,verb,làm hỏng,I know you botched that operation on purpose.,Tôi biết cậu làm hỏng chuyện này là có mục đích.,(transitive) To perform (a task) in an unacceptable or incompetent manner; to make a mess of something; to ruin; to bungle; to spoil; to destroy.
hubris,noun,ngạo mạn,"Now this may sound arrogant, or even full of hubris .","Có thể điều này nghe kênh kiệu, hoặc thậm chí đầy ngạo mạn .","Excessive pride, presumption or arrogance (originally toward the gods)."
cranky,adjective,cáu kỉnh,Sore gums can make babies very cranky .,"Chứng đau nướu răng cũng có thể làm cho bé cáu kỉnh , khó chịu .","(obsolete) Weak, unwell."
imitation,noun,sự bắt chước,This was but a poor imitation of your own bravery on the field of battle.,Đây là 1 sự bắt chước nghèo nàn của sự dũng cảm của ngài nơi chiến trận.,The act of imitating.
rodent,noun,gặm nhấm,Who else would they find qualified to dance with a rodent ?,Làm sao họ tìm được người đủ khả năng nhảy múa với động vật gặm nhấm chứ?,"A mammal of the order Rodentia, characterized by long incisors that grow continuously and are worn down by gnawing."
condition,noun,điều kiện,I don't want to work under these conditions .,Tôi không muốn làm việc trong những điều kiện như thế này.,A logical clause or phrase that a conditional statement uses. The phrase can either be true or false.
spasm,verb,co thắt,"Rabies could cause muscle spasms , malaise, anxiety and wakefulness.","Bệnh dại có thể gây co thắt cơ, khó chịu, lo lắng và mất ngủ.","A sudden, involuntary contraction of a muscle, a group of muscles, or a hollow organ."
gutter,noun,rãnh,"What I'd like to do is just drag us all down into the gutter , and actually all the way down into the sewer because I want to talk about diarrhea.","Điều tôi muốn làm là kéo chúng ta xuống cống rãnh , thực ra là xuống tận các cống xả nước thải bởi vì tôi muốn nói về bệnh tiêu chảy.",A ditch along the side of a road.
thimble,noun,đê,"Others, with flowers the size of the head of a needle, can easily fit inside a thimble .","Còn những loại khác thì hoa chỉ nhỏ bằng đầu cây kim, có thể dễ dàng nằm gọn trong cái đê thêu tay.","(sewing) A pitted, now usually metal, cap for the fingers, used in sewing to push the needle."
sociopath,noun,xã hội học,"Sociopath !""","Đồ thần kinh !""","A person with an antisocial personality disorder, exhibiting antisocial behavior that usually is the result of social and environmental factors in the person's early life."
cretin,noun,người mắc chứng độn,Cretin .,Thằng đần .,(pathology) A person who fails to develop mentally and physically due to a congenital hypothyroidism.
bas relief,adjective,,The bas - relief was sculpted by Carl Paul Jennewein.,Bức phù điêu được điêu khắc bởi Carl Paul Jennewein.,"A low or mostly-flat sculpture which is carved into a wall, or is in the form of a tile mounted flat to a wall, rather than a fully three-dimensional, free-standing figure."
lupine,adjective,lupin,Poor Professor Lupin's having a really tough night.,Giáo sư Lupin đêm nay vất vả đấy.,"Of, or pertaining to, the wolf."
telepathic,adjective,ngoại cảm,"If that telepath gets inside your head, he won't be as much fun as I am.","Nếu thằng ngoại cảm đó vào được đầu anh, hắn sẽ không vui tính như em đâu.","(parapsychology) Of, relating to, or using telepathy."
soliloquize,verb,nói một mình,Publisher soliloquizes : ‘I should say something.,Người thứ nhất độc thoại : “Mình nên nói gì đó.,To perform a soliloquy.
leper,noun,người hủi,They're lepers .,Nhưng họ bị hủi .,A person who has leprosy.
linguistics,noun,ngôn ngữ học,"In order to study computational linguistics it's necessary to know various languages, however, one also has to be familiar with the use of computers.","Để nghiên cứu ngôn ngữ học bằng máy tính cần phải biết nhiều ngôn ngữ , nhưng cũng phải biết sử dụng thành thạo máy tính.",The scientific study of language.
halitosis,noun,chứng thối mồm,He's got halitosis .,Anh ta đã hôi miệng .,(pathology) The condition of having stale or foul-smelling breath.
tyrant,noun,bạo chúa,Why would you assume I worked for that tyrant ?,Sao anh nghĩ tôi làm việc cho tên bạo chúa đó chứ?,An absolute ruler who governs without restriction.
pugilism,noun,quyền Anh,"""""""If you don't forgive me, then I might have to practice my pugilism again.""""""","“Nếu tôi không tha lỗi cho tôi, vậy tôi có thể phải thực hành môn quyền anh của tôi lần nữa.”","fighting with fists, boxing"
binge,verb,,Bing Bong knows what he is doing.,Bing Bong biết mình phải làm gì.,"A short period of excessive consumption, especially of excessive alcohol consumption."
malapropism,noun,,"In Russian-speaking countries, Chernomyrdin is famous for his numerous malapropisms and syntactically incorrect speech.","Tại các nước nói tiếng Nga, Chernomyrdin nổi tiếng về nói nhịu và cú pháp sai trong những lần phát biểu.",(uncountable) The blundering use of an absurdly inappropriate word or expression in place of a similar sounding one.
epistolary,adjective,bằng thư từ,"She cultivated the epistolary genre, but also rarely wrote poetry.","Bà đi theo thể loại văn truyền đạo, nhưng cũng hiếm khi viết thơ.","of or relating to letters, or the writing of letters"
clientele,noun,nhóm khách hàng,"Well, if you'll excuse me..., it seems as though I need to procure some alcohol for my dwindling clientele .","Cho tôi xin phép, có vẻ như tôi cần đi kiếm chút rượu cho nhóm khách hàng nhỏ của tôi.",Alternative form of clientele.
predatory,adjective,ăn thịt,The ones you call the Wilberforces were a predatory species.,Cái mà các người gọi là Wilberforces là 1 loài ăn thịt .,"Of, or relating to a predator."
publicity,noun,sự quảng cáo,You can't buy this kind of publicity !,Cậu không thể mua được sự quảng cáo như thế này đâu!,Advertising or other activity designed to rouse public interest in something.
lunacy,noun,cử chỉ điên dại,It's lunacy .,Mất trí .,"(of a person or group of people) The state of being mad, insanity"
causation,noun,causality,Causation also runs the other way.,Causation cũng chạy theo cách khác.,The act of causing; also the act or agency by which an effect is produced.
ethical,adjective,đạo đức,I am trying to move beyond political rhetoric to a place of ethical questioning.,Tôi đang cố vượt lên hùng biện chính trị thành điều tra đạo đức .,"(philosophy, not comparable) Of or relating to the study of ethics."
fallout,noun,bụi phóng xạ,"For Jasmine, a fallout shelter is an app in the Android store.","Với Jasmine, một nơi trú ẩn bụi phóng xạ là một ứng dụng trên kho ứng dụng Android.","The event of small airborne particles falling to the ground in significant quantities as a result of major industrial activity, volcano eruption, sandstorm, nuclear explosion, etc."
flattery,noun,nịnh hót,"Above all, flattery is unloving.","Hơn hết, sự nịnh hót thiếu tình yêu thương.","(uncountable) Excessive praise or approval, which is often insincere and sometimes contrived to win favour."
duvet,noun,chăn lông vịt,"And you know what it makes me think of, is it's sort of snug and puffy; it's like a duvet spread over a bed.","Và bạn biết nó khiến tôi nghĩ về gì không đó chính là một thứ ấm áp phồng lên, giống như tấm chăn lông vịt trải giường.","(UK, New Zealand) A thick, padded quilt used instead of blankets."
geniality,noun,tính vui vẻ,Genial .,Ngầu thật .,The quality of being genial
oubliette,noun,hầm giam bí mật,,,A dungeon only accessible by a trapdoor at the top. [from 18th c.]
catholic,adjective,tín đồ Công giáo,My mother was a devout Catholic and wanted me to be a nun.,Mẹ tôi là tín đồ Công giáo sùng đạo và muốn tôi trở thành nữ tu.,All inclusive; pertaining to all mankind.
desideratum,noun,điều khao khát,,,"something that is wished for, or considered desirable"
asceticism,noun,sự tu khổ hạnh,"Notice, Jesus was not advocating asceticism or extreme self-denial.","Hãy chú ý, Chúa Giê-su không bênh vực chủ nghĩa khổ hạnh .",The principles and practices of an ascetic; extreme self-denial and austerity.
maunder,verb,hành động uể oải,"During the Maunder Minimum, for example, the Sun underwent a 70-year period with almost no sunspot activity.","Ví dụ, trong suốt thời kỳ yên tĩnh của nó (maunder minimum), Mặt Trời đi vào giai đoạn 70 năm không có hoạt động của vết đen Mặt Trời (sunspot). .",To speak in a disorganized or desultory manner; to babble or prattle.
renunciation,noun,sự từ bỏ,Some countries do not permit a renunciation of citizenship.,Một số quốc gia không cho phép từ bỏ quốc tịch.,the act of rejecting or renouncing something as invalid
sundry,adjective,lặt vặt,Sundries ?,Đồ lặt vặt ?,"various, miscellaneous"
convulsive,adjective,co giật,I think it may have been a febrile convulsion .,Tôi nghĩ có thể đây là chứng sốt co giật .,Marked by or having the nature of convulsions.
judder,verb,lắc,,,A spasmodic shaking.
commandeer,verb,,Chain of command .,Ông ta rất quyền lực.,To seize for military use
conniption,noun,,"Of course, he'd have a conniption fit if he knew I were in the Oval Office.",Tất nhiên là ông ấy sẽ nổi điên nếu biết tôi có mặt tại Phòng Bầu Dục.,(informal) A fit of anger or panic; conniption fit.
apropos,adjective,thích hợp,Why was the counsel of Hebrews 13:3 apropos ?,Tại sao lời khuyên nơi Hê-bơ-rơ 13:3 là thích hợp ?,Alternative form of apropos.
coda,noun,đoạn đuôi,"The closing track, ""Bring Me Coffee or Tea"", was described by Raggett as a "" coda to a landmark record.""","Track cuối, ""Bring Me Coffee or Tea"", được Raggett ghi nhận là "" đoạn đuôi của một tác phẩm cột mốc.""",(music) A passage which brings a movement or piece to a conclusion through prolongation.
detriment,noun,sự tổn hại,"Before 1933 Poland had worried that some sort of alliance would take place between Germany and the Soviet Union, to the detriment of Poland.","Trước năm 1933 Ba Lan đã lo lắng rằng một số liên minh sẽ diễn ra giữa Đức và Liên bang Xô viết, với sự tổn hại của Ba Lan.","harm, hurt, damage."
immolation,noun,,"Necrocraft pilots, enact immolation initiative.","Các phi công Necrocraft, tiến hành thảm sát đi.","The act of immolating, or the state of being immolated, or sacrificed."
wariness,noun,sự thận trọng,Should I be wary ?,Tôi có nên thận trọng không?,vigilance or the condition of being alert
immersion,noun,sự dìm mình,Did Latter-day Saints baptize by immersion ?,Các Thánh Hữu Ngày Sau có làm phép báp têm bằng sự dìm mình xuống nước không?,"(UK, Irish, informal) an immersion heater"
tinnitus,noun,sự ù tai,"The accompanying result may be tinnitus —a buzzing, ringing, or roaring in the ears or head.","Kết quả sau đó có lẽ là bị ù tai —tức tiếng vo vo, lùng bùng trong tai hoặc đầu.","(pathology) The perception of noise, such as a ringing or beating sound, which has no external source."
tessellate,verb,khảm,"On 28 May 2013, Goulding's cover of Alt-J's song "" Tessellate "" was released via her SoundCloud page.","Vào ngày 28 tháng 5 năm 2013, Goulding đã cover lại bài hát ""Tessellate"" của Alt-J và phát hành trên trang SoundCloud của cô.","(transitive) To cover with tiles or stones, as a mosaic."
tripe,noun,bài văn dở,Tripe soup.,Súp lòng bò .,"The lining of the large stomach of ruminating animals, when prepared for food."
impotent,adjective,bất lực,"That great city, Babylon, will be rendered impotent , as good as dead.","Thành lớn đó, thành Ba-by-lôn, sẽ trở nên bất lực như bị chết vậy.",Lacking physical strength or vigor; weak.
grandiose,adjective,vĩ đại,Defense: That grandiosity was part of the king’s role as a model for his people.,Sự vĩ đại đó là một phần của ngôi vua tượng trưng cho hình mẫu của nhân dân.,"large and impressive, in size, scope or extent"
awakening,noun,thức tỉnh,Your possibilities will be endless once the magic awakens in your heart.,"Quyền lực của em sẽ là vô tận, một khi nó thức tỉnh trong tim em.","Rousing from sleep, in a natural or a figurative sense; rousing into activity; exciting; as, the awakening city; an awakening discourse; the awakening dawn."
deceive,verb,lừa dối,"(Matthew 15:14) Moreover, people deceive themselves in religious matters.","(Ma-thi-ơ 15:14) Ngoài ra, người ta còn tự lừa dối mình về mặt tôn giáo nữa.",To trick or mislead.
disturbing,adjective,làm xáo trộn,We have met together in peace without disturbance of any kind.,Chúng ta đã cùng nhau tụ họp trong sự bình an mà không có bất cứ điều gì làm xáo trộn .,Causing distress or worry; upsetting or unsettling.
empire,noun,đế quốc,It takes an emperor to rule an empire .,Cần có một vị hoàng đế để cai trị một đế quốc .,A political unit having an extensive territory or comprising a number of territories or nations and ruled by a single supreme authority.
imperial,noun,hoàng đế,"The imperial authority did not always share that view, however.","Tuy nhiên, hoàng đế không luôn luôn có cùng quan điểm đó.","Related to an empire, emperor, or empress."
menace,verb,dọa,Monkeys can be a menace in the market.,Những con khỉ có thể là mối đe dọa ở chợ.,a perceived threat or danger
millennium,noun,thiên niên kỷ,The Sith have been extinct for a millennium .,Người Sith đã tuyệt chủng cả thiên niên kỷ rồi.,A period of time consisting of one thousand years.
