word,part_of_speech,meaning,example,example_meaning,definition
oblige,verb,bắt buộc,I could have obliged the Signoria and had you thrown out.,Ta có thể bắt buộc các lãnh địa và em đã ném ra ngoài.,"(transitive) To constrain someone by force or by social, moral or legal means."
decadent,adjective,suy đồi,"Today, civilization as we know it is corrupt and decadent .","Ngày nay, nền văn minh như chúng ta biết đã bị thối nát và suy đồi .",Characterized by moral or cultural decline.
frontier,noun,biên giới,That means they're gonna be attacking up and down the frontier .,Có nghĩa là chúng sẽ tấn công biên giới .,"That part of a country which fronts or faces another country or an unsettled region; the marches; the border, confine, or extreme part of a country, bordering on another country; the border of the settled and cultivated part of a country; as, the frontier of civilization."
poach,verb,săn trộm,"And with soldiers, they went to the forest for poaching elephants.","Và bọn lính, chúng vào rừng để săn trộm voi.",(transitive) to cook something in simmering water
glower,verb,trừng mắt nhìn,Nobody glowers quite like you.,Không có ai nhìn khó chịu như ông.,(intransitive) To look or stare with anger.
vagabond,adjective,tên du đãng,"If not, I will be a vagabond .""","Đến lúc đó, ta sẽ trở thành một kẻ vô tư lự.""",A person on a trip of indeterminate destination and/or length of time.
lynch,verb,hành hình kiểu linsơ,"Although Tom is spared from being lynched , he is killed with excessive violence during an attempted escape from prison, being shot seventeen times.","Dù nhân vật Tom thoát khỏi cảnh bị hành hình kiểu linsơ , anh cuối cùng bị giết trong cảnh bạo lực thái quá khi tìm cách thoát khỏi nhà tù, lúc ấy, anh bị bắn đến 17 lần.","(pejorative) To execute without a proper legal trial, especially by hanging."
protrude,verb,thò ra,I have an unidentified metal object protruding from the bottom.,Tôi có một vật bằng kim loại chưa nhận biết được thò ra ở đáy biển.,"To extend from, above or beyond a surface or boundary; to bulge outward; to stick out."
strut,adjective,đi khệnh khạng,You think you can just strut back in here like nothing's ever happened?,Anh nghĩ anh có thể đi khệnh khạng vào đây và coi như chưa có gì xảy ra?,A support rod.
domestic,adjective,nội địa,Sheremetyevo-1 (used by domestic flights) was opened on 3 September 1964.,Sheremetyevo-1 (được sử dụng cho các tuyến nội địa ) được mở cửa vào ngày 3/11/1964.,Of or relating to the home.
clamber,verb,trèo,Can you clamber out?,Có thể trèo ra được không?,"To climb something with some difficulty, or in a haphazard fashion."
graze,verb,sượt qua,"Bullet grazed my cheek, but I haven't fallen.",Viên đạn đã sượt qua má tôi nhưng tôi vẫn chưa gục ngã.,The act of grazing; a scratching or injuring lightly on passing.
placidly,adverb,,"Jem said placidly , “We are going to give a note to Boo Radley.”","Jem nói một cách bình thản, “Tụi tao sẽ gửi một lá thư cho Boo Radley.”",In a placid manner.
ration,noun,khẩu phần,"Then the food ration office, if they're alive, they've got to eat!","Rồi văn phòng cấp khẩu phần ăn, nếu còn sống, họ sẽ phải ăn!",A portion designated to a person or group.
conservatory,noun,nhạc viện,Didn't you girls say you went to a conservatory ?,Không phải hai cô nói là đã từng học nhạc viện sao?,(rare) pertaining to conservation
bridle,verb,hểnh,What will help us to bridle our tongue?,Điều gì sẽ giúp chúng ta kiềm chế miệng lưỡi?,The headgear with which a horse is directed and which carries a bit and reins.
groom,verb,chú rể,"No, it's only bad luck if the groom isn't here before the wedding.","Không, chỉ xui xẻo khi chú rể không có đây trước đám cưới.",A man who is about to become or has recently become part of a married couple. Short form of bridegroom.
plait,noun,bím tóc,We'll plait a braid first.,Chúng ta sẽ tết một bím tóc trước.,"A flat fold; a doubling, as of cloth; a pleat; as, a box plait."
pram,noun,xe nôi,Somebody already wants to buy the pram .,Có người muốn xúc cái xe nôi rồi.,"(New Zealand, UK, Australian) A small vehicle in which a newborn baby is pushed around in a lying position; a perambulator"
bleak,adjective,ảm đạm,And the overall outlook for man’s future remains bleak .,Và viễn tượng nói chung về tương lai của con người vẫn ảm đạm .,Without color; pale; pallid.
apartheid,verb,Apacthai,It's bigger than the anti- apartheid movement.,Nó còn lớn hơn phong trào chống Apacthai .,The policy of racial separation used in South Africa from 1948 to 1990.
port,adjective,cổng,Choose a port where the server listens on,Chọn một cổng để máy chủ lắng nghe,"(telephony) To carry or transfer an existing telephone number from one telephone service provider to another.Ferrarama 21:06, 8 November 2010 (UTC)"
anthropologist,noun,nhà nhân loại học,"And then they write a paper, and maybe a few other anthropologists read it,",Và rồi họ viết một văn kiện và có thể vài nhà nhân loại học khác đọc nó,One who is versed in anthropology.
paleontologist,noun,nhà cổ sinh vật học,You're a paleontologist too?,Cô cũng là nhà cổ sinh vạt học à?,one who studies paleontology
missionary,noun,người truyền giáo,Ask the missionaries !,Hãy hỏi những người truyền giáo !,A person who travels attempting to spread a religion or a creed.
accordance,noun,sự ban cho,Paul explains that “we have gifts differing according to the undeserved kindness given to us.”,"Phao-lô giải thích “chúng ta có các sự ban - cho khác nhau, tùy theo ơn đã ban cho chúng ta”.",Agreement; harmony; conformity; compliance.
initiation,noun,lễ kết nạp,You want to tell us about initiation ?,Cậu có muốn chúng tôi biết về lễ kết nạp không?,"The act of initiating, or the process of being initiated or introduced; as, initiation into a society, into business, literature, etc."
expedition,noun,cuộc thám hiểm,Byrd’s expeditions illustrate the value of keeping a log.,Những cuộc thám hiểm của ông Byrd làm nổi bật giá trị của việc ghi chép sổ lưu.,(obsolete) The quality of being expedite; efficient promptness; haste; dispatch; speed; quickness; as to carry the mail with expedition.
colonial,adjective,thực dân,"I know, one has to reason with these colonials to get them to do anything",Phải tranh luận với những tên thực dân này để bắt chúng làm gì đó,of or pertaining to a colony.
drab,adjective,buồn tẻ,That's too drab for a spring day.,Cái đó quá buồn tẻ cho một ngày xuân.,"A fabric, usually of thick wool or cotton, having a drab blee or colour."
poacher,noun,người săn trộm,"I caught a couple of poachers , sir, with snares and rabbits, this morning.","Tôi bắt được mấy người săn trộm , thưa ông, với bẫy và thỏ, sáng nay.","A person who trespasses in order to take game illegally, one who poaches."
impale,verb,đâm qua,I've been impaled .,Tôi bị xuyên qua này!,to pierce with a pale; to put to death by fixing on a sharp stake.
shingle,verb,đá cuội,The stress brought on a painful case of shingles .,"Sự căng thẳng đã khiến tôi mắc chứng bệnh đau đớn, đó là zôna thần kinh .",(by extension) Any paddle used for corporal punishment
ranger,noun,biệt kích,"You could've killed me, Space Ranger .","Ngươi có thể đã giết ta, tên biệt kích không gian.","a keeper, guardian, or soldier who ranges over a region to protect the area or enforce the law."
foliage,noun,lá,A number of deciduous plants remove nitrogen and carbon from the foliage before they are shed and store them in the form of proteins in the vacuoles of parenchyma cells in the roots and the inner bark.,"Một số cây rụng lá rút đi nitơ và cacbon từ tán lá trước khi cho rụng đi, và sẽ trữ lại những chất đó dưới dạng protein tại không bào của các tế bào mô mềm ở rễ và phần vỏ cây nằm trong.",An architectural ornament representing foliage.
nocturnal,adjective,về đêm,One of the most voracious nocturnal predators is also one of the hardest to see.,Một trong những thú săn mồi phàm ăn về đêm cũng là kẻ khó thấy nhất.,"(of a person, creature, group, or species) Primarily active during the night."
loom,verb,khung cửi,It is spun on the looms of the gods.,Nó được kéo sợi trên khung cửi của thần linh.,"A frame or machine of wood or other material, in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric, as in knitting or lace making"
vigil,noun,kinh cầu ban đêm,“Be Vigilant ”,“ Hãy tỉnh - thức ”,"a watch kept during normal sleeping hours, especially over the body of a recently deceased or dying person"
bristle,verb,lông cứng,""" by ends of nimble bristles",""" với những ngọn lông cứng thuần thục, """,A stiff or coarse hair.
retaliate,verb,trả đũa,"If you do something, then tomorrow they'll retaliate .","Nếu anh làm gì đó với họ, thì ngày mai họ sẽ trả đũa lại anh.",To do something harmful or negative to get revenge for some harm; to fight back or respond in kind to an injury or affront.
wean,verb,cai sữa,"Weaning occurs on the 11th to 20th day, according to different studies.","Việc cai sữa xảy ra vào ngày 11 đến ngày 20, theo các nghiên cứu khác nhau.",(transitive) To cease giving milk to an offspring.
sparse,adjective,thưa thớt,Vegetation becomes even more sparse towards the northwest due to low rainfall.,Cây cỏ trở nên thưa thớt hơn ở phía tây bắc vì lượng mưa thấp.,Having widely spaced intervals.
tolerant,adjective,khoan dung,Prejudice had led me to think that they would be the least tolerant people.,"Trước đây, do thành kiến tôi nghĩ rằng họ là người ít có lòng khoan dung nhất.",tending to withstand or survive
instinctive,adjective,do bản năng,"They instinctively gravitate toward living in a pack under a leader, or alpha dog.","Do bản năng , chúng có khuynh hướng sống thành bầy do một con làm đầu, tức chó đầu đàn.","driven by impulse, spontaneous and without thinking."
precocious,adjective,sớm,"No, I was precocious .","Không, tôi tò mò thôi .",Characterized by exceptionally early development or maturity.
ploy,verb,khoé,An Old Ploy to Capture New Prey,Dùng chước cũ để bắt mồi mới,"A tactic, strategy, or gimmick."
chrysalis,noun,con nhộng,"Caterpillar into chrysalis , or pupa, and from thence into beauty.",Sâu trong kén hay con nhộng ... Rồi từ đó hóa đẹp đẽ.,"the pupa of a butterfly or moth, enclosed inside a cocoon, in which metamorphosis takes place"
juncture,noun,tình hình,At this juncture the door bell rang.,"Tại thời điểm này, chuông cửa reo.","a place where things join, a junction"
mottled,adjective,lốm đốm,"Javas appear in three color variations today: Black, Mottled , and White.","Gà Java có bề ngoài trong ba biến thể màu sắc ngày nay: đen, đốm và trắng.",Colored in patches; spotted
recumbent,adjective,nằm nghiêng,"Night, recumbent body position, changes in B.P.","Ban đêm, ngủ nằm nghiêng , huyết áp thay đổi....",Lying down.
morosely,adverb,,This view is not cynical or somber or morose or morbid.,Quan điểm này không yếm thế hoặc u sầu hoặc ủ rũ hoặc đen tối.,In a morose or sulky manner; gloomily
scowl,verb,cau,She comes out in the hallway to scowl at me every time I take the stairs.,Bà ấy ra ngoài hành lang và cau có mỗi lần anh lên cầu thang.,"The wrinkling of the brows or face in frowning; the expression of displeasure, sullenness, or discontent in the countenance; an angry frown."
periscope,verb,kính ngắm,Lifeboat? Periscope ?,"Thuyền cứu sinh, kính tiềm vọng , bất kỳ thứ gì?",A form of viewing device that allows the viewer to see things at a different height level and usually with minimal visibility.
brusquely,adverb,,"“Fine,” he brusquely answers.","“Bình thường”, con trả lời cộc lốc .",In a brusque manner; abruptly; rudely.
pantomime,noun,kịch câm,Invite the children to pantomime the correct way to pray.,Mời các em diễn kịch câm cách cầu nguyện đúng.,"(now rare) A Classical comic actor, especially one who works mainly through gesture and mime. [from 17th c.]"
contemplate,verb,ngắm,"There is no way anchoring south of here could even be contemplated , and Dr. Scott knows it.","Không cách nào neo ở phía Nam dù ngắm cảnh, và Tiến sĩ Scott biết điều đó.",To think about something in a concentrated manner or for an extended period of time. To think deeply about something; to ponder or consider.
imperiously,adverb,,Establishment of the empire and imperial guard.,Thành lập đế quốc và vệ quân .,In an imperious manner.
carp,noun,cá chép,"In a few generations, there'll be no females left, no more carp .","Sau một vài thế hệ sẽ không còn giống cái, không còn cá chép nữa.","Any of various freshwater fish of the family Cyprinidae, especially the common carp, Cyprinus carpio."
mimic,adjective,bắt chước,And then it would mimic everything I was doing.,Và nó sẽ bắt chước mọi việc em làm.,"To imitate, especially in order to ridicule."
irrigation,noun,thủy lợi,Frost has been begging to show off this irrigation system for weeks.,Frost đã xin đề xuất hệ thống thủy lợi này cả tuần nay rồi.,"The act or process of irrigating, or the state of being irrigated; especially, the operation of causing water to flow over lands, for nourishing plants."
scourge,verb,cái roi,Scourging 129,Đánh đập 129,"(uncountable) A persistent pest, illness, or source of trouble, (figurative) cause of suffering to people."
laden,adjective,khẳm,Who killed bin Ladenism ?,Ai đã giết chết chủ nghĩa bin Laden?,Past participle of lade
derision,noun,trò cười,"He immediately became an object of derision , as did my mother and I.",Cả cha mẹ và tôi đều bị đưa ra làm trò cười .,Act of treating with disdain.
receptive,adjective,dễ tiếp thu,(2 Kings 22:19) Josiah’s heart was humble and receptive .,(2 Các Vua 22:19) Lòng của Giô-si-a khiêm nhường và dễ tiếp thu .,capable of receiving something
nuisance,noun,mối gây khó chịu,Am I a nuisance ?,Tôi có phải rất đáng ghét không.,A minor annoyance or inconvenience.
hunch,verb,linh cảm,I have a hunch that you have a hunch that I am telling the truth.,Tôi có một linh cảm là ông có linh cảm thấy tôi đang nói sự thật.,A stooped or curled posture; a slouch.
rheumatism,noun,bệnh thấp khớp,"Later, she also developed rheumatism .","Sau đó, Elsa cũng bị bệnh thấp khớp .","(pathology) Any disorder of the muscles, tendons, joints, bones, nerves, characterized by pain, discomfort and disability."
subdue,verb,chinh phục,"Cyrus subdues kings, and these are scattered like dust before him.","Si-ru chinh phục các vua, và họ bị tan tác như bụi trước mặt ông.","To overcome, quieten, or bring under control."
rapt,adjective,chăm chú,"The man pays rapt attention to the white-haired, bearded speaker wearing a long black coat.","Ông chăm chú nhìn diễn giả có râu và tóc bạc trắng, mặc chiếc áo choàng dài màu đen.","Very interested, involved in something, absorbed, transfixed; fascinated or engrossed."
reprehensible,adjective,đáng bị khiển trách,"While all lying is reprehensible , some lies are more serious than others.","Dù mọi hình thức nói dối đều đáng bị khiển trách , nhưng một số lời nói dối nghiêm trọng hơn những lời khác.","Blameworthy, censurable, guilty."
reverent,adjective,tôn kính,"Learn to be reverent , because the temple is a very reverent place.","Học cách tôn kính , vì đền thờ là một nơi rất tôn nghiêm.",showing respect or reverence; respectful
bemused,adjective,,"And they all looked a bit bemused , and said,","Và tất cả họ trông có chút bối rối, rồi nói:",Simple past tense and past participle of bemuse.
retreat,verb,rút lui,The British finally retreated .,Người Anh cuối cùng cũng rút lui .,"The act of pulling back or withdrawing, as from something dangerous, or unpleasant."
poised,adjective,thăng bằng,All you chumps Think you got poise,Những cái đầu bị thịt kia Hãy nghĩ các cậu có thể thăng bằng,"Possessing poise, having self-confidence."
bleat,verb,be be,So it started to bleat plaintively.,Thế là nó bắt đầu kêu be be thảm thiết.,The characteristic cry of a sheep or a goat.
pulley,verb,cái ròng rọc,The cord on this pulley is soaked with acid.,Dây thừng trên cái ròng rọc này được nhúng vô acid.,One of the simple machines; a wheel with a grooved rim in which a pulled rope or chain will lift an object (more useful when two or more pulleys are used together such that a small force moving through a greater distance can exert a larger force through a smaller distance).
jeer,verb,chế nhạo,They jeer at you.,Chúng chế nhạo bạn.,A railing remark or reflection; a scoff; a taunt; a biting jest; a flout; a jibe; mockery.
tend,verb,chăn dắt,"And I tended his khashi, and he threw me the remains of his food.'","Từ đó, tôi chăn dắt đàn khasi cho ông ta, và ông ta vứt cho tôi những thứ thức ăn thừa”.",To make a tender of; to offer or tender.
hurl,verb,quăng,The horse and its rider he has hurled into the sea.,Ngài quăng ngựa lẫn người cưỡi ngựa xuống biển sâu.,(transitive) To throw (something) with force.
tenement,noun,nhà tập thể,We lived in tenements .,Cả hai cùng sống trong nhà tập thể .,"(law) any form of property that is held by one person from another, rather than being owned"
