Name,Link
The Remains of the Day,/lists/7o2tflqb/remains-of-the-day
The London Eye Mystery,/lists/ecpftg4e/london-eye-mystery
The Grapes of Wrath,/lists/66ytudme/grapes-of-wrath
White Bird,/lists/ieszhnld/white-bird
Around the World in Eighty Days,/lists/47yd6hvn/around-the-world-in-eighty-days
The Birchbark House,/lists/rdgxgeev/birchbark-house
Our Only May Amelia,/lists/2edf23an/our-only-may-amelia
Elephant Run,/lists/trg5kgvl/elephant-run
The War That Saved My Life,/lists/n3trohjg/war-that-saved-my-life
We Are Not from Here,/lists/sw5yxoyv/we-are-not-from-here
A Man Called Ove,/lists/s2w66gch/man-called-ove
The Glory Field,/lists/2hejxe37/glory-field
"Ties That Bind, Ties That Break",/lists/m2ocycxt/ties-that-bind-ties-that-break
The Bridge of San Luis Rey,/lists/dxwmrd5e/bridge-of-san-luis-rey
The Color of My Words,/lists/niofmr2m/color-of-my-words
Year of Impossible Goodbyes,/lists/mwmgramo/year-of-impossible-goodbyes
The Kite Runner,/lists/rqmz4iyj/kite-runner
A Portrait of the Artist as a Young Man,/lists/7ptemks5/portrait-of-the-artist-as-a-young-man
Johnny Tremain,/lists/kypqaxsr/johnny-tremain
The Unfinished Angel,/lists/ffidvbv5/unfinished-angel
145th Street,/lists/6b4jt67q/145th-street
Crime and Punishment,/lists/kd52h4ag/crime-and-punishment
Girl with a Pearl Earring,/lists/xz66lkxd/girl-with-a-pearl-earring
Elijah of Buxton,/lists/uhu3xiph/elijah-of-buxton
Their Eyes Were Watching God,/lists/w5sgkmcj/their-eyes-were-watching-god
Homeless Bird,/lists/dplbmtti/homeless-bird
Sold,/lists/vfrekp4g/sold
A Single Shard,/lists/r4jky3ma/single-shard
The Good Earth,/lists/cnlr4dfl/good-earth
The Kite Fighters,/lists/2b5pncfv/kite-fighters
Nectar in a Sieve,/lists/5i344hgy/nectar-in-a-sieve
The Sword in the Tree,/lists/6doix56p/sword-in-the-tree
This Light Between Us,/lists/5xnajpuj/this-light-between-us
Shabanu,/lists/gkxi4epf/shabanu
And Both Were Young,/lists/bcp7kov3/and-both-were-young
A Passage to India,/lists/2rdboxdq/passage-to-india
The Night Diary,/lists/3s5khhwx/night-diary
A Bend in the River,/lists/6vqkxi7q/bend-in-the-river
Howards End,/lists/lfik3ta7/howards-end
Charlie Thorne and the Last Equation,/lists/i2iufgjq/charlie-thorne-and-the-last-equation
Genuine Fraud,/lists/7ueb7jgi/genuine-fraud
Murder on the Orient Express,/lists/rnrq34vj/murder-on-the-orient-express
The Sisterhood of the Traveling Pants,/lists/kizst7jv/sisterhood-of-the-traveling-pants
The Lost Year,/lists/d23lnf6e/lost-year
The Candle and the Flame,/lists/qc37t7lt/candle-and-the-flame
Ronit and Jamil,/lists/lgryrnle/ronit-and-jamil
Omar Rising,/lists/i6ykekvg/omar-rising
A Thousand Splendid Suns,/lists/t4l5cckf/thousand-splendid-suns
One Half from the East,/lists/7ipf2nej/one-half-from-the-east
The Summer of Bitter and Sweet,/lists/3i64xz5w/summer-of-bitter-and-sweet
My Fine Fellow,/lists/xlukdge2/my-fine-fellow
High Spirits,/lists/bn5z7yal/high-spirits
When the Angels Left the Old Country,/lists/2jynkjxz/when-the-angels-left-the-old-country
"I, Juan de Pareja",/lists/u622suyq/i-juan-de-pareja
The Beekeeper of Aleppo,/lists/fxqbdw35/beekeeper-of-aleppo
The Fountains of Silence,/lists/3i2pgclf/fountains-of-silence
City of Saints and Thieves,/lists/ef7hdews/city-of-saints-and-thieves
Summer of the Mariposas,/lists/axs4mjlu/summer-of-the-mariposas
New From Here,/lists/lj6b42uc/new-from-here
Ikenga,/lists/mg2oxs3p/ikenga
Hamilton,/lists/ghoh3wl4/hamilton
A Raisin in the Sun,/lists/jg6ao4rg/raisin-in-the-sun
The Crucible,/lists/5lfsycms/crucible
Harry Potter and the Cursed Child,/lists/m7lmtesh/harry-potter-and-the-cursed-child
Arcadia,/lists/7ytqvhwe/arcadia
A Doll's House,/lists/vrrbrpll/dolls-house
Antigone,/lists/4gtqxcii/antigone
Cat on a Hot Tin Roof,/lists/ojekjgvn/cat-on-a-hot-tin-roof
Death of a Salesman,/lists/rr3jl3wv/death-of-a-salesman
Our Town,/lists/djtphzbl/our-town
Death and the King's Horseman,/lists/qrw65n2o/death-and-the-kings-horseman
Doctor Faustus,/lists/iedsltby/doctor-faustus
Fences,/lists/wjldihvi/fences
Inherit the Wind,/lists/mn5qfcgc/inherit-the-wind
Oedipus the King,/lists/yd25z735/oedipus-the-king
Oedipus at Colonus,/lists/2v45ocvp/oedipus-at-colonus
Rosencrantz and Guildenstern Are Dead,/lists/4cfp6ax5/rosencrantz-and-guildenstern-are-dead
Pygmalion,/lists/2rhlxr7x/pygmalion
The Diary of Anne Frank,/lists/ntdvw5pb/diary-of-anne-frank
A Streetcar Named Desire,/lists/msghgr5b/streetcar-named-desire
The Miracle Worker,/lists/42rldwmn/miracle-worker
The Duchess of Malfi,/lists/wieucy2r/duchess-of-malfi
The Glass Menagerie,/lists/vtcyr3wr/glass-menagerie
The Importance of Being Earnest,/lists/zfwpksja/importance-of-being-earnest
Lady Windermere's Fan,/lists/5wgz6tvf/lady-windermeres-fan
Prometheus Unbound,/lists/sokvw2ms/prometheus-unbound
Twelve Angry Men,/lists/rz37roaw/twelve-angry-men
Waiting for Godot,/lists/rh5mnv6p/waiting-for-godot
for colored girls who have considered suicide / when the rainbow is enuf,/lists/l65qixpo/for-colored-girls-who-have-considered-suicide-when-the-rainbow-is-enuf
Trifles,/lists/blo4iuzs/trifles
The Laramie Project,/lists/c3jrynnz/laramie-project
Arms and the Man,/lists/jtgz43ha/arms-and-the-man
All My Sons,/lists/6vcuikpd/all-my-sons
High Spirits,/lists/bn5z7yal/high-spirits
1-2-3 Scream!,/lists/cv5jdjaf/1-2-3-scream
Baseball in April,/lists/muhxwac2/baseball-in-april
Interpreter of Maladies,/lists/uyyfvnsq/interpreter-of-maladies
The Ch'i-lin Purse,/lists/4b2b7pxk/chi-lin-purse
Auggie & Me,/lists/deat6vtg/auggie-me
Blackout,/lists/64shqpqm/blackout
Fresh Ink,/lists/6v5axsxb/fresh-ink
The Jungle Book,/lists/c7rosgxt/jungle-book
Flying Lessons & Other Stories,/lists/vtr32v5t/flying-lessons-other-stories
The Circuit,/lists/zuodvehb/circuit
Krik? Krak!,/lists/bs77ahiq/krik-krak
Nine Stories,/lists/trivc4pp/nine-stories
Sideways Stories from Wayside School,/lists/ven646p6/sideways-stories-from-wayside-school
Dubliners,/lists/2nuks26g/dubliners
Selected Short Stories of H.G. Wells,/lists/2eu3j24h/selected-short-stories-of-h-g-wells
"Winesburg, Ohio",/lists/zx64qrvr/winesburg-ohio
The Canterville Ghost,/lists/oqyh4ux3/canterville-ghost
The Collectors,/lists/e4njep3m/collectors
You Are Here: Connecting Flights,/lists/jkcc26bo/you-are-here-connecting-flights
Awkward,/lists/aiucjeu4/awkward
Smile,/lists/ae7srck7/smile
New Kid,/lists/gxipmj27/new-kid
Measuring Up,/lists/gu3ux2mi/measuring-up
This Was Our Pact,/lists/2l44yk6q/this-was-our-pact
The Magic Fish,/lists/kun3bvnv/magic-fish
March: Book One,/lists/r5nlld2p/march-book-one
Persepolis,/lists/saaefyoz/persepolis
Brave,/lists/vg32wxgx/brave
Crush,/lists/kiccozmk/crush
The Unwanted,/lists/o7cbv35s/unwanted
I Am Alfonso Jones,/lists/vrhbmxtu/i-am-alfonso-jones
Maus I: My Father Bleeds History,/lists/yim7rk5o/maus-i-my-father-bleeds-history
All's Faire in Middle School,/lists/emdsvep6/alls-faire-in-middle-school
Guts,/lists/fbzgg6pg/guts
The Cardboard Kingdom,/lists/2dwh5nrs/cardboard-kingdom
They Called Us Enemy,/lists/dxbjnqqv/they-called-us-enemy
Laura Dean Keeps Breaking Up with Me,/lists/lozz7vwf/laura-dean-keeps-breaking-up-with-me
Primates,/lists/lmglpnz6/primates
Stargazing,/lists/q5okvehy/stargazing
Kiss Number 8,/lists/mwv7w33j/kiss-number-8
Pashmina,/lists/grug5o2n/pashmina
In Real Life,/lists/xhluhhip/in-real-life
Class Act,/lists/akf37i3z/class-act
Displacement,/lists/3jrxktbl/displacement
The Legend of Auntie Po,/lists/ydbyroir/legend-of-auntie-po
Flamer,/lists/ppzja7nx/flamer
Secret Coders,/lists/xjfbml34/secret-coders
Dragon Hoops,/lists/7qq34f5t/dragon-hoops
Twins,/lists/r4vmme45/twins
Queen of the Sea,/lists/caag2ghb/queen-of-the-sea
Snapdragon,/lists/ck4iswgt/snapdragon
White Bird,/lists/ieszhnld/white-bird
Drama,/lists/eq5jfm24/drama
Sisters,/lists/wufypo3k/sisters
March: Book Two,/lists/m3ikihjh/march-book-two
March: Book Three,/lists/lolsgjo6/march-book-three
March: Book One,/lists/r5nlld2p/march-book-one
When Stars Are Scattered,/lists/b23iccua/when-stars-are-scattered
El Deafo,/lists/gu4u67jg/el-deafo
Banned Book Club,/lists/bv4au5dx/banned-book-club
"Hey, Kiddo",/lists/ljyioimr/hey-kiddo
Persepolis,/lists/saaefyoz/persepolis
Astronauts,/lists/wt3c46uo/astronauts
Dragon Hoops,/lists/7qq34f5t/dragon-hoops
Drowned City: Hurricane Katrina & New Orleans,/lists/kdgzhu53/drowned-city-hurricane-katrina-new-orleans
They Called Us Enemy,/lists/dxbjnqqv/they-called-us-enemy
Pelé,/lists/lveq2egc/pele
Primates,/lists/lmglpnz6/primates
World Without Fish,/lists/tvu4lprw/world-without-fish
Guts,/lists/fbzgg6pg/guts
March: Book Two,/lists/m3ikihjh/march-book-two
March: Book Three,/lists/lolsgjo6/march-book-three
Sisters,/lists/wufypo3k/sisters
Smile,/lists/ae7srck7/smile
The Unwanted,/lists/o7cbv35s/unwanted
Be Prepared,/lists/bpwctrts/be-prepared
Maus I: My Father Bleeds History,/lists/yim7rk5o/maus-i-my-father-bleeds-history
Maus II: And Here My Troubles Began,/lists/er43liok/maus-ii-and-here-my-troubles-began
The Faithful Spy,/lists/64gvlsd6/faithful-spy
Almost American Girl,/lists/mgv3reo3/almost-american-girl
Run: Book One,/lists/xafrwlae/run-book-one
A First Time for Everything,/lists/hhybquao/first-time-for-everything
Mexikid,/lists/kip2q4nr/mexikid
Hidden Figures,/lists/mvpp2vfg/hidden-figures
Amelia Lost,/lists/uz2y5ipb/amelia-lost
Vincent and Theo,/lists/6wtffwqe/vincent-and-theo
Out of Darkness,/lists/aijykxcc/out-of-darkness
Pelé,/lists/lveq2egc/pele
First Man: The Life of Neil A. Armstrong,/lists/2xsie3i7/first-man-the-life-of-neil-a-armstrong
Harriet Tubman,/lists/3yy6ha34/harriet-tubman
Unbroken,/lists/jxbiqg5d/unbroken
Cleopatra,/lists/qbptiyrh/cleopatra
Charles and Emma,/lists/hhdqemha/charles-and-emma
The Faithful Spy,/lists/64gvlsd6/faithful-spy
The Immortal Life of Henrietta Lacks,/lists/nngbzwua/immortal-life-of-henrietta-lacks
The Girl Who Drew Butterflies,/lists/fpflxbkm/girl-who-drew-butterflies
Primates,/lists/lmglpnz6/primates
Astronauts,/lists/wt3c46uo/astronauts
Claudette Colvin: Twice Toward Justice,/lists/ps2y73jf/claudette-colvin-twice-toward-justice
Escape from Camp 14,/lists/uz6ual75/escape-from-camp-14
Drama High,/lists/kunpp6bz/drama-high
Enrique's Journey,/lists/jj7jhbxl/enriques-journey
"George Washington, Spymaster",/lists/3jfb7kv5/george-washington-spymaster
Surviving Hitler,/lists/mzmjve3u/surviving-hitler
The Voice That Challenged a Nation,/lists/h4oar4e4/voice-that-challenged-a-nation
The Other Wes Moore,/lists/2xi2vguo/other-wes-moore
Zeitoun,/lists/5zs3vbnj/zeitoun
Lincoln's Last Days,/lists/aao5li5l/lincolns-last-days
Founding Brothers,/lists/7ma5mfw6/founding-brothers
The Rise and Fall of Charles Lindbergh,/lists/titdlevl/rise-and-fall-of-charles-lindbergh
Sachiko,/lists/6ilo46ai/sachiko
The Boy Who Invented TV,/lists/yydnx4ko/boy-who-invented-tv
Promises to Keep,/lists/ihfvxzau/promises-to-keep
Sojourner Truth: Ain't I a Woman?,/lists/havykmcw/sojourner-truth-aint-i-a-woman
Endgame,/lists/4igqtvq4/endgame
The Woman All Spies Fear,/lists/4yndrkxv/woman-all-spies-fear
In the Shadow of Liberty,/lists/wwnndfxk/in-the-shadow-of-liberty
A Face for Picasso,/lists/mgrppyte/face-for-picasso
I Am Malala,/lists/kkjix4tr/i-am-malala
Almost American Girl,/lists/mgv3reo3/almost-american-girl
Educated,/lists/4l4dqxks/educated
I Know Why the Caged Bird Sings,/lists/mp532xvv/i-know-why-the-caged-bird-sings
Apple,/lists/2ljn37ry/apple
Brown Girl Dreaming,/lists/esrg7ttd/brown-girl-dreaming
The Glass Castle,/lists/ewxdgzaz/glass-castle
Born a Crime,/lists/fgyutrhj/born-a-crime
"Hey, Kiddo",/lists/ljyioimr/hey-kiddo
Hunger of Memory,/lists/yjhwbxuq/hunger-of-memory
Kaffir Boy,/lists/jx4m6amw/kaffir-boy
"March Forward, Girl",/lists/bfqocarg/march-forward-girl
Black Boy,/lists/2l2daxm3/black-boy
How Dare the Sun Rise,/lists/qe5g7rdz/how-dare-the-sun-rise
October Sky,/lists/yollemca/october-sky
Ugly,/lists/ku2kawtw/ugly
Taking Flight,/lists/p4aym64o/taking-flight
Three Little Words,/lists/zsd536a6/three-little-words
Free Lunch,/lists/aw6wassc/free-lunch
I Was Their American Dream,/lists/rfzmtijj/i-was-their-american-dream
Ordinary Hazards,/lists/zgnxrsb4/ordinary-hazards
A Long Way Home,/lists/6skrnd6t/long-way-home
All Boys Aren't Blue,/lists/uzkd5v4o/all-boys-arent-blue
Facing the Lion,/lists/gwlgvkzf/facing-the-lion
Breaking Through,/lists/uqsfkpmd/breaking-through
A First Time for Everything,/lists/hhybquao/first-time-for-everything
Notes of a Native Son,/lists/c464fowx/notes-of-a-native-son
Consider the Lobster,/lists/ny4obdvn/consider-the-lobster
