word,part_of_speech,meaning,example,example_meaning,definition
persuasive,adjective,có sức thuyết phục,"As we endeavor to speak persuasively , what should we keep in mind?","Nếu muốn lời nói của mình có sức thuyết phục , chúng ta nên nhớ những điều gì?",able to persuade; convincing
halo,verb,vầng hào quang,I finally got rid of my halo .,Cuối cùng em đã đánh mất vầng hào quang của mình.,"(astronomy) A circular band of coloured light, visible around the sun or moon etc., caused by reflection and refraction of light by ice crystals in the atmosphere."
nix,verb,chú ý,Essentially nixing the girls you don't want to bang.,Hãy chú ý tới các cô gái kia. Bem hết những cô gái nào anh không muốn.,(colloquial): nothing.
rally,verb,tập hợp lại,Our forces rallied ... wand drove the Orcs back.,Chúng ta tập hợp lại và đẩy lui bọn Chằn.,"(squash (sport), table tennis, tennis, badminton) A sequence of strokes between serving and scoring a point."
migraine,noun,chứng đau nửa đầu,A doc in St. Louis gave'em to me for migraine .,Một bác sĩ ở St.Louis kê thuốc này cho chứng đau nửa đầu .,"(pathology) A severe, disabling headache, usually affecting only one side of the head, and often accompanied by nausea, vomiting, photophobia and visual disturbances."
indentation,noun,chỗ thụt vào,"Aboukir Bay is a coastal indentation 16 nautical miles (30 km) across, stretching from the village of Abu Qir in the west to the town of Rosetta to the east, where one of the mouths of the River Nile empties into the Mediterranean.","Vịnh Aboukir là một chỗ thụt vào ở ven biển dài 16 hải lý (30 km), kéo dài từ làng Abu Qir ở phía tây đến thị trấn Rosetta ở phía Đông, nơi mà một trong những cửa của sông Nin chảy ra Địa Trung Hải.",The act of indenting or state of being indented.
ignition,noun,bộ phận đánh lửa,Might be an ignition problem with your Mustang.,Có thể bộ phận đánh lửa của chiếc Mustang có vấn đề.,The act of igniting.
jumble,verb,trộn lộn xộn,It's all jumbled together.,tất cả trộn lẫn vào nhau.,A mixture of unrelated things.
opalescent,adjective,trắng đục,"The OWL 2 translation of the vocabulary of X3D can be used to provide semantic descriptions for 3D models, which is suitable for indexing and retrieval of 3D models by features such as geometry, dimensions, material, texture, diffuse reflection, transmission spectra, transparency, reflectivity, opalescence , glazes, varnishes, and enamels (as opposed to unstructured textual descriptions or 2.5D virtual museums and exhibitions using Google Street View on Google Arts & Culture, for example).","Các OWL 2 bản dịch của từ vựng của X3D có thể được sử dụng để cung cấp giới thiệu ngữ nghĩa cho các mô hình 3D, đó là thích hợp cho việc lập chỉ mục và tìm kiếm các mô hình 3D bằng các tính năng như hình học, kích thước, vật liệu, kết cấu, phản xạ khuếch tán, phổ truyền, tính minh bạch, độ phản chiếu, màu trắng đục , men, vecni và men (trái ngược với mô tả văn bản phi cấu trúc hoặc các bảo tàng và triển lãm ảo 2.5D bằng Google Street View trên Google Arts & Culture, chẳng hạn).",Exhibiting a milky iridescence like that of an opal.
warmonger,verb,kẻ hiếu chiến,He was determined not to let his work fall into the hands of warmongers .,Ông quyết tâm không để nghiên cứu của mình Rơi vào tay những kẻ hiếu chiến .,"(pejorative) a bellicist, someone who advocates war; a militarist"
clemency,noun,khoan dung,What would you do to influence His Excellency's clemency ?,Nàng sẽ làm gì để cầu xin lòng khoan dung của Đức Ngài?,"The gentle or kind exercise of power; leniency, mercy."
arpeggio,noun,hợp âm rải,"It begins in 6 8 time, with an arpeggio guitar theme in D minor, progressing through E7(♭9) and B♭7 before cadencing on an A augmented chord.","Bài hát bắt đầu với nhịp 6/8, với một guitar hợp âm rải trên Rê thứ, phát triển tới E7(♭9) và B♭7 before cadencing on an A augmented chord.","(music) The notes of a chord played individually instead of simultaneously, usually moving from lowest to highest."
verboten,adjective,bị cấm,"So when Brother Frost thundered out, “ VERBOTEN !”","Vì thế, khi anh Frost nói lớn cụm từ “ VERBOTEN !”","forbidden, prohibited"
pyre,noun,giàn thiêu,"Specifically, it is believed that the northeastern pole of the pyre grew into this tree.","Cụ thể, người ta tin rằng cực đông bắc của giàn thiêu phát triển thành cây này.",A funeral pile; a combustible heap on which corpses are burned.
truncheon,noun,dùi cui,My truncheon can restore her memory.,Cái dùi cui của tôi có thể giúp lấy lại trí nhớ của cô ta.,"(obsolete) A fragment or piece broken off from something, especially a broken-off piece of a spear or lance."
mote,verb,hạt bụi,"Read 3 Nephi 14:3–5, and think about what the mote and beam represent.","Đọc 3 Nê Phi 14:3–5, và suy nghĩ về hạt bụi và cây đà tượng trưng cho điều gì.",A small particle; a speck.
induction,noun,cảm ứng,"Induction motor, sir.","Động cơ cảm ứng , thưa thầy.",a formal ceremony in which a person is appointed to an office or into military service
plutocracy,noun,chế độ tài phiệt,One of the things that worries me is how easily what you might call meritocratic plutocracy can become crony plutocracy .,Một trong những điều làm tôi lo lắng là cái mà chúng ta gọi chế độ tài phiệt nhân tài có thể quá dễ dàng trở thành chế độ tài phiệt bè phái.,Government by the wealthy.
moralize,verb,luận về đạo đức,"Moral arguments within cultures are especially about issues of in-group, authority, purity.","Tranh luận về đạo đức trong một nền văn hóa nào đó đặc biệt hướng về các vấn đề thuộc nội bộ nhóm, về quyền lực, sự trong sạch.",To apply to a moral purpose; to explain in a moral sense; to draw a moral from.
fascism,noun,chủ nghĩa phát xít,"Known as Il Duce (""The Leader""), Mussolini was the founder of Italian Fascism .","Được gọi là Il Duce (""The Leader""), Mussolini là người sáng lập ra chủ nghĩa phát xít Ý.","A political regime, having totalitarian aspirations, ideologically based on a relationship between business and the centralized government, business-and-government control of the market place, repression of criticism or opposition, a leader cult and exalting the state and/or religion above individual rights. Originally only applied (usually capitalized) to Benito Mussolini's Italy."
embolden,verb,khuyến khích,"Often, only a small percentage get caught, and this emboldens others.","Thông thường thì chỉ một số ít bị phát hiện, và điều này khuyến khích người khác bạo dạn hơn.",(transitive) To render (someone) more bold or courageous.
sonorous,adjective,kêu,"So, "" Sonority is time and meaning "" -- a great quote.","Vì thế, có một câu nói nổi tiếng là "" Độ vang là thời gian và có ý nghĩa ""","Capable of giving out a deep, resonant sound."
placate,verb,xoa dịu,The only thing that'll placate her is if Victoria welcomes her back into the fold.,Thứ duy nhất xoa dịu cô ta là Victoria chào đón cô ta về lại với nhóm bạn.,(transitive) To calm; to bring peace to; to influence someone who was furious to the point that he or she becomes content or at least no longer irate.
sophist,noun,giáo sự triết học,Except it's much more sophisticated .,"Cho dù là cái quái gì đi nữa, có điều tinh vi hơn nhiều.","One of a class of teachers of rhetoric, philosophy, and politics in ancient Greece, especially one who used fallacious but plausible reasoning."
contrived,adjective,có sắp xếp trước,"Their peace is a gift from God, not something contrived by humans.","Hòa bình của họ là một sự ban cho của Đức Chúa Trời, chứ không phải do con người tạo nên.",Simple past tense and past participle of contrive.
eccentricity,noun,độ lệch tâm,The eccentricity of a hyperbola is greater than 1.,Độ lệch tâm của một đường hyperbol thì lớn hơn 1.,The quality of being eccentric; any eccentric behaviour.
expatriate,adjective,bị đày biệt xứ,The Expatriate Printer,Nhà ấn loát lưu vong,(transitive) To banish; to drive or force (a person) from his own country; to make an exile of.
cloying,adjective,ngọt ngào giả tạo,"McCarthy described the film as ""energetic, humorous and not too cloying , as well as the first Hollywood film in many years to warn of global cooling rather than warming, this tuneful toon upgrades what has been a lackluster year for big studio animated fare and, beginning with its Thanksgiving opening, should live up to box office expectations as one of the studio's hoped-for holiday-spanning blockbusters.""","McCarthy miêu tả bộ phim là ""mạnh mẽ, hài hước, không quá ngọt ngào , và cũng là bộ phim Hollywood đầu tiên trong nhiều năm cảnh báo chúng ta về sự lạnh đi thay vì ấm lên toàn cầu; giai điệu du dương ấy đã giải toả một năm có thể coi là mờ nhạt với một hãng phim hoạt hình lớn và, bắt đầu với doanh thu tuần đầu tiên dịp lễ Tạ ơn như vậy, bộ phim sẽ giành được doanh thu kỳ vọng mà hãng mong đợi sẽ là một bom tấn trong dịp lễ hội này.""",Present participle of cloy.
desiccated,adjective,khô,"I know how desiccation works, Stefan. Ah-ah.","Tôi biết việc cạn kiệt ra làm sao, Stefan.",Simple past tense and past participle of desiccate.
crony,noun,bạn chí thân,It's gonna be him and his cronies versus me.,Đó sẽ là cuộc chiến giữa anh ta và đám bạn chí thân của mình với anh,(informal) Close friend.
sterling,adjective,đồng bảng Anh,Pound Sterling,Đồng bảng Anh,former British gold or silver coinage of a standard fineness: for gold 0.91666 and for silver 0.925.
maraud,verb,cướp bóc,Touch it and I'll set loose the marauding hordes of Photius.,Chạm nó là ta sẽ thả lũ cướp bóc của Photius.,(intransitive) To move about in roving fashion looking for plunder.
uxorious,adjective,bị vợ xỏ mũi,"He was King of England from 1135 to his death, and also the Count of Boulogne jure uxoris .","Ông là quốc vương Anh quốc từ năm 1135 đến khi qua đời, và cũng là Bá tước xứ Boulogne trên danh nghĩa của vợ ông .",Overly devoted or submissive to one's wife.
propitiate,verb,làm dịu,"So, propitious timing.",Nên quả là thời điểm thích hợp .,"(transitive, dated) To conciliate, appease or make peace with someone."
secession,noun,ly khai,The demonstration of 11 September 2012 explicitly called on the Catalan government to begin the process of secession .,Cuộc biểu tình ngày 11 tháng 9 năm 2012 đã nêu rõ chính phủ Catalan bắt đầu quá trình ly khai .,The act of seceding.
renege,verb,không giữ lời hứa,"Furthermore, they believed that Spain reneged on her promise of amnesty.","Hơn nữa, họ tin rằng Tây Ban Nha không giữ lời hứa trên lời hứa của ân xá.",(transitive) (archaic) To deny; to renounce
undue,adjective,không xứng đáng,Undue stress can have bad effects.,Xin ông/bà lưu ý lời khuyên hợp lý sau đây.,Excessive; going beyond that what is natural or sufficient.
abase,verb,làm nhục,You must abase yourself before her.,Ngươi phải tự làm nhục mình trước nó.,"(archaic) To lower physically or depress; to stoop; to throw or cast down; as, toabasethe eye."
catty,noun,cân,360 catties of dried beef.,Thit bò khô 360 cân .,"(informal, of a person or remark) With subtle hostility in an effort to hurt, annoy, or upset."
scrupulously,adverb,chu đáo,Boaz scrupulously followed Jehovah’s arrangement.,Bô-ô đã cẩn thận làm đúng theo sắp đặt của Đức Giê-hô-va.,"In a careful manner, with scruple; done with careful attention to detail."
portend,verb,báo trước,"21, 22. (a) What did the miracles of Jesus portend ?","21, 22. (a) Những phép lạ của Chúa Giê-su báo trước điều gì?",(transitive) to serve as a warning or omen
discomfit,adjective,làm bố rối,It is so discomfiting to hear a perfect stranger use my first name.,Thật bối rối khi được nghe một người xa lạ gọi tên tôi.,(archaic) To defeat completely; to rout.
jaundiced,adjective,vàng da,What is Jaundice ?,Vàng da là gì ?,Affected with jaundice.
prescient,adjective,tiên tri,How breathtakingly prescient of her.,Khả năng tiên tri thật là ngoạn mục làm sao.,Having knowledge of events before they take place; possessing or exhibiting prescience.
effete,adjective,bất lực,"He is generally polite, if a bit effete , and hates bugs.","Cậu nói chung rất lịch sự, một chút vô dụng , và ghét côn trùng.","(obsolete) Of substances, quantities etc: exhausted, spent, worn-out."
chassis,noun,khung gầm,Finish up the chassis ?,Làm khung gầm ?,"A base frame, or movable railway, along which the carriage of a mounted gun moves backward and forward."
cynicism,noun,cynicsm thuyết khuyến nho,Cynical .,Chán đời .,(uncountable) a distrustful attitude
sap,noun,nhựa sống,Usually these new shoots are pruned every year so that they do not sap strength from the main tree.,Thông thường những chồi non này mỗi năm được tỉa bớt để chúng không hút mất nhựa sống của cây chính.,"(uncountable) The sap-wood, or alburnum, of a tree."
luxuriate,verb,hưởng,"During dinner at the Oak Room, Frank glibly states the goals of the trip, which involve enjoying luxurious accommodations in New York before committing suicide.","Trong bữa ăn tối tại một nhà hàng thượng hạng, Slade lém lỉnh nói về mục đích của chuyến đi đến thành phố, tận hưởng phòng nghỉ sang trọng ở New York trước khi tự sát.",Enjoy luxury.
idiom,noun,thành ngữ,In this way he was able to learn the correct use of Gypsy idioms .,"Nhờ đó, ông học cách sử dụng đúng các thành ngữ Gypsy.","A manner of speaking, a way of expressing oneself."
surname,noun,họ,"When her father Yojiro Terada and her mother divorced in 2014, she (Haruhi) changed her surname to her mother's maiden name.","Khi cha cô là Terada Yojiro và mẹ cô ly hôn vào năm 2014, Haruhi cải họ cha sang họ mẹ là Nanao.","A name that indicates to which family a person belongs, normally following that person’s given name(s) in Western culture, and preceding it in Eastern."
accent,verb,dấu trọng âm,You can use two symbols (ampersands (&) and accent marks (á)) in your keywords.,"Bạn có thể sử dụng hai ký hiệu, dấu và (&) và dấu trọng âm (á), trong từ khóa của mình.",A higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.
icebreaker,noun,tàu phá băng,"So myself and the five members of the team, we hitched a ride on an icebreaker which was going to the North Pole.",Tôi và 5 thành viên khác trong đội đã đi nhờ trên 1 tàu phá băng đang đi tới Bắc Cực.,"(watercraft) A ship designed to break through ice so that it, or other ships coming behind, can navigate on frozen seas."
impress,verb,gây ấn tượng,How am I going to impress Tom?,Tôi sẽ gây ấn tượng với Tom bằng cách nào đây?,(transitive) To affect (someone) strongly and often favourably
willpower,noun,quyết tâm,Controlling TV requires firm resolve —including the willpower to turn it off.,"Điều khiển máy truyền hình đòi hỏi một sự quyết tâm , kể cả ý chí để tắt nó đi.",The unwavering strength of will to carry out one’s wishes.
exception,noun,ngoại lệ,"Besides, I don't want to start making exceptions .","Hơn nữa, tôi không muốn bắt đầu những ngoại lệ .","The act of excepting or excluding; exclusion; restriction by taking out something which would otherwise be included, as in a class, statement, rule."
canvas,verb,vải bạt,Please tell me your staff didn't mention the canvas was about a poisoning.,Hãy cho tôi biết nhân viên của anh không nhắc vải bạt bị dính độc.,"A type of coarse cloth, woven from hemp, useful for making sails and tents or as a surface for paintings."
beady,adjective,tròn nhỏ và sáng,Why don't you ask that beady - eyed little fucker Pryce?,Sao anh không hỏi tên khốn Pryce - mắt ti hí đi?,"(of a person's eyes) small, round, and gleaming"
crick,verb,làm ngay,A wristwatch saved Harold Crick .,Một chiếc đồng hồ đã cứu mạng Harold Crick .,"A painful muscular cramp or spasm of some part of the body, as of the neck or back, making it difficult to move the part affected. (Compare catch.)"
outgoing,adjective,sắp mãn nhiệm,Outgoing Prime Minister Gordon Brown handed his own resignation to the queen earlier in the evening .,Thủ tướng sắp mãn nhiệm Gordon Brown đã nộp thư từ chức cho nữ hoàng vào đầu giờ chiều .,Comfortable in social settings and interactions; confident in dealing with people especially in meeting new people; gregarious.
kleptomaniac,noun,người tắt mắt,I'm a kleptomaniac .,Tôi là người có tật táy máy .,One who steals compulsively.
familiarize,verb,phổ biến,Advertising is one that everyone is familiar with .,Quảng cáo là thứ rất phổ biến .,"(American) To make, or become familiar with something or someone"
plucky,adjective,can đảm,"Oh, you're so plucky and brave and ripe and ready.",Ngươi rất gan dạ và can đảm và chín chắn và sẵn lòng,"Having or showing pluck, courage or spirit in trying circumstances."
promontory,noun,mũi đất,"Indeed, this promontory has earned its name, Monte Forato—the Pierced Mountain.","Đúng vậy, mũi đất này đáng được đặt tên là Monte Forato—Núi bị xuyên.","A high point of land extending into a body of water, headland; cliff."
lineament,noun,nét,"Their surfaces are heavily cratered, though all of them (except Umbriel) show signs of endogenic resurfacing in the form of lineaments (canyons) and, in the case of Miranda, ovoid race-track like structures called coronae.","Bề mặt của chúng là các miệng hố lớn, dù tất cả chúng (trừ Umbriel) cho thấy dấu hiệu nội sinh tái tạo bề mặt trong hình dạng các đường nét (hẻm núi) và, trong trường hợp của Miranda, là các cấu trúc được gọi là coronae.",Any distinctive shape or line etc.
bilious,adjective,dễ cáu,"""'Billions of bilious blue blistering barnacles in a thundering typhoon!","""'Hàng tỷ con hàu màu xanh bén nhọn gớm guốc trong một cơn giông bão!","Suffering from real or supposed liver disorder, thus making one ill-natured."
infliction,noun,sự bắt phải chịu,And of your infliction !,Và anh đã gây ra !,The act of inflicting or something inflicted; an imposition
animadversion,noun,sự chỉ trích,,,"(countable) A criticism, a critical remark."
forbearance,noun,sự nhịn,"The Prophet Joseph Smith wrote to a group of Church leaders: “Now, brethren, let me tell you, that it is my disposition to give and forgive, and to bear and to forbear , with all long-suffering and patience, with the foibles, follies, weaknesses, and wickedness of my brethren and all the world of mankind; and my confidence and love toward you is not slackened, nor weakened.","Tiên Tri Joseph Smith đã viết cho một nhóm vị lãnh đạo của Giáo Hội: “Giờ đây, thưa các anh em, xin hãy cho tôi nói cho các anh em biết rằng đây chính là khuynh hướng của tôi để ban phát và tha thứ, và chịu đựng cùng kiên nhấn, với tất cả mọi sự nhịn nhục và nhấn nại với những nhược điểm, sự rồ dại, yếu kém, và tà ác của các anh em tôi trong Giáo Hội và của tất cả thế giới nhân loại; và sự tin tưởng cùng tình yêu thương đối với các anh em thì không giảm bớt hoặc ít đi.",Restraint under provocation.
meed,verb,phần thưởng,"Boom publishes many Weekly Shōnen Jump series such as Naruto, Death Note along with many original manga-influenced comics from Factory Studio like Meed Thii Sib-Sam and Apaimanee Saga.","Boom ra mắt nhiều series của Weekly Shōnen Jump như Naruto, Death Note cùng nhiều bộ truyện tranh Thái của Factory Studio ảnh hưởng phong cách manga như Meed Thii Sib-Sam và Apaimanee Saga.","(now literary, archaic) A payment or recompense made for services rendered or in recognition of some achievement; reward, deserts."
expostulation,noun,phơi bày,""" What the devil's this? "" came in a tone of angry expostulation from above the collar of the figure.",""" Ma quỷ này? "" Trong một giai điệu của khiển trách giận dữ từ phía trên cổ áo con số.",(countable) The act of reasoning earnestly in order to dissuade or remonstrate.
assiduity,noun,tính chuyên cần,"The Koreans, very assiduously , did test both.","Người Hàn Quốc, một cách rất siêng năng, đã tiến hành kiểm tra cả hai phương pháp.",Great and persistent toil or effort.
truculent,adjective,hùng hổ,"“Under Wilhelm II,” says one historian, “[Germany] assumed an arrogant and a truculent air.”","Một sử gia nói: “Dưới sự cai trị của Wilhelm II, [nước Đức] phô trương một thái độ kiêu ngạo và gây hấn ”.",Of things or persons that are cruel or savage
habituate,verb,làm quen,19:15 A judge must not decide unjustly the case of the habitual transgressor — Ex.,Một thẩm phán không đưa ra quyết định không công bằng trong trường hợp của kẻ vi phạm thường xuyên — Ex.,"To turn into a habit, to make habitual."
penurious,adjective,bủn xỉn,"Noting this penury , to myself I said, An if a man did need a poison now,","Cần lưu ý cảnh cơ hàn này, đến bản thân mình tôi đã nói, An nếu một người đàn ông đã cần một chất độc,",Miserly; excessively cheap.
moiety,noun,phần,Colistin is a polycationic peptide and has both hydrophilic and lipophilic moieties .,Colistin là một polycationic peptid và có nhóm ưa nước và ưa lipid .,Half.
perfidious,adjective,bội bạc,"Aye, the perfidious rotter led a mutiny against us!",Đúng. Thằng phản bội đó đã dẫn bọn này đến chỗ chúng ta.,"Of, pertaining to, or representing perfidy; disloyal to what should command one's fidelity or allegiance."
repine,Verb,cằn nhằn,Repin recorded the years of work along the lower edge of the canvas.,Repin ghi lại những năm làm việc dọc theo mép dưới của khuôn vải.,"(intransitive, now literary) To regret; to complain. [15th C.–present]"
quiescence,noun,sự im lìm,27 July 2000: First radio emission (in flare and quiescence ) detected from a brown dwarf.,27 tháng 7 năm 2000: Phát xạ sóng radiao (trong lóe bùng và yên lặng ) được phát hiện từ một ngôi sao lùn nâu.,The state of being quiescent; dormancy.
physiognomy,noun,mặt,"Morse conceded that Feynman was indeed Jewish, but reassured Smyth that Feynman's "" physiognomy and manner, however, show no trace of this characteristic"".","Morse thừa nhận rằng Feynman quả thực là người Do Thái, nhưng cam đoan với Smyth rằng "" tuy vậy gương mặt và thói quen của Feynman không có dấu hiệu nào cho thấy cả"".","The art and science of discovering the predominant temper, and other characteristic qualities of the mind, by the outward appearance, especially by the features of the face."
adventitious,adjective,tình cờ,,,"From an external source; not innate or inherent, foreign."
palliate,adjective,giảm nhẹ,"He wrote to his wife in January 1780, Nothing could in the least palliate this long, this cold, this very distant separation from my dearest wife and children but the certain knowledge that I am preparing for their ease, happiness and prosperity, and when that is the prise, I know no hardships that I would not encounter with, to obtain it.","Ông viết thư cho vợ vào tháng 1 năm 1780, Không có gì có thể giảm nhẹ lâu như vậy, sự lạnh lẽo, xa cách này với người vợ và đứa con thân yêu nhất của tôi, nhưng những kiến thức nhất định mà tôi đang chuẩn bị cho sự dễ dàng, hạnh phúc và thịnh vượng của họ, và khi đó là giải thưởng, tôi không biết khó khăn nào Tôi sẽ không gặp phải, để có được nó.","(obsolete) Cloaked; hidden, concealed. [15th-17th c.]"
salubrious,adjective,lành,It was the Salubrious Gat of Galaxy G946 WOT.,"Đó là Gath ở Ngân hà G946 WOT,",Promoting health or well-being; wholesome. Especially related to air.
arrogate,verb,chiếm bậy,"lazy, arrogant .","Lười biếng, ngạo mạn .",(transitive) To appropriate or lay claim to something for oneself without right.
sardonic,adjective,chua chát,She watched us with a sardonic eye as we stepped from the brougham.,Cô ấy nhìn tôi với ánh mắt chua chát như chúng ta bước từ Brougham này.,Scornfully mocking or cynical.
lassitude,noun,sự mệt mỏi,Lassitude ?,Hay mệt mỏi ?,Lethargy or lack of energy; fatigue.
alacrity,noun,sự sốt sắng,"We need to make sure that we're a little bit suspicious, that we understand that optimism is in the DNA of the military, that we don't respond to it with quite as much alacrity .","Chúng ta cần bảo đảm là chúng ta hơi hoài nghi một chút, rằng chúng ta tin rằng sự lạc quan có trong DNA của quân đội, rằng chúng ta không đáp trả nó với sự sốt sắng như hiện tại.",Eagerness; liveliness; enthusiasm.
transfix,verb,giùi qua,You transfix me quite.,Cô làm tôi mừng hết biết.,"(linguistics) A discontinuous affix, which occurs at more than one position in a word, typical of Semitic languages."
dissipated,adjective,bị phung phí,Any negative thoughts quickly dissipate .”,Mọi ý nghĩ tiêu cực nhanh chóng tan biến ”.,Simple past tense and past participle of dissipate.
evince,verb,chứng tỏ,Truly God’s Word evinces divine wisdom in the counsel it gives along these lines.,Thật sự Lời Đức Chúa Trời chứng tỏ đầy khôn ngoan khi khuyên bảo về các vấn đề này.,(transitive) To show or demonstrate clearly; to manifest.
scantiness,noun,sự chật hẹp,His heavy-lidded eyes and the disorder of his scanty hair made him look sleepy.,Mí mắt lớn che một phần đôi mắt và bộ tóc thưa lộn xộn làm cho ông ta như người buồn ngủ.,(uncountable) The quality of being scanty.
pecuniary,adjective,tiền tài,Then the question of pecuniary resources arose.,"Sau đó, hội nghị luận bàn sôi nổi đến vấn đề những nguồn tài chính.","Of, or relating to, money; monetary."
controvert,verb,bàn cãi,,,(transitive) To dispute or argue using reason.
grizzled,adjective,hoa râm,"Another very tall, grizzled rock star, my friend Sir Bob Geldof, issued a challenge to ""feed the world.""","Rock star tóc hoa râm cao kều Sir Bob Geldof, một người bạn của tôi, đã thách thức ""nuôi cả thế giới"".",Simple past tense and past participle of grizzle.
maim,verb,thương tật,Four decades later the culprit most likely to maim children is the land mine.,"Bốn thập niên sau, thủ phạm chính thường làm thương tật trẻ em là mìn.",To wound seriously; to cause permanent loss of function of a limb or part of the body.
votary,adjective,kẻ sùng đạo,Conte is an observant Roman Catholic and a votary to Padre Pio of Pietrelcina.,Conte là một người tuân theo đạo lý Công giáo La mã và là một người sùng tín Cha Pio của Pietrelcina.,"A person, such as a monk or nun, who lives a religious life according to vows they have made"
renown,noun,danh tiếng,so important to their renown and their innovation?,lại quan trọng với danh tiếng và sự đổi mới của họ?,Fame; celebrity; wide recognition.
asunder,adverb,cách xa nhau,"Rip their bodies asunder , Sire.",Xé toạc từng mảnh cơ thể của chúng ra.,Into separate parts or pieces; apart.
emulous,adjective,có ý thức thi đua,Mouse Emulation,Mô phỏng chuột,ambitious or competitive
stoicism,noun,chủ nghĩa khắc kỷ,And it is ... stoicism .,Và đó là ... chủ nghĩa khắc kỷ .,"School of philosophy during the Roman Empire that emphasized reason as a means of understanding the natural state of things, or logos, and as a means of freeing oneself from emotional distress."
corduroy,verb,quần nhung kẻ,"Well, maybe corduroy .",Có lẽ là quần nhung .,"A heavy fabric, usually made of cotton, with vertical ribs."
gab,verb,bẻm mép,No time to gab .,Không còn thời gian nữa .,mouth as gob
inherit,verb,thừa kế,Inheritance of traits for humans are based upon Gregor Mendel's model of inheritance .,Sự thừa kế những đặc điểm cho con người được dựa trên mô hình thừa kế Gregor Mendel.,(transitive) To take possession of as a right(especially in Biblical translations).
geography,noun,địa lý học,"A report from the Institute of Geography in Bern, Switzerland, says: “All the major rivers in the world have their headwaters in mountains.","Một báo cáo của Viện Địa Lý Học tại Bern, Thụy Sĩ, ghi nhận: “Tất cả các sông ngòi lớn trên thế giới có nguồn nước trên núi.",The study of the physical structure and inhabitants of the Earth.
