word,part_of_speech,meaning,example,example_meaning,definition
cantilever,verb,côngxon,Exhibit A. His cantilever pool.,Biểu hiện A. Bể bơi ngoài trời trên nóc nhà .,"(architecture) A beam anchored at one end and projecting into space, such as a long bracket projecting from a wall to support a balcony."
chimney,noun,ống khói,The wind was roaring over the low stone top of the chimney and the house was cold.,Gió đang gào rú trên khoảng thấp bằng đá ở đầu ống khói và căn nhà lạnh ngắt.,A vertical tube or hollow column used to emit environmentally polluting gaseous and solid matter (including but not limited to by-products of burning carbon or hydro-carbon based fuels); a flue.
hardware,noun,kim khí,"Trashman found it behind the hardware store this morning, eaten.",Nhân viên đổ rác tìm thấy nó phía sau cửa hàng bán đồ kim khí sáng nay.,Metal implements.
panel,verb,Panô,Intricately carved ivory panels have been found.,Người ta đã tìm thấy những tấm panô bằng ngà voi được chạm một cách cầu kỳ.,"A (usually) rectangular section of a surface, or of a covering or of a wall, fence etc."
bloviate,verb,bơm,"Well, I'm not going to let that bloviating narcissist knock my creation down just to build himself up.",Tôi sẽ không để tên tự kiêu đó đạp đổ sự nghiệp của tôi để đi lên đâu.,(US) To speak or discourse at length in a pompous or boastful manner.
tarantella,noun,điệu nhảy taranten,Was that supposed to be the tarantella ?,Đó là điệu nhảy taranten đấy à?,"A rapid dance in 6/8 time, originating in Italy, or a piece of music for such a dance."
domino,verb,cờ đôminô,"But one incorrect doctrine such as this is like a domino set in motion that causes the fall of other dominoes or, in this case, the fall of correct doctrines.","Nhưng một giáo lý sai lầm như vậy giống như khi bộ cờ đôminô sụp đổ vì một con cờ bị đẩy ngã, hay là trong trường hợp này là sự sụp đổ của các giáo lý đúng.","(games) A tile divided into two squares, each having 0 to 6 dots or pips (as in dice), used in the game of dominoes."
potshot,verb,Potshot,,,A shot taken at an easy or random target
uninitiated,adjective,không quen,"But nothing can prepare the uninitiated ... for this riot of noise and color, for the heat, the motion, the perpetual teeming crowds.","Nhưng không gì có thể chuẩn bị cho những người không quen ... cho sự náo loạn của âm thanh và máu sắc cho cái nóng, sự chuyển động. Những đám đông nhốn nháo.","Describing someone who, or something which, has not been initiated."
amoeba,noun,amip,Amoeba infection?,Ờ... nhiễm trùng amip ?,(biology) A genus of unicellular protozoa that moves by means of temporary projections called pseudopodia.
peppy,adjective,hăng hái,And peppy !,Hăng hái lên!,"Full of pep; energetic, cheerful, and vigorous; bouncy"
pane,noun,ô cửa kính,Knocked off the pane to unlock the door.,Phá ô cửa kính để mở cửa.,An individual sheet of glass in a window.
academe,noun,học viện,HIT is ranked among the 10th best Israeli academic institutions.,Học viện bao gồm 102 học giả xuất sắc nhất của Israel.,(poetic) An academy; a place of learning.
misplace,verb,để không đúng chỗ,You didn't think I'd misplace Egypt's greatest treasure?,Ngài không nghĩ là tôi để không đúng chỗ báu vật của Ai Cập chứ?,(transitive) To put something somewhere and then forget its location; to mislay
foppish,adjective,công tử bột,,,"Like a fop, a man overly concerned with his appearance."
gossip,verb,chuyện tầm phào,This is no time for gossip .,Giờ không phải lúc nói chuyện tầm phào .,"Idle talk about someone’s private or personal matters, especially someone not present."
dislocate,verb,làm trật khớp,"She won via submission due to an armbar in the first round, dislocating Budd's elbow in the process.","Cô thắng bằng submission nhờ đòn armbar ở hiệp một, đồng thời làm trật khớp khuỷu tay của Budd.",to put something out of its usual place
excitement,noun,sự bị kích động,I am so excited .,Tớ thực sự bị kích động .,(uncountable) the state of being excited (emotionally aroused).
pedant,adjective,người thông thái rởm,So pedantic .,Đúng là thông thái rởm !,(obsolete) A teacher or schoolmaster.
hint,verb,lời gợi ý,"Let the children decide what songs to sing to answer each question, and give a hint only if the children need one.","Hãy để các em quyết định bài ca nào để hát nhằm trả lời mỗi câu hỏi, và chỉ đưa ra lời gợi ý khi nào các em cần mà thôi.",A clue.
market,verb,Thị trường,The stock market is very active.,Thị trường chứng khoáng rất năng động.,City square or other fairly spacious site where traders set up stalls and buyers browse the merchandise.
motionless,adjective,bất động,"It is called "" Motionless and Obedient. ""","Đó là bài "" Bất động đậy và ngoan ngoãn nha. ""","At rest, stationary, immobile, not moving."
bet,verb,đánh cá,They bet on horse races and dog races.,Họ đánh cá những cuộc đua ngựa và đua chó.,"A wager, an agreement between two parties that a stake (usually money) will be paid by the loser to the winner (the winner being the one who correctly forecast the outcome of an event)."
cheap,adjective,rẻ,"Trump stated that he was not enthusiastic to be a stock market investor, but that prime real estate at good prices was hard to find at that time and that stocks and equity securities were cheap and generating good cash flow from dividends.","Trump nói rằng ông không mặn mà với việc trở thành một nhà đầu tư chứng khoán, nhưng tại thời điểm đó rất khó tìm được một bất động sản hạng nhất với giá tốt trong khi cổ phiếu lúc đó rẻ và tạo ra dòng tiền tốt từ cổ tức.",Low and/or reduced in price.
flaw,verb,chỗ hỏng,In May 2012 BaBar reported that their recently analyzed data may suggest possible flaws in the Standard Model of particle physics.,"Tháng 5 năm 2012, nhóm hợp tác BaBar báo cáo rằng số liệu vừa mới phân tích của họ gợi ý rằng mô hình chuẩn có thể có chỗ hỏng .","A crack or breach, a gap or fissure; a defect of continuity or cohesion."
leak,adjective,làm rò rỉ,That mole leaked intel leading to the abduction and torture of Reddington.,Kẻ đó làm rò rỉ thông tin dẫn đến vụ bắt cóc và tra tấn Reddington.,"A crack, crevice, fissure, or hole which admits water or other fluid, or lets it escape."
expert,adjective,lão luyện,"Anti-establishment radical, gun fanatic, weapons expert .","Hệ thống cực đoan, những người mê súng, vũ khí lão luyện .",Extraordinarily capable or knowledgeable.
invitation,noun,giấy mời,"Display a copy of the printed invitation , and explain how it can be used effectively.","Cho xem giấy mời , và giải thích làm sao dùng giấy mời một cách hữu hiệu.","The act of inviting; solicitation; the requesting of a person's company; as, an invitation to a party, to a dinner, or to visit a friend."
future,noun,tương lai,No man can tell the future .,Chuyện xảy ra trong tương lai chẳng ai có thể nói chuẩn xác được cả.,The time ahead; those moments yet to be experienced.
overview,verb,toàn cảnh,Desktop Overview,Toàn cảnh màn hình,"A brief summary, as of a book or a presentation."
publish,verb,xuất bản,Kiplinger publishes magazines on personal finance.,Kiplinger xuất bản các tạp chí về tài chính cá nhân.,(intransitive): To issue a medium (e.g. publication).
rapscallion,noun,kẻ bất lương,,,"A rascal, scamp, rogue, or scoundrel."
unmotivated,adjective,không có lý do,Q: Can we have the unmotivated passion that is necessary to perceive the truth?,Người hỏi: Liệu chúng ta có thể có sự đam mê không động cơ mà cần thiết để trực nhận sự thật?,"Lacking motivation, without impetus to strive or excel."
dilute,adjective,pha loãng,"It's an innate thing called ""goal dilution .""",Đó là thứ bẩm sinh gọi là sự pha loãng mục tiêu .,(transitive) To make thinner by adding solvent to a solution; especially by adding water.
polygamy,noun,chế độ đa thê,The practice of polygamy first appeared in the line of Cain.,Chế độ đa thê bắt đầu trong dòng dõi Ca-in.,"Commonly used specifically for polygyny, the marriage of a man to more than one wife, or the practice of having several wives, at the same time."
bran,noun,cám,"Rice bran , called nuka in Japan, is a valuable commodity in Asia and is used for many daily needs.","Cám gạo, gọi là nuka ở Nhật Bản, là một mặt hàng có giá trị ở châu Á và được dùng cho nhiều nhu cầu thiết yếu hàng ngày.",Outside layer of a grain.
transgressor,noun,người có tội,(Psalm 51:13) How could sinful David teach transgressors of God’s Law?,Làm sao mà người có tội Đa-vít có thể dạy những kẻ vi phạm luật pháp của Đức Chúa Trời?,Someone who transgresses.
hue and cry,noun,hue và khóc,"“The hue and cry was raised,” Father went on at last, and I stopped holding my breath.","“Tiếng kêu la rền vang ,” cuối cùng bố cũng kể tiếp, nên tôi thôi không nín thở nữa.",(historical) The public pursuit of a felon; accompanied by shouts to warn others to give chase.
voracity,noun,lòng khao khát,,,the state of being voracious; rapacity or extreme gluttony
quartermaster,noun,Quartermaster,Quartermaster .,Thủy thủ trưởng .,"(military) An officer whose duty is to provide quarters, provisions, storage, clothing, fuel, stationery, and transportation for a regiment or other body of troops, and superintend the supplies."
jute,noun,đay,"For most part, the climate of the region is called the Monsoon climate, which keeps the region humid during summer and dry during winter, and favours the cultivation of jute , tea, rice, and various vegetables in this region.","Hầu hết các địa phương có khí hậu gió mùa, duy trì ẩm trong mùa hè và khô trong mùa đông, và tạo thuận lợi để trồng đay , trà, lúa gạo và các loại cây khác.","The coarse, strong fiber of the East Indian plant, Corchorus olitorius, used to make mats, paper, gunny cloth etc."
surrealism,noun,chủ nghĩa siêu thực,Her paintings of that period are influenced by surrealism .,Những bức vẽ của bà trong thời kỳ đó bị ảnh hưởng bởi chủ nghĩa siêu thực .,An artistic movement and an aesthetic philosophy that aims for the liberation of the mind by emphasizing the critical and imaginative powers of the subconscious.
yuppie,noun,yuppie,Yuppies .,Mẹ kiếp chán quá .,(informal) a young upwardly mobile urban professional person with an affluent lifestyle
orchard,noun,vườn cây ăn quả,I particularly remember one place we stayed —it was in an orchard by a stream.,"Tôi đặc biệt nhớ vườn cây ăn quả gần dòng suối, một nơi chúng tôi đã tạm trú.",A garden or an area of land to the cultivation of fruit or nut trees.
whip,verb,quất,I even whipped myself before I went to sleep.,Thậm chí tôi còn tự quất mình trước khi đi ngủ.,"A lash; a pliant, flexible instrument, such as a rod (commonly of cane or rattan) or a plaited or braided rope or thong (commonly of leather) used to create a sharp ""crack"" sound for directing or herding animals"
payroll,verb,soå löông,Why is she on our payroll ?,Sao ta phải chi trả khoản này?,"A list of employees who receive salary or wages, together with the amounts due to each."
skyrocket,verb,pháo thăng thiên,"""""""You know, Catherine wheels, skyrockets , and all that.""","“Cô biết rồi đấy, vòng pháo hoa, pháo thăng thiên , và nhiều thứ lắm.","a type of firework that uses a solid rocket motor to rise quickly into the sky where it emits a variety of effects such as stars, bangs, crackles, etc."
vulture,noun,kền kền,Did you know that turkey vultures have a wingspan of over six feet?,"Mẹ có biết là kền kền gà tây có sải cánh 1,8 mét không?",(colloquial) A person who profits from the suffering of others.
stubby,adjective,có nhiều gốc cây,You're stubby but soft.,Anh cùn nhưng mềm.,"(Australian, New Zealand, slang) A small bottle of beer."
killjoy,noun,người làm mất vui,Killjoy .,Kẻ phá đám .,"A person who is anti-fun, or prevents others from having fun"
denotation,noun,dấu hiệu,"Both authors agree that the sign was not readily understandable as denoting Christ, which corresponds with the fact that there is no certain evidence of the use of the letters chi and rho as a Christian sign before Constantine.","Cả hai tác giả đều đồng ý với quan điểm rằng dấu hiệu này không hoàn toàn dễ hiểu để chỉ Chúa Kitô, ứng với thực tế là không có bằng chứng nào về việc sử dụng các chữ cái chi và rho như một biểu tượng Kitô giáo trước Constantinus.","The act of denoting, or something (such as a symbol) that denotes"
morpheme,noun,hình vị,"It is an agglutinative language; in other words, morphemes (""units of meaning"") are added together to create words, unlike analytic languages where morphemes are purely added together to create sentences.","Nó là một ngôn ngữ chấp dính; nói cách khác, các hình vị (""đơn vị nghĩa"") được thêm vào nhau để tạo ra các từ, không giống như các ngôn ngữ phân tích trong đó các hình vị chỉ hoàn toàn được thêm vào với nhau để tạo ra câu.","(linguistics) The smallest linguistic unit within a word that can carry a meaning, such as ""un-"", ""break"", and ""-able"" in the word ""unbreakable""."
idiomatic,adjective,có nhiều thành ngữ,Are they idiomatic ?,Lời văn có mạch lạc không?,Pertaining or conforming to the mode of expression characteristic of a language.
lingua franca,noun,ngôn ngữ chung,That's why they've really become the new lingua franca .,Đó là lý do chúng trở thành một ngôn ngữ chung .,"a common language used by people of diverse backgrounds to communicate with one another, often a basic form of speech with simplified grammar"
honeymoon,verb,hưởng tuần trăng mật,Is that something to say for someone that just came back from their honeymoon ?!,Con mới đi hưởng tuần trăng mật về mà sao còn nói như vậy được?,The period of time immediately following a marriage.
wedlock,noun,đã kết hôn,"(Genesis 2:18, 21) But the key lies in the hands of those united in wedlock .","(Sáng-thế Ký 2:18, 21) Nhưng chìa khóa nằm trong tay những người đã kết hôn .",The state of being married; matrimony.
abdication,noun,sự thoái vị,The Empire came to an end in 1870 with the abdication of the Emperor Napoleon III.,Đế quốc đã kết thúc vào năm 1870 với sự thoái vị của Hoàng đế Napoléon III.,"The act of abdicating; the renunciation of a high office, dignity, or trust, by its holder; commonly the voluntary renunciation of sovereign power; as, abdication of the throne, government, power, authority."
forfeiture,noun,cái bị mất,On the forfeiture of property by married women .,"Khi lập gia đình, tài sản do người phụ nữ quản lý.",(law) A legal action whereby a person loses all interest in the forfeit property.
prorate,verb,chia theo tyû leä,"Instead of normalizing it to a year, the interest is prorated by the number of days t: (365/t)×100.","Thay vì bình thường hóa nó cho một năm, tiền lãi được tính tỷ lệ theo số ngày t: (365/t)×100.","To divide proportionately, especially by day."
typify,verb,là điển hình của,Large mammals that have evolved to take advantage of the ample forage typify the biodiversity associated with these habitats.,Động vật có vú lớn mà đã tiến hóa để tận dụng nguồn cỏ lớn là điển hình của sự đa dạng sinh học liên hệ với những sinh cảnh này.,"(transitive) To embody, exemplify; to represent by an image, form, model, or resemblance."
transgressive,adjective,,“Pierced for Our Transgression ”,‘Bị vết vì tội- lỗi chúng ta’,Involving transgression; that passes beyond some limit; sinful.
counterculture,noun,,It was originally a counterculture event held from 1968 to 1970.,Nó ban đầu là một sự kiện chống văn hóa được tổ chức từ năm 1968 đến năm 1970.,"Any culture whose values and lifestyles are opposed to those of the established mainstream culture, especially to western culture"
tenant farmer,noun,tá điền,"In Ugarit, on the Syrian coast, tenant farmers were subject to similar duties unless granted immunity by the king.","Tại Ugarit, vùng ven biển Syria, những tá điền cũng phải làm phu giống như thế ngoại trừ trường hợp được vua cho miễn.",A person who farms land rented from a landlord.
troth,noun,lòng thành thật,"1 MUSlCIAN Ay, by my troth , the case may be amended.","1 Ay nhạc sĩ, sự chân thành của tôi, trường hợp có thể được sửa đổi.","An oath, promise, or pledge."
torture,verb,tra tấn,"So if Dimitri wasn't tortured , maybe he was the one doing the torturing .","Vậy Dimitri không bị tra tấn , không chừng hắn ta là kẻ thực hiện cuộc tra tấn .",Intentional causing of somebody's experiencing agony.
lechery,noun,,Lechery ?,Dâm đãng ?,Inordinate indulgence in sexual activity.
meteoric,adjective,sao băng,"It's not a meteor shower, it's a funeral.","Đó không phải là mưa sao băng , mà là đám tang.","Of, pertaining to, or originating from a meteor."
restricted,adjective,bị giới hạn,Amazona diadema is restricted to the state of Amazonas in north-western Brazil.,Amazona diadema bị giới hạn ở bang Amazonas ở phía tây bắc Brazil.,Simple past tense and past participle of restrict.
congruence,noun,đoàn,I have the first congruency .,Đã có sự hợp nhất đầu tiên.,The quality of agreeing or corresponding; being suitable and appropriate.
nitwit,noun,người ngu đần,"Stop, you nitwit !","Dừng xe lại, đồ ngốc !",A scatterbrained or stupid person.
encyclopedic,adjective,bách khoa,Please edit to make more encyclopedic .,Xem ACID để có thêm thông tin về các tính chất giao dịch cần thiết.,"Of or relating to the characteristics of an encyclopedia; concerning all subjects, having comprehensive information or knowledge."
befoul,verb,làm nhơ bẩn,Commercial interests befoul the earth in other ways for profit.,Các mưu kế thương mại làm bẩn trái đất trên nhiều phương diện khác để cầu lợi.,To make foul; to soil.
swan,verb,con thiên nga,I was feeling a lot like that little swan .,Tôi cảm thấy giống như con thiên nga nhỏ đó.,"(plural also 'swan') Any of various species of large, long-necked waterfowl, of genus Cygnus, most of which have white plumage."
natty,adjective,đẹp,"Somi, Mina, and Natty remain Majors, while Minyoung, Eunsuh, and Momo remain Minors.","Somi, Mina, và Nattyo vẫn ở lại Majors, trong khi Minyoung, Eunsuh và Momo vẫn ở Minors.",(informal) Smart and fashionable.
obtrude,verb,bắt phải chịu,"I don't mean to say that I regret my action, nor will I pretend that I can't sleep o'nights in consequence; still, the idea obtrudes itself that he made so much of his disgrace while it is the guilt alone that matters.","Tôi không có ý nói rằng tôi hối tiếc hành động của tôi, cũng không phải tôi sẽ giả vờ rằng tôi có thể không giấc ngủ đêm của o ́trong hậu quả, vẫn còn, ý tưởng obtrudes riêng của mình rằng ông đã rất nhiều nhục nhã của mình trong khi nó là cảm giác tội lỗi một mình là vấn đề.",(transitive) To proffer (something) by force; to impose (something) on someone or into some area. [from 16th c.]
inestimable,adjective,vô giá,Kingdom truth is without a doubt a pearl of inestimable value!,Sự thật về Nước Trời quả là một viên ngọc vô giá !,"Not able to be estimated; not able to be calculated, computed or comprehended, as because of great scale, degree or magnitude."
sepulchral,adjective,có vẻ tang tóc,Sealed Sepulchres,Các Ngôi Mộ Bị Niêm Phong,Suggestive of a grave
playwright,noun,nhà soạn kịch,"Apparently, you're living with Britain's greatest living playwright .",Cậu đang sống cùng với nhà soạn kịch vĩ đại nhất nước Anh đấy.,A writer and creator of theatrical plays.
invariable,adjective,không đổi,There were a bunch of these types of invariants .,Có một loạt các loại vật thể bất biến .,Not variable; constant.
plausibility,noun,sự có vẻ đúng,It's just as plausible as some of your theories.,Cũng đáng cân nhắc như những giả thuyết của anh vậy.,(obsolete) Something worthy of praise.
prefigure,verb,biểu hiện trước,"Jesus knew that the high priest’s work and the sacrifices prefigured his own ministry and sacrificial death, and he knew how vital it was for people to learn from these.","Chúa Giê-su biết rằng công việc của thầy tế lễ thượng phẩm và các của-lễ biểu hiện trước về chính thánh chức và sự chết làm của-lễ hy sinh của ngài, và ngài biết việc người ta học hỏi về những điều này thật thiết yếu làm sao.",To show or suggest ahead of time; to represent beforehand
wiretap,verb,,Wiretap it.,Nghe lén đi.,A concealed device connected to a telephone or other communications system that allows a third party to listen or record conversations.
gulag,noun,Trại cải tạo lao động của Liên Xô,"Gulag , worst in Russia.","Gulag , là tồi tệ nhất ở Nga.",A prison camp.
ensorcelled,adjective,,,,Simple past tense and past participle of ensorcell.
cannibal,noun,kẻ ăn thịt người,He meets cannibals and giants on his voyages.,Anh ấy đụng phải kẻ ăn thịt người và những tên khổng lồ trong cuộc hành trình.,An organism which eats others of its own species.
rumble,verb,chạy ầm ầm,I'm hearing rumblings about some big play down south.,Nhưng nghe nói bên Mễ đang có vụ gì khủng khiếp lắm.,An onomatopoeia describing a rumbling noise
donor,noun,người cho,These can be classed as either receiver or donor methods.,Đây có thể được phân loại như là một trong hai phương pháp người nhận hoặc người cho .,"One who donates, typically, money."
encouragement,noun,sự khuyến khích,Would we really be able to encourage those who did not understand a great deal of English?,Liệu chúng tôi có thể thực sự khuyến khích những người không hiểu nhiều tiếng Anh không?,"The act of encouraging; incitement to action or to practice; as, the encouragement of youth in generosity."
leprechaun,noun,quỷ,By the leprechaun union?,Tôi phải báo cáo. Bắng Hiệp Hội Ma quỷ ư?,(Irish folklore) One of a race of elves who can reveal hidden treasure to those who catch it
fuel,noun,nhiên liệu,The fuel I want to discuss is spiritual fuel .,Nhiên liệu mà tôi muốn thảo luận là nhiên liệu thuộc linh.,"Substance consumed to provide energy through combustion, or through chemical or nuclear reaction."
plea,verb,lời khẩn cầu,Her message sounded like a desperate plea for attention.,Thông điệp của cô như một lời khẩn cầu sự quan tâm.,"An appeal, petition, urgent prayer or entreaty."
prideful,adjective,tự cao,(b) How might pride affect one’s view of counsel?,(b) Người tự cao phản ứng ra sao trước lời khuyên?,Full of pride.
disciplinarian,adjective,người giữ kỷ luật,"Clewett, was quiet but firm, a good disciplinarian .","Giáo viên mới là thầy Clewett trầm tĩnh nhưng quyết đoán, một người giữ kỷ luật rất nghiêm.",One who exercises discipline.
maiden,noun,trinh nữ,"One day, while out gathering wood, the wife built a maiden out of snow.","Một ngày, khi đi chặt củi, bà đắp một trinh nữ từ tuyết.",(now chiefly literary) A girl or an unmarried young woman.
botany,noun,thực vật học,"So, I did tropical ecology and plant botany .","Do đó, tôi đã nghiên cứu về thực vật học và sinh thái học nhiệt đới.","(uncountable) The scientific study of plants, a branch of biology. Typically those disciplines that involve the whole plant."
predominate,verb,chiếm ưu thế,One would think that selfish and self-preserving behavior predominates .,Người ta cho rằng phản ứng ích kỷ và theo bản năng sinh tồn sẽ chiếm ưu thế .,"(intransitive) To dominate, have control, or succeed by superior numbers or size."
culpability,noun,sự có tội,Culpable homicide 300.,Tội khủng bố Điều 300.,The degree of one's blameworthiness in the commission of a crime or offence.
renaissance,noun,sự phục hưng,The renaissance was born: a new age where learning was very important.,Sự phục hưng ra đời: một thời đại mới khi học tập trở thành rất quan trọng.,A rebirth or revival.
legume,noun,cây họ đậu,The legume lectins are probably the most well-studied lectins.,Các lectin từ các cây họ Đậu có lẽ là các lectin được nghiên cứu nhiều nhất.,The fruit or seed of leguminous plants (as peas or beans) used for food; a vegetable used for food.
journalist,noun,nhà báo,"In 1843, she moved to Santiago where her brother was a journalist .","Năm 1843, bà chuyển đến Santiago, nơi anh trai bà là một nhà báo .","(originally) The keeper of a person journal, who writes in it regularly"
omelet,noun,trứng tráng,"Spanish omelets , paella, and tapas are renowned the world over.","Trứng tráng , paella và tapas của Tây Ban Nha là những món ăn nổi tiếng thế giới.",(US) Alternative spelling of omelette
depart,verb,ra đi,4 And it came to pass that he departed into the wilderness.,"4 Và chuyện rằng, ông ra đi vào vùng hoang dã.",(intransitive) To leave; to set out on a journey.
forgiveness,noun,sự tha thứ,Think about a situation in your own family that required forgiveness .,Hãy nghĩ về một tình huống trong gia đình của các em đòi hỏi sự tha thứ .,The action of forgiving.
inhalation,noun,thuốc xông,"To cope with her illness, Silvia takes 36 pills every day, uses inhalers , and receives physical therapy.","Để trị bệnh, mỗi ngày Silvia phải uống 36 viên thuốc , xông thuốc vào mũi và tập vật lý trị liệu.",The substance (medicament) which is inhaled.
unexpected,adjective,bất ngờ,This is unexpected .,Thật bất ngờ đấy.,"Not expected, anticipated or foreseen."
custard,noun,món sữa trứng,"Then custard , which I made from scratch.",Sau đó là mãng cầu được trộn đều.,"(uncountable) A type of sauce made from milk and eggs (and usually sugar, and sometimes vanilla or other flavourings) and thickened by heat, served hot poured over desserts, as a filling for some pies and cakes, or cold and solidified; also used as a base for some savoury dishes, such as quiches."
necropolis,noun,nghĩa địa,The necropolis consists of 100 graves and circular buildings each with a diameter of about 20 meters.,Nghĩa địa chôn cất bao gồm 100 ngôi mộ và các tòa nhà tròn có đường kính khoảng 20 mét.,"A large cemetery, especially one of elaborate construction in an ancient city."
ratatouille,noun,Ratatouille,"The Ratatouille Big Cheese Tour began on May 11, 2007, with cooking demonstrations and a film preview.","Ratatouille Big Cheese Tour khai màn vào ngày 11 tháng 5 năm 2007, với những màn biểu diễn nấu ăn và một buổi xem trước phim.","A traditional French Provençal stewed vegetable dish consisting primarily of tomatoes, zucchini and eggplant, with other ingredients."
electoral,adjective,cử tri,The senators are elected by the whole electorate and do not represent any geographical district.,Các thượng nghị sĩ được bầu bởi cử tri và không đại diện cho khu vực địa lý.,"of, or relating to elections"
partnership,noun,công ty,Don't screw up the most lucrative partnership this company has.,Đừng phá hỏng mối quan hệ sinh lời nhất của công ty này nhé.,the state of being associated with a partner
finalize,verb,hoàn thành,You need the Emperor in order to accomplish your final design.,Ngươi cần Hoàng Thượng để hoàn thành việc ngươi muốn.,(transitive) To make final or firm; to finish or complete.
haughtiness,noun,tính kiêu căng,"We need to act with wisdom and be careful not to develop a haughty , or arrogant, disposition.","Chúng ta cần hành động khôn ngoan, đồng thời cẩn thận không để lòng phát sinh tính kiêu căng .","The state or property of being haughty; arrogance, snobbery."
conjoin,verb,nối,"When conjoined with Christiaan Huygens' newly discovered law of centrifugal force, it enabled Isaac Newton, Edmund Halley, and perhaps Christopher Wren and Robert Hooke to demonstrate independently that the presumed gravitational attraction between the Sun and its planets decreased with the square of the distance between them.","Chắp nối với định luật về lực hướng tâm mà Christiaan Huygens mới khám phá, nó cho phép Isaac Newton, Edmund Halley, và có lẽ cả Christopher Wren và Robert Hooke chứng minh độc lập với nhau rằng; lực hút trọng trường được giả thiết giữa Mặt Trời và các hành tinh giảm dần theo bình phương khoảng cách giữa chúng.",(transitive) To join together; to unite; to combine.
disregard,verb,coi thường,In doing so they have disregarded the real Gospel.,"Khi làm thế, họ đã coi thường Phúc âm thật sự.",The act or state of deliberately not paying attention or caring about.
