word,part_of_speech,meaning,example,example_meaning,definition,ID
petty,adjective,nhỏ,"Except for petty crimes, which are tried before a single professional judge, and serious political crimes, all charges are tried before mixed tribunals on which lay judges (Schöffen) sit side by side with professional judges.","Ngoại trừ các vụ án nhỏ do một thẩm phán chuyên nghiệp xét xử, cũng như các tội chính trị nghiêm trọng, tất cả các cáo buộc được xét cử trước tòa án hỗn hợp, tại đó các thẩm phán không chuyên (Schöffen) ngồi cạnh các thẩm phán chuyên nghiệp.","(obsolete except in set phrases) little, small, secondary in rank or importance",2874
resolute,adjective,kiên quyết,My husband is the bravest and most resolute man I know.,Chồng tôi là người dũng cảm và kiên quyết nhất mà tôi biết.,"Firm, unyielding, determined.",2875
rave,verb,nói sảng,"Ox wandered into town a couple of months ago, raving like a madman.","Ox đã lang thang tới thị trấn này vài tháng trước, nói sảng như một người điên.","An enthusiastic review (e.g., a play)",2876
thesis,noun,luận án,I'm doing my senior thesis on it right now.,Giờ con đang làm luận án tốt nghiệp về nó đây.,A statement supported by arguments.,2877
queue,noun,hàng đợi,But people were waiting in long queues,Nhưng người dân phải xếp hàng đợi,(heraldry) An animal's tail. [from 16th c.],2878
vibrant,adjective,rung,The land of the remembered was vibrant and joyous!,Mảnh đất tưởng nhớ đầy niềm vui và rung động.,(of a colour) bright,2879
consignment,noun,gửi hàng để bán,I'm talking consignment .,Tôi đang nói tới giao dịch hàng hóa .,The act of consigning,2880
antithesis,noun,phản đề,This is the complete antithesis of regenerative medicine.,Đây là một phản đề hoàn chỉnh của dược phẩm tái tạo,A proposition that is the diametric opposite of some other proposition.,2881
disgruntled,adjective,bất bình,Testimony from a disgraced and disgruntled former president.,Lời khai từ một cựu Tổng thống thất sủng và bất bình .,Unhappy; dissatisfied,2883
deltoid,adjective,cơ Đenta,You receive tetanus shots in the deltoid ( shoulder ) muscle .,Bạn sẽ được tiêm chủng uốn ván ở cơ đen -ta ( cơ vai ) .,"The deltoid muscle, a triangular muscle on the human shoulder.",2884
amalgam,verb,hỗn hợp,They are described as an amalgam of iron and clay.,Nó được miêu tả là hỗn hợp của sắt và đất sét.,A combination of different things,2885
raucous,adjective,khàn khàn,"Chase doesn't want some big, raucous party.",Chase không muốn làm tiệc quá to và ồn ào .,Harsh and rough-sounding.,2886
commodity,noun,hàng hóa,Agricultural commodities continue to drive Paraguay's export totals.,Hàng hóa nông nghiệp tiếp tục lái xe tổng số xuất khẩu của Paraguay.,"(obsolete) Convenience; usefulness, suitability. [15th-19th c.]",2887
diorama,noun,Diorama,"In 2003, following the release of Diorama , the band announced a hiatus, during which time members recorded with side projects The Dissociatives, The Mess Hall, and Tambalane.","Năm 2003, sau khi phát hành của Diorama , ban nhạc đã công bố một thời gian gián đoạn, trong đó các thành viên thời gian ghi lại với dự án phụ Các Dissociatives, Mess Hall, và Tambalane.","A three-dimensional display of a scenery, often having a painted background in front of which models are arranged, e.g. in a museum where stuffed animals are presented against a painted landscape.",2888
exasperated,adjective,giận dữ,He came back tired and exasperated .,Bố trở về mệt mỏi và chán nản.,Simple past tense and past participle of exasperate.,2889
coy,adjective,rụt rè,"Oh, please, don't be coy with me.","Làm ơn, đừng rụt rè với tôi.","(archaic) Quiet, reserved, modest.",2890
speculation,noun,sự suy đoán,Why set hearts aflutter at mere speculation ?,Tại sao nghi ngờ trái tim cảm thấy chỉ là sự suy đoán ?,The process of thinking or meditating on a subject,2891
herald,verb,sứ giả,Heralds are crying the news now.,Các sứ giả đang khóc lóc kể lể tin tức.,"A messenger, especially one bringing important news.",2892
revered,adjective,tôn kính,They looked determined... and-and-and reverent at the same time.,Trong những quyết định của họ... sự cung kính của họ.,Simple past tense and past participle of revere.,2893
imbibe,verb,hấp thụ,"It has seemed sweet to false religion and its parishioners to imbibe the ways of the world, but what a harvest of spiritual and physical disease they have reaped!","Tôn giáo giả và những người theo tôn giáo đó có vẻ vui thích hấp thụ đường lối của thế gian, nhưng họ gặt hái biết bao bệnh tật về thiêng liêng và thể xác!",To drink (used frequently of alcoholic beverages).,2894
surreptitious,adjective,gian lận,Surreptitious do some to run errands shady business.,Surreptitious làm một số để chạy errands kinh doanh râm.,"stealthy, furtive, well hidden, covert (especially movements)",2895
vehemence,noun,sự dữ dội,But the Persians were unprepared for the suddenness and vehemence of the Macedonian attack.,Nhưng người Phe-rơ-sơ không dè sự tấn công bất ngờ và cảm tử của người Macedonia.,"An intense concentration, force or power.",2896
paradigm,noun,mẫu,I think the Internet is really changing this paradigm quite a lot.,Tôi nghĩ Internet làm thay đổi hình mẫu này rất nhiều.,An example serving as a model or pattern; a template.,2897
revelation,noun,sự tiết lộ,Should we not expect such a revelation to exist?,Chẳng phải chúng ta mong muốn có một sự tiết lộ như thế hay sao?,Something that is revealed.,2898
progressive,adjective,tiến bộ,"If science makes progress , we'll be able to solve such problems.","Nếu khoa học tiến bộ , chúng ta sẽ có thể giải quyết những vấn đề như vậy.",Favouring or promoting progress; advanced.,2899
pedagogy,noun,sư phạm,They enable their teachers to make innovations in pedagogy .,Họ cho phép giáo viên tạo những cải tiến trong sư phạm .,The profession of teaching.,2900
paraphernalia,noun,phụ tùng linh tinh,It says that occult paraphernalia is anything but harmless.,Kinh-thánh nói rằng những đồ vật thuộc về ma thuật rất có hại.,"(plural only; not used in singular form) Miscellaneous items, especially the set of equipment required for a particular activity; stuff.",2901
amicably,adverb,thân tình,My dealings with Bobby Dean were amicable .,Thỏa thuận của tôi với Bobby Dean rất thân tình .,friendly; in an amicable manner.,2902
errant,adjective,giang hồ,Is this an errant apprentice or captive?,Đệ tử giang hồ hay tù nhân của ngươi?,"straying from the proper course or standard, or outside established limits",2903
postulate,adjective,định đề,"The postulator assigned was Father Jean-Louis Chassem, MSC.","Thỉnh nguyện viên được gán là linh mục Gioan Louis Chassem, MSC.","Something assumed without proof as being self-evident or generally accepted, especially when used as a basis for an argument.",2904
disparate,adjective,khác hẳn nhau,JA: I don't know. I guess people can see the gross disparity in force.,"Tôi không biết, tôi đoán mọi người có thể thấy sự chênh lệch quá rõ ràng về lực lượng.",Composed of inherently different or distinct elements; incongruous.,2905
matrix,noun,ma trận,"The only way to revive him, we needed Prime and his Matrix .","Cách duy nhất hồi sinh hắn, ta cần Prime và Ma trận của hắn.",(now rare) The womb.,2906
quaint,adjective,kỳ lạ,That's quaint .,Kỳ lạ quá.,"(obsolete) Of a person: cunning, crafty. [13th-19th c.]",2907
incidental,adjective,thứ yếu,"We'd catch cat-naps at 40 below on our sled, incidentally .",Chúng tôi mượn đống hành lý làm chỗ nghỉ chân .,"Loosely associated; existing as a byproduct, tangent, or accident.",2908
sobriety,noun,sự tiết độ,Please introduce a little sobriety to the affair.,Xin vui lòng gặp gỡ điềm đạm thôi nhé.,The quality or state of being sober.,2909
oppressive,adjective,ngột ngạt,"Sometimes the night that surrounds us will appear oppressive , disheartening, and frightening.","Đôi khi đêm đen bao quanh chúng ta dường như ngột ngạt , làm nản lòng và đáng sợ.",Burdensome or difficult to bear.,2910
benign,adjective,nhân từ,"is benign in comparison with man,","vẫn luôn nhân từ hơn con người,",Kind; gentle; mild.,2911
oncology,noun,ung thư học,"After completing a Fellowship in the relevant sub-specialty, the Physician is permitted to practice without direct supervision by other physicians in that sub-specialty, such as Cardiology or Oncology .","Sau khi hoàn thành thời gian thực tập trong ngành phụ khoa thích hợp, bác sĩ được phép thực hành mà không có sự giám sát trực tiếp của các bác sĩ khác trong phụ khoa đó, chẳng hạn như khoa tim mạch và ung thư học .","The branch of medicine concerned with tumors, including study of their development, diagnosis, treatment, and prevention.",2912
subsequent,adjective,theo sau,and several subsequent studies have also used Aron's fast friends protocol,và vài cuộc nghiên cứu theo sau cũng áp dụng công thức giao hữu của Aaron,"Following in time; coming or being after something else at any time, indefinitely.",2913
banal,adjective,tầm thường,Cos it seems very basic and banal but it's not.,Bởi vì nó có vẻ rất cơ bản và tầm thường nhưng không.,"Common in a boring way, to the point of being predictable; containing nothing new or fresh.",2914
excise,verb,bắt trả quá mức,You could have been excised .,Cô đã có thể bị xử tử .,"A tax charged on goods produced within the country (as opposed to customs duties, charged on goods from outside the country).",2915
dissipate,verb,làm hao mòn,but dissipates it by introducing friction?,mà làm hao mòn chúng bằng sự ma sát?,"To drive away, disperse.",2916
malign,adjective,vu khống,"Yet they were for long despised, maligned and hated.”","Thế mà họ từ lâu đã bị khinh bỉ, vu khống và ghen ghét”.","evil or malignant in disposition, nature, intent or influence.",2917
genealogical,adjective,phả hệ,Josina supported the family by illustrating genealogical charts.,Josina ủng hộ gia đình bằng cách minh họa các bảng xếp hạng phả hệ .,of or relating to genealogy.,2918
disposition,verb,khuynh hướng,3 Which of the two mental dispositions characterizes the world today?,"3 Trong hai khuynh hướng tâm thần, cái nào biểu thị đặc tính của thế gian ngày nay?",Tendency or inclination under given circumstances,2919
detestable,adjective,đáng ghét,"ROMEO Thou detestable maw, thou womb of death,","ROMEO Chúa bụng đáng ghét , ngươi tử cung tử vong,",Stimulating disgust or detestation; offensive; shocking.,2920
brooding,adjective,sinh nở,"King of a fine brood , sir.","Hoàng đế của lũ gà con , thưa ngài.",Present participle of brood.,2921
throng,adjective,đám đông,21 Are you one of that growing throng of light bearers?,21 Chính bạn có phải là một trong số đám đông người mang sự sáng không?,A group of people crowded or gathered closely together; a multitude.,2922
capitulation,noun,sự đầu hàng,Peithon easily defeated his opponents and accepted their capitulation .,Peithon dễ dàng đánh bại đối thủ của mình và chấp nhận sự đầu hàng của họ.,A reducing to heads or articles; a formal agreement.,2923
vice,adjective,mỏ cặp,""" No, we can modify the workbench maybe to put a special stool, a special anvil, special vice , and maybe an electric screwdriver. """,""" Không, chúng ta có thể điều chỉnh lại cái ghế làm việc có thể đặt một chiếc ghế đặc biệt với cái đe đặc biệt, với cái mỏ cặp đặc biệt, và có thể một chiếc tuốc nơ vít bằng điện. """,A bad habit.,2924
rampant,adjective,hung hăng,"And we've seen looting at sites so rampant , it looks like craters of the moon.","Và chúng tôi đã thấy sự bóc lột hung hăng , nó giống như miệng núi lửa mặt trăng vậy.",(originally) rearing on both hind legs with the forelegs extended,2925
enamored,adjective,say mê,I am enamored by you.,Anh phải lòng em.,totally in love,2926
ardor,noun,nhiệt tâm,"It might be asked, If ours is a “counterfeit of apostolic and missionary ardor ,” where is the real evangelizing zeal to be found?",Một câu hỏi được nêu lên là: Nếu lòng sốt sắng của chúng ta là “sự giả mạo của lòng nhiệt tâm của các tông đồ và giáo sĩ” thì người ta có thể tìm thấy lòng sốt sắng thật sự trong công việc rao giảng ở đâu?,(chiefly US) great warmth of feeling; fervor; passion,2927
quicksilver,noun,thủy ngân,"When the quicksilver is here, the heat is precisely correct, and the oil will gradually rise.","Có thủy ngân ở đây, sức nóng sẽ đúng một cách chuẩn xác, và tinh dầu sẽ từ từ bốc lên.",The metal mercury.,2928
shorthand,noun,tốc ký,we're using a kind of shorthand .,chúng tôi đang sử dụng một loại tốc ký .,"A compendious and rapid method of writing by substituting symbols, for letters, words, etc.; short writing; stenography; phonography",2929
brunt,noun,gánh năng chủ yếu,They suffered the full brunt of the attack.,Họ chủ yếu nhận hết đòn tấn công.,The full adverse effects of; the chief consequences or negative results of a thing or event.,2930
heartrending,adjective,đau lòng,The poverty of those fellow Christians was heartrending .,Sự nghèo khổ của các anh em tín đồ Đấng Christ này thật não lòng .,"That causes great grief, anguish or distress",2931
indelicate,adjective,thiếu tế nhị,"However, the entries are not made with indelible ink.","Tuy nhiên, tên trong sách không được ghi bằng loại mực không thể tẩy xóa .",Improper or immodest.,2932
refined,adjective,tao nhã,One of the refinements of every polished society.,Tôi cho khiêu vũ là cái thú tinh tế đầu tiên của xã hội tao nhã .,Showing or having good feelings or good taste.,2933
superficial,adjective,nông cạn,"So it's a superficial job, then.",Vậy chắc phải là một công việc hời hợt .,"Shallow, lacking substance.",2934
hypocrisy,noun,hành động đạo đức giả,And children often are the most alert and sensitive when it comes to recognizing hypocrisy .,Con cái thường cảnh giác và bén nhạy nhất khi chúng nhận ra hành động đạo đức giả .,"the claim or pretense of holding beliefs, feelings, standards, qualities, opinions, virtues or motivations that one does not actually possess. [from early 13th c.]",2935
impertinent,adjective,láo,He will consider it an impertinence .,Anh ta sẽ cho rằng đấy là một sự xấc láo .,irrelevant (opposite of pertinent),2936
gist,verb,lý do chính,Got the gist ?,Nắm được vấn đề chưa?,The most essential part; the main idea or substance (of a longer or more complicated matter).,2937
pedantic,adjective,thông thái rởm,So pedantic .,Đúng là thông thái rởm !,"Like a pedant, overly concerned with formal rules and trivial points of learning.",2938
bashful,adjective,rụt rè,"Being rather bashful , I said we would rather he would give us some.",Tôi rụt rè nói rằng chúng tôi thích để ông lấy cho chúng tôi một chút ít.,(Can we clean up(+)this sense?) inclined to avoid notice,2939
unrequited,adjective,không được thưởng,Unrequited love affairs.,Yêu đương đơn phương .,Unanswered; not returned; not reciprocated; not repaid.,2940
ruddy,adjective,hồng hào,"Blond, a bit younger than I am, ruddy -faced.","Tóc vàng, hơi trẻ hơn anh, hồng hào .","Reddish in color, especially of the face, fire, or sky.",2941
ensemble,verb,bộ quần áo,That's an awfully aggressive ensemble .,Một bộ quần áo không thể tệ hơn.,"a group of musicians, dancers, actors, etc who perform together; the chorus of a ballet company",2942
pensive,adjective,trầm ngâm,"You're certainly a man comfortable with long, pensive silences.",Anh chắc chắn là kiểu người thoải mái với sự im lặng dài và trầm ngâm .,"Having the appearance of deep, often melancholic, thinking.",2943
provoke,verb,khiêu khích,"I have learned to control my anger, even when I am provoked .","Tôi đã tập kiềm chế cơn nóng giận, ngay cả khi bị người khác khiêu khích .",(transitive) to cause (a person) to become annoyed or angry.,2944
deftly,adverb,khéo léo,If you'd come earlier... you would have seen me deftly separate this Seljuk's head from his body.,Nếu ông tới sớm hơn... ông sẽ được chứng kiến tôi khéo léo chặt đầu tên Seljuk này.,"in a deft manner, i.e. quickly and neatly in action",2945
worldly,adjective,trần tục,Are we ridding ourselves of all our worldly possessions?,Có phải chúng ta đang tự giải thoát khỏi những của cải trần tục không?,"Of or relating to man and the planet earth, physical as opposed to spiritual.",2946
drivel,verb,chảy dãi,"Stop talking drivel , pal.","Đừng đùa chứ , anh bạn.",senseless talk; nonsense,2947
pseudonym,noun,biệt hiệu,Heisenberg is kind of a pseudonym .,Heisenberg là... kiểu như biệt hiệu ấy.,"A fictitious name, often used by writers and movie stars.",2948
compote,noun,mứt quả,a quarter of the items were sold off for compote,một phần tư của các mặt hàng này được bán đi để làm mứt quả,A dessert made of fruit cooked in sugary syrup.,2949
privation,noun,cảnh thiếu thốn,It was the reason they suffered privation and even death.,Đó là lý do mà họ đã chịu cảnh thiếu thốn và ngay cả cái chết.,(philosophy) The state of being deprived of or lacking an attribute formerly or properly possessed; the loss or absence of such an attribute.,2950
epistle,verb,thư của sứ đồ,The epistle clearly shows that the sacrifice of Jesus Christ is the only one that provides the needed ransom for sinful humankind.,Thư của sứ đồ cho thấy rõ ràng rằng sự hy sinh của Giê-su Christ là của-lễ duy nhất để cung cấp giá chuộc cần thiết cho nhân loại tội lỗi.,"A letter, or a literary composition in the form of a letter.",2951
measly,adjective,không ra gì,A measly ten?,Chỉ có mười đồng ?,"Small in amount, contemptibly so.",2952
bourgeois,adjective,giai cấp tư sản,"In bourgeois terms, it was a war between the Allies and Germany.",Đối với giai cấp tư sản đó là cuộc chiến giữa Đồng Minh và Đức.,"Of or relating to the middle class, especially its attitudes and conventions.",2953
temperance,noun,sự chừng mực,"No, I accidentally lost my temper .","Không, em vô tình mất kiểm soát .","Habitual moderation in regard to the indulgence of the natural appetites and passions; restrained or moderate indulgence; moderation; as, temperance in eating and drinking; temperance in the indulgence of joy or mirth; specifically, moderation, and sometimes abstinence, in respect to using intoxicating liquors.",2954
attribute,Verb,cho là do,"It also causes slight cirrhosis, which Dr. Chase so eagerly attributed to alcohol.","Nó cũng dẫn tới bệnh xơ gan nhẹ, điều mà bác sĩ Chase đã rất nhanh chóng cho là do rượu.",A characteristic or quality of a thing.,2955
deviant,adjective,bất thường,You're saying I'm a deviant ?,Ông đang bảo tôi bất thường ?,"A person who deviates, especially from norms of social behavior.",2956
node,noun,nút,"Hybrid dependency/phrase structure grammar uses dependencies between words, but also includes dependencies between phrasal nodes – see for example the Quranic Arabic Dependency Treebank.",Văn phạm kết hợp phụ thuộc và thành phần dùng phụ thuộc giữa các từ nhưng cũng có phụ thuộc giữa các nút cụm từ - xem ví dụ Quranic Arabic Dependency Treebank.,"A knot, a knob; a protuberance; a swelling.",2957
vindictiveness,noun,tính chất trả thù,He is a vindictive bastard.,Hắn là một tên khốn đầy thù hận .,The condition of being vindictive,2958
haggard,adjective,hốc hác,But on that day a very haggard woman opened the door and stood before him.,"Nhưng vào ngày đó, một phụ nữ hốc hác đã mở cửa và đứng trước mặt ông.","Looking exhausted and unwell, in poor condition",2959
affinity,noun,ái lực,Roxithromycin has fewer interactions than erythromycin as it has a lower affinity for cytochrome P450.,Roxithromycin ít tương tác thuốc hơn so với erythromycin do nó có ít ái lực với cytochrome P450.,A natural attraction or feeling of kinship to a person or thing.,2960
tractable,adjective,dễ bảo,"And another Bible scholar, Joseph Benson, wrote during the last century: “Men of fierce, cruel, and ungovernable dispositions shall be so transformed by the preaching of the gospel, and by the grace of Christ, that they shall become most humble, gentle, and tractable , and shall no more vex and persecute those meek and poor ones, mentioned [in] Isa 11 verse 4.”","Một chuyên-gia khác về Kinh-thánh là Joseph Benson, đã viết vào thế-kỷ 19 như sau: “Những con người cứng đầu, hung bạo và tàn ác sẽ biến đổi nhân-cách họ với sự rao truyền của phúc-âm và ân-sủng của đấng Christ tác-động trên con người họ khiến họ trở thành thật khiêm-tốn, hòa-nhã, dễ bảo ; họ sẽ không quấy nhiễu và hà hiếp kẻ yếu thế và kẻ nghèo được đề-cập đến ở câu 4”.","Capable of being easily led, taught, or managed; docile; manageable; governable.",2961
alimony,noun,tiền cấp dưỡng,Did you know my wife pays me alimony ?,Cô có biết vợ tôi phải trả tiền cấp dưỡng cho tôi không?,(law) A court-enforced allowance made to a former spouse by a divorced or legally separated person.,2962
sere,adjective,sear,"The Greek historian Strabo writes, ""they extended their empire even as far as the Seres (China) and the Phryni.""",Nhà sử học Hy Lạp Strabo viết rằng: Họ đã mở rộng đế chế của mình xa tới tận Seres (người Trung Quốc) và Phryni.,Without moisture.,2963
environs,noun,vùng ven,Integration between land and water elements of the coastal zone: This is the realisation of the physical environment being a whole.,Đất và nước yếu tố của các vùng ven biển: Đây là việc thực hiện các môi trường vật lý là một tổng thể.,The surroundings; the environment.,2964
allege,verb,cho là,This man is an alleged victim of consumption.,Người đàn ông này được cho là nạn nhân của bệnh lao phổi.,"(obsolete) To lighten, diminish.",2965
supersede,verb,thay thế,In September 1997 it was superseded by Microsoft Internet Explorer 4.,Vào tháng 9 1997 nó đã bị thay thế bởi Internet Explorer 4.,(transitive) Set (something) aside.,2966
libel,verb,lời phỉ báng,"In 1999, an article about the case in the Canadian newspaper The Globe and Mail resulted in a libel suit by Goh.","Năm 1999, một bài viết về sự kiện này trên tờ báo Globe and Mail của Canada kết dẫn tới một lời phỉ báng từ Lý.",A written (notably as handbill) or pictorial statement which unjustly seeks to damage someone's reputation.,2967
dissent,verb,bất đồng quan điểm,"Your dissent on Godfrey v. Kent was brilliant, by the way.","Vụ bất đồng quan điểm với Godfrey v. Kent là rất thông minh, dù sao đi nữa.","(intransitive) To disagree; to withhold assent. Construed withfrom(or, formerly,to).",2968
tamp,noun,đầm,A 15-kilometre (9.3 mi) tamped -earth ramp was built to transport marble and materials to the construction site and teams of twenty or thirty oxen pulled the blocks on specially constructed wagons.,"15 km (9,3 mi) đường dốc bằng đất đầm nện được xây dựng để vận chuyển đá cẩm thạch và các vật liệu khác đến để xây dựng công trình và các đội gồm 20 hoặc 30 con bà được dùng để kéo các khối đá trên các toa xe có cấu tạo đặc biệt.","(blasting) to plug up with clay, earth, dry sand, sod, or other material, as a hole bored in a rock, in order to prevent the force of the explosion from being misdirected.",2969
internment,noun,sự giam giữ,Constraints can be internal or external to the system.,Các ràng buộc có thể là nội bộ hoặc bên ngoài hệ thống.,"Confinement within narrow limits, as of foreign troops, to the interior of a country.",2970
shamble,verb,chạy lóng ngóng,"Also, comp in shambles ?","Nói chung thì, kinh khủng thật.",To walk while shuffling or dragging the feet.,2971
gilt,adjective,lợn cái con,Gilts at seven.,Giá vàng đang ở mức 7.,(slang) money,2972
unequivocal,adjective,sòng,His words are unequivocal and bold.,Lời của ông thật dứt khoát và mạnh mẽ.,"Unambiguous; without equivocation or ambiguity; singularly clear, unmistakable, or unquestionable",2973
nominal,adjective,danh,This was despite the fact that he was a nominal Catholic.,Tất cả những điều này bất kể sự kiện ông là một người Công Giáo trên danh nghĩa.,"Of, resembling, relating to, or consisting of a name or names.",2974
subjugate,verb,chinh phục,"In Cuba, it was subjugated by the Batista government.","Ở Cuba, nó được chinh phục bởi chính phủ Batista.",To forcibly impose obedience or servitude.,2976
camaraderie,noun,tình bạn,I learned about sharing. I learned about camaraderie .,Tôi học cách chia sẻ.Tôi học về tình bạn .,Close friendship in a group of friends or teammates.,2977
pathological,adjective,bệnh lý,You switched the samples and the pathology reports.,Anh đã đổi mẫu và bản báo cáo bệnh lý .,Pertaining to pathology.,2978
cull,verb,hái,A cull is our only hope.,Sàng lọc là hy vọng duy nhất.,To pick someone or something.,2980
amputate,verb,cắt cụt,"For example, we have a sister in our congregation who had her leg amputated .","Thí dụ, trong hội thánh chúng tôi có một chị bị cắt cụt chân.","To surgically remove a part of the body, especially a limb",2981
amiable,adjective,dễ thương,Is he amiable ?,Ông ta có tử tế không?,"Friendly; kind; sweet; gracious; as, an amiable temper or mood; amiable ideas.",2982
ambitious,adjective,có nhiều hoài bão,"That's too ambitious .""","Điều đó quá tham vọng ?""","Possessing, or controlled by ambition; greatly or inordinately desirous of power, honor, office, superiority, or distinction.",2983
overwhelm,verb,áp đảo,It's enough to make you feel very overwhelmed .,Nhiêu đó đủ để làm bạn thấy áp đảo .,"To engulf, surge-over and submerge",2984
antibiotic,adjective,thuốc kháng sinh,One of my big soapboxes right now is antibiotics .,Một trong những chủ đề lớn của tôi ngay bây giờ là thuốc kháng sinh .,(pharmacology) Any substance that can destroy or inhibit the growth of bacteria and similar microorganisms.,2985
catastrophe,noun,tai họa,Why could this world not end in a nuclear catastrophe ?,Tại sao thế giới này không thể chấm dứt bằng một tai họa hạch tâm?,(now rare) Alternative spelling of catastrophe.,2986
ravenous,adjective,cơ cực,"Raven , stop!","Raven , dừng lại!",Very hungry.,2987
cunning,adjective,xảo quyệt,He has also employed more subtle means— cunning acts and sly devices.,Hắn cũng vận dụng những phương kế xảo quyệt hơn—những hành động dối trá và mưu kế gian hiểm.,Sly; crafty; clever in surreptitious behaviour.,2988
apprehensive,adjective,sợ hãi,"Are we living with apprehension , fear, and worry?","Chúng ta có đang sống trong nỗi e ngại, sợ hãi và lo âu không?",Anticipating something with anxiety or fear.,2989
lurk,verb,rình mò,♫ lurks the ghost of war.,♫ ẩn giấu bóng ma chiến tranh.,To remain concealed in order to ambush,2990
phenomenal,adjective,phi thường,"Once hatched, a chick grows at a phenomenal pace.","Một khi đã nở, chim non lớn lên với một tốc độ phi thường .",(colloquial) Very remarkable; highly extraordinary; amazing.,2991
confiscate,adjective,tịch thâu,I tried to think of something to say that would prevent this spiritual treasure from being confiscated .,Tôi cố nghĩ ra một điều gì đó để nói hầu cho kho tàng thiêng liêng này khỏi bị tịch thâu .,(transitive) To take possession of by force or authority; expropriate.,2992
silhouette,verb,hình bóng,"Silhouette , Harry!","Hình bóng , Harry!","An illustrated outline filled in with a solid color(s), usually only black, and intended to represent the shape of an object without revealing any other visual details; a similar appearance produced when the object being viewed is situated in relative darkness with brighter lighting behind it; a profile portrait in black, such as a shadow appears to be.",2993
rigmarole,noun,câu chuyện vô nghĩa,"And her sainted mother always dreamed of the whole mass rigmarole , but you're...","Và người... người mẹ thánh thiện của nó vẫn luôn mơ có đầy đủ một lễ Misa lê thê lết thết cho nó, nhưng...","complex, obsolete procedures; excess steps or activity; needless motion",2994
