word,part_of_speech,meaning,example,example_meaning,definition,ID,pronunciation
tranquil,adjective,yên tĩnh,(Genesis 1:31) But Edenic tranquillity did not last long.,Nhưng sự yên tĩnh của vườn Ê-đen không được lâu dài.,Free from emotional or mental disturbance.,12,/ˈtreɪŋkwɪl/
bracket,noun,dấu ngoặc,"Information about your items is enclosed within these tags, which are indicated by angle brackets .",Thông tin về mặt hàng có trong các thẻ này và được chỉ ra bởi dấu ngoặc nhọn.,"To bound on both sides, to surround as enclosing with brackets.",13,/ˈbrækɪt/
usher,verb,dẫn,I ushered you into this world.,Ta đã dẫn lối cho con vào thế giới này.,"A person, in a church, cinema etc., who escorts people to their seats.",14,/ˈʌʃə/
mongrel,noun,chó lai,Chain her and the mongrel .,Trói ả với con chó lai .,"Someone of mixed kind or uncertain origin, especially a dog.",15,/ˈmɑŋgrəl/
obscure,adjective,mờ,“Formerly the history of the Assyrian empire was one of the most obscure chapters in the world’s annals.”,“Trước kia lịch sử của đế quốc A-si-ri là một trong những chương mù mờ nhất của lịch sử thế giới”.,"Dark, faint or indistinct.",16,/ɒbˈskjʌ/
dialect,noun,phương ngữ,"Based on their accents and dialects , they must be from a town called Tropoja.",Theo ngữ giọng và phương ngữ của chúng thì chắc chúng là dân của Tropoja.,"(linguistics) A variety of a language (specifically, often a spoken variety) that is characteristic of a particular area, community or group, often with relatively minor differences in vocabulary, style, spelling and pronunciation.",17,/ˈdaɪəlɛkt/
bereaved,adjective,có tang,It is no time to forget the bereaved and to proceed with one’s own feasting and reveling.,Đây không phải là lúc để quên đi gia đình có tang chế và chỉ nghĩ đến việc tiệc tùng và cười nói.,having suffered the death of a loved one,18,/bɪˈrivd/
mesh,noun,mạng lưới,And this is a very mesh -y thing.,và nó là một thứ rất mạng lưới,"A structure made of connected strands of metal, fiber, or other flexible/ductile material, with evenly spaced openings between them.",19,/mɛʃ/
daze,verb,làm choáng váng,I'm just dazed .,Tôi thấy hơi bối rối.,"The state of being dazed; as, he was in a daze.",20,/deɪz/
supernatural,adjective,siêu tự nhiên,"They speculate about the supernatural ,","Họ ngưỡng mộ siêu tự nhiên ,","Above nature; that which is beyond or added to nature, often so considered because it is given by God or some force beyond that which humans are born with. In Roman Catholic theology, sanctifying grace is considered to be a supernatural addition to human nature.",21,/supəˈnætʃrəl/
vivid,adjective,chói lọi,One such omen was a vivid dream Caesar had the night before his assassination.,Một trong số những điềm báo đó là một giấc mơ chói lọi của Caesar trong cái đêm trước khi ông bị ám sát.,(New Zealand) A felt-tipped permanent marker.,22,/ˈvɪvɪd/
stew,verb,hầm,Beef stew should be nice and thick.,Bò hầm nên tinh tế và dày.,(obsolete) A cooking-dish used for boiling; a cauldron. [14th-17th c.],23,/stu/
shaft,verb,cán,The shaft blew up!,Ống hơi thổi bùng lên!,The long narrow body of a spear or arrow,24,/ʃɑft/
eerie,adjective,kỳ quái,The local human children sing a kind of eerie little rhyme about him.,Trẻ con địa phương thường hát những giai điệu kỳ quái về lão.,"strange, weird, fear-inspiring.",25,/ˈɪəri/
compel,verb,bắt buộc,She is compelled to suffer long hours of servitude and ridicule.,Cô bé ấy bị bắt buộc phải phục dịch và bị chế nhạo rất lâu.,"(transitive, archaic) (literally) To drive together, round up",26,/kəmˈpɛl/
sustenance,noun,chất bổ,Now prized for the vigor of its oils and the sustenance of its leaves.,Nay được thu hoạch để lấy hạt chất của dầu và chất bổ của lá.,Something that provides support or nourishment.,27,/ˈsʌstɪnɪns/
remote,adjective,xa,"The service provides its users with means to store data such as documents, photos, and music on remote servers for download to iOS, macOS or Windows devices, to share and send data to other users, and to manage their Apple devices if lost or stolen.","Dịch vụ này cung cấp cho người sử dụng các công cụ lưu trữ dữ liệu như văn bản, hình ảnh, và âm nhạc trên các máy chủ từ xa để tải về cho các thiết bị iOS, Macintosh hoặc Windows, để chia sẻ và gửi dữ liệu cho người dùng khác, và để quản lý các thiết bị Apple của họ nếu bị mất hoặc bị đánh cắp.",At a distance; disconnected.,28,/rəˈmʌʊt/
exotic,noun,ngoại lai,It seemed to sprawl like an exotic animal .,Nó nằm dài ra như một động vật ngoại lai .,"Foreign, with the connotation of excitingly foreign.",29,/ɛksˈɒtɪk/
caravan,verb,nhà lưu động,"Our home was a plywood caravan , or trailer.",Nhà của chúng tôi là một căn nhà lưu động bằng ván ép.,"A convoy or procession of travelers, their vehicles and cargo, and any pack animals, especially camels crossing a desert.",30,/ˈkærəvæn/
disdain,verb,khinh,"Well, I will be looked at with disdain for pretty much the entire time we're on the ground.",Tôi sẽ bị coi khinh cho xem. Chúng ta làm việc ở mặt đất.,(uncountable) A feeling of contempt or scorn.,31,/dɪsˈdeɪn/
abide,verb,chịu,"Humbling ourselves before God, praying always, repenting of sins, entering the waters of baptism with a broken heart and contrite spirit, and becoming true disciples of Jesus Christ are profound examples of the righteousness that is rewarded by abiding peace.25 After King Benjamin delivered his stirring message concerning the Atonement of Christ, the multitude fell to the earth.","Việc hạ mình trước mặt Thượng Đế, cầu nguyện luôn luôn, hối cải các tội lỗi, chịu phép báp têm với một tấm lòng đau khổ và một tâm hồn thống hối, cũng như trở thành môn đồ chân thật của Chúa Giê Su Ky Tô, họ là những tấm gương sáng về sự ngay chính là điều được tưởng thưởng bằng cảm giác bình an lâu dài.25 Sau khi Vua Bên Gia Min đưa ra sứ điệp làm mọi người xúc động về Sự Chuộc Tội của Đấng Ky Tô, thì đám đông đã ngã xuống đất.","(intransitive, obsolete) To wait; to pause; to delay.",32,/əˈbaɪd/
subtle,adjective,tinh vi,"Now I'll concede that it's subtle , it's clever.","Tôi thừa nhận nó rất tinh vi , rất tài tình.",Hard to grasp; not obvious or easily understood; barely noticeable.,33,/ˈsʌtəl/
valiantly,adjective,dũng cảm,"Rather, they are blessed and strengthened to press forward valiantly while suffering in and with affliction.","Thay vì thế, họ được ban phước và được củng cố để tiến bước một cách dũng cảm trong khi đang gặp hoạn nạn.",In a valiant manner; showing bravery.,34,/ˈvæljəntli/
scornful,adjective,khinh bỉ,If victory is quite impossible it should be scorned .,Nếu sự chiến thắng là hoàn toàn bất khả thì đáng nên khinh bỉ nó.,Showing scorn or disrespect; contemptuous.,35,/ˈskɔnfəl/
stout,adjective,bền,And only stout wooden ships can save them.,Và chỉ những chiếc thuyền gỗ bền chắc cứu được họ.,"bold, strong-minded; lusty; vigorous; robust; sinewy; muscular",36,/staʊt/
crest,verb,đỉnh,And when the fun is done gaze upon the sunset cresting over Mount Leftovers.,Và khi cuộc vui đã tàn hãy cùng ngắm nhìn hoàng hôn lặn trên đỉnh Đồ Ăn Thừa.,"Particularly with reference to waves, to reach a peak.",37,/krɛst/
variegated,adjective,đa dạng,"Variegated varieties with inflorescences composed of multiple florets, each with a modified calyx.","Các cụm hoa có đốm màu đa dạng bao gồm nhiều hoa cỏ, mỗi hoa có một đóa hoa bị biến đổi.","Streaked, spotted, or otherwise marked with a variety of color; very colorful.",38,/ˈvɛrɪɡeɪtəd/
oaf,noun,đứa bé ngu ngốc,Bloody oafs .,Lũ vô dụng .,"(obsolete) An elf's child; a changeling left by fairies or goblins, hence, a deformed or foolish child.",39,/əʊf/
smug,adjective,bảnh chọe,I have been aching to put a bullet in her smug little face ever since the day-,Ta đáng nhẽ ra nên cho một viên đạn vào khuôn mặt bảnh chọe nhỏ nhắn của cô ta vào cái ngày đó-,Irritatingly pleased with oneself; self-satisfied.,40,/sməg/
flourish,verb,hồi kèn,"With Oris, my life flourished anew","Khi có Oris, cuộc đời tôi chuyển sang trang mới",(intransitive) To thrive or grow well.,41,/ˈflʌrɪʃ/
emanate,verb,phát ra,Branched PEGs have three to ten PEG chains emanating from a central core group.,PEG dạng Nhánh có ba đến 100 chuỗi PEG xuất phát ra từ một chuỗi mạch chính.,(intransitive) To come from a source; stem out of,42,/ˈɛməneɪt/
pendant,noun,mặt dây chuyền,Then the jeweller that made this pendant also made this medallion.,Và người chế tạo cái mặt dây chuyền đó cũng là người làm cái mề đay này.,(architecture) A supporting post attached to the main rafter. [from 14th c.],43,/ˈpɛndɪnt/
strew,verb,rắc,So the ice cleanses the sea floor and strews the ceiling above with remnants of life from below.,Vậy là băng đã quét sạch đáy biển và rắc lên trần ở phía trên những tàn dư sự sống từ bên dưới.,"To distribute objects or pieces of something over an area, especially in a random manner.",44,/stru/
render,verb,làm cho,It'll render a house literally invisible.,Nó làm cho ngôi nhà trở nên vô hình theo đúng nghĩa đen.,"(transitive) To interpret, give an interpretation or rendition of.",45,/ˈrɛndə/
involuntarily,adverb,bất giác,Involuntarily I lowered my head.,Anh buồn bã gục đầu xuống.,In a involuntary manner; done without conscious thought.,46,/ˌɪnvoʊˈlʌntəˌrɪli/
contented,adjective,vừa lòng,Small price to pay to keep him contented .,Làm ông ta vừa lòng cũng được 1 khoản nhỏ.,Simple past tense and past participle of content.,47,/kənˈtɛntɪd/
vigorously,adverb,nhiệt tình,"He encouraged her vigorously , telling her that she was ""to take my place when I am gone.""","Ông nhiệt tình khuyến khích bà, nói rằng bà phải ""thay thế chỗ của tôi một khi tôi không còn nữa"".","With intense energy, force or vigor",48,/ˈvɪgərəsli/
crisp,adjective,giòn,"May your crust be crisp , and your bread always rise.",Có thể vỏ bánh của bạn sẽ giòn tan và bánh mỳ của bạn sẽ luôn nở.,(intransitive) To become crisp.,49,/krɪsp/
verbalize,verb,nói dài dòng,I'm here because I was verbally attacked by my neighbor.,Tao ở đây vì tôi đã tấn công thằng hàng xóm.,To speak or to use words to express.,50,/ˌvʌrbəˈlaɪz/
reluctantly,adverb,buộc lòng,I follow him reluctantly as Mom helps the secretary clean up the mess I made.,"Tôi đi theo ông, dè dặt, còn Mẹ thì giúp cô thư ký dọn dẹp đống rầy rà tôi gây ra.",In a reluctant or hesitant manner.,51,/rɪˈlʌktɪntli/
churn,verb,đánh,"She taught us as we would wash the dishes, churn the butter, and help in many other ways.","Bà dạy chúng tôi khi chúng tôi rửa chén, đánh sữa lấy bơ và giúp đỡ trong những cách khác.","(telecommunications) The mass of people who are ready to switch carriers, expressed by the formulaCustomer Quits/Customer base.",52,/tʃən/
stake,verb,cộc,"Grab as many shotguns, knives, and wooden stakes as you can.","Lấy thật nhiều súng, dao và cộc gỗ.","A piece of wood or other material, usually long and slender, pointed at one end so as to be easily driven into the ground as a support or stay; as, a stake to support vines, fences, hedges, etc.",53,/steɪk/
inert,adjective,trơ,How does the Sun reach out across empty inert space and exert influence?,Làm thế nào mà Mặt trời vượt qua khoảng chân không trơ trụi và gây tác động?,unable to move or act; inanimate,54,/ɪnˈʌt/
determination,noun,sự quyết định,The King’s determination of the matter has serious consequences.,Sự quyết định của Vua về vấn đề đó có hậu quả nghiêm trọng.,"The act of determining, or the state of being determined.",55,/dɪtəmɪˈneɪʃɪn/
carnival,noun,hội hóa trang,"Well, isn't that the point of a carnival ?",Có phải nó giống như ý nghĩa của lễ hội hóa trang ?,A festive occasion marked by parades and sometimes special foods and other entertainment,56,/ˈkɑnɪvəl/
championship,noun,chức vô địch,And now you'll see just how I won that championship .,Các người sẽ thấy tận mắt lý do ta dành chức vô địch .,"(sports) A competition to determine a champion, especially the final of a series of competitions.",57,/ˈtʃæmpiənʃɪp/
emancipation,noun,sự giải phóng,And America is still paying the price for the botched emancipation of 1865.,Và người Mỹ vẫn đang tiếp tục trả giá cho sự giải phóng vụng về đó của năm 1865.,"The state of being thus set free; liberation; used of slaves, minors, of a person from prejudices, of the mind from superstition, of a nation from tyranny or subjection.",58,/ɪmænsɪˈpeɪʃən/
endearment,noun,lời âu yếm,Or perhaps you need to improve in making verbal “expressions of endearment .”,Hoặc có lẽ bạn cần phải trau giồi trên phương diện nói “những lời âu yếm ” với vợ (Nhã-ca 1:2 NW).,(an expression of) affection,59,/ɛnˈdɪəmənt/
federal,adjective,liên bang,The federal court tossed it into our lap.,Toà án liên bang ném vào mặt chúng ta.,"Pertaining to a league or treaty; derived from an agreement or covenant between parties, especially between nations.",60,/ˈfɛdərəl/
founder,verb,người sáng lập,Bill Gates is the founder of Microsoft.,Bill Gates là người sáng lập Microsoft.,"One who founds, establishes, and erects; one who lays a foundation; an author; one from whom something originates; one who endows.",61,/ˈfaʊndə/
heliocentric,adjective,nhật tâm,"The heliocentric model, the sun in the center, right?","Khi người ta phát triển nhưng mô hình đầu tiên của hệ mặt trời, - Mô hình nhật tâm - mặt trời ở chính giữa, phải không?",(astronomy) having the sun at the center/centre; usually in reference to a solar system or orbit,62,/ˈhiliəˌsɛntrɪk/
integration,noun,phép tích phân,And it takes weeks to perform our integrations .,Mà vẫn cần hàng tuần mới thực hiện xong các phép tích phân .,The act or process of making whole or entire.,63,/ɪntəˈgreɪʃən/
lunar,adjective,mặt trăng,"An asteroid, 67085 Oppenheimer, was named in his honor, as was the lunar crater Oppenheimer.","Một tiểu hành tinh, 67085 Oppenheimer, mang tên ông, cũng như hố va chạm trên Mặt Trăng Oppenheimer.","Of, or pertaining to, the moon.",64,/ˈlunə/
predict,verb,dự đoán,"So, what do we need to know in order to predict ?","Vậy, chúng ta cần phải biết gì để có thể dự đoán ?","(transitive) To state, or make something known in advance, especially using inference or special knowledge.",65,/prɪˈdɪkt/
quarterback,verb,tiền vệ,"These teams, they don't want a quarterback that panics.",Các đội không muốn một tiền vệ bị hoảng hốt đâu.,(American football) an offensive back whose primary job is to pass the ball in a play,67,/ˈkwɔtəbæk/
renaissance,noun,sự phục hưng,This Renaissance or “rebirth” spread throughout Europe.,Sự Phục Hưng hoặc “sinh lại” này lan khắp Âu Châu.,A rebirth or revival.,68,/ˈrɛnəsɑns/
album,noun,album,You should stick those pictures in your album .,Bạn nên dán những bức hình đó vào album của bạn.,"A book specially designed to keep photographs, stamps, or autographs.",69,/ˈælbəm/
asteroid,noun,tiểu hành tinh,So the asteroids we don't have much hope for.,Vì thế chúng ta không có nhiều hy vọng lắm cho các tiểu hành tinh .,"(astronomy) A naturally occurring solid object, smaller than a planet, orbiting a star.",70,/ˈæstərɔɪd/
decipher,verb,giải mã,"I would have words alone, and see it deciphered .","Tôi muốn nói chuyện một mình với cô ấy, và giải mã chuyện đó.",To decode or decrypt a code or cipher to plain text.,71,/dɪˈsaɪfə/
groundhog,noun,Macmot châu Mỹ,Groundhog Day.,Ngày Chuột Chũi .,"A red-brown marmot, Marmota monax, native to North America.",72,/ˈgraʊndhɒg/
heroism,noun,chủ nghĩa anh hùng,Ivo said the essence of heroism is to die so that others can live.,Ivo nói bản chất của chủ nghĩa anh hùng là chết để những người khác có thể sống.,"The qualities characteristic of a hero, as courage, bravery, fortitude, unselfishness, etc.; the display of such qualities.",73,/ˈhɛrəʊɪzəm/
magnum opus,noun,Magnum opus,"His magnum opus , written in Latin, is called Chronica Boemorum (""Chronicle of Bohemians"" or ""The chronicle of the Czechs"").","Tác phẩm magnum opus của ông được viết bằng tiếng Latin, được gọi là Chronica Boëmorum (""Biên niên sử Bohemians"").","A great work of literature or art, a masterpiece.",74,/ˌˈmægnəm ˌoʊpəs/
poultry,noun,gia cầm,"Poultry was coming in from East Anglia and so on, to the northeast.","Gia cầm thì được vận chuyển từ East Anglia, vân vân, tới vùng đông bắc.","domestic fowl (chickens, ducks, turkeys and geese) raised for food (either meat or eggs)",75,/ˈpʌʊltri/
stag,verb,hươu đực,"No, my Patronus is a stag .","Không, Thần hộ mệnh của mình là con hươu đực cơ.","The adult male of the red deer (Cervus elaphus), a large European species closely related to the American elk, or wapiti.",76,/stæg/
tariff,verb,thuế xuất nhập khẩu,The U. S. and Europe should give us a zero percent tariff .,Mỹ và Châu Âu không nên đánh thuế xuất nhập khẩu lên hàng hóa của chúng tôi,"a system of government-imposed duties levied on imported or exported goods; a list of such duties, or the duties themselves",77,/ˈtærɪf/
tremor,verb,rung,"Volcanic seismicity has three major forms: short-period earthquake, long-period earthquake, and harmonic tremor .","Địa chấn núi lửa thường có ba dạng chính: động đất chu kỳ ngắn, động đất chu kỳ dài, và rung chấn điều hòa (harmonic tremor).","A shake, quiver, or vibration.",78,/ˈtrɛmə/
vestigial,adjective,dấu vết,"Humans have a similar magnetite deposit, but it is believed to be vestigial .","Con người có tiền gửi magnetite tương tự, nhưng nó được cho là dấu vết .",Of or pertaining to a vestige or remnant; like a trace from the past.,79,/vɛˈstɪdʒ(i)əl/
heist,verb,cướp,I can't do the heist .,Con không thể đi cướp .,"a robbery or burglary, especially from an institution such as a bank or museum",80,/haɪst/
journal,noun,nhật ký,After two weeks record your experience in your journal .,"Sau hai tuần, hãy ghi lại kinh nghiệm của em vào nhật ký .",(obsolete) Daily.,81,/ˈdʒʌnəl/
outage,noun,số lượng chất đốt,Don't tell me this is a power outage .,Nói với anh đi đây chỉ là chạm điện .,"A temporary suspension of operation, especially of electrical power supply",82,/ˈaʊtɪdʒ/
pothole,noun,ổ gà,I noticed some yellow brick potholes back there.,Tôi thấy là một số viên gạch vàng có ổ gà đấy.,"A shallow pit or other edged depression in a road's surface, especially when caused by erosion by weather or traffic.",83,/ˈpɒthəʊl/
predator,noun,thú ăn mồi sống,"If you think about it, it is a little bit like a population of predators , that are so successful in decimating the prey that they must feed on, that in the end they starve.","Nếu bạn nghĩ về nó, nó hơi có phần giống như loài thú ăn mồi sống vậy, mà rất thành công khi giết chết loại con mồi nó phải ăn để sống nhưng cuối cùng lại chết đói.","any animal or other organism that hunts and kills other organisms (their prey), primarily for food",84,/ˈprɛdətə/
prestigious,adjective,có uy tín,"Yet, his music earned him a prestigious award.","Thế nhưng, âm nhạc của ông ấy lại được giải thưởng có uy tín .",Of high prestige.,85,/prɪˈstɪdʒɪs/
rout,Verb,root,Southern Route :,Hướng Nam:,A bellowing; a shouting; noise; clamor; uproar; disturbance; tumult.,86,/raʊt/
seismologist,noun,nhà địa chấn học,Jesus was not a seismologist .,Giê-su không phải là nhà địa - chấn - học .,"A person who is skilled at, professes, or practices seismology.",87,/ˌsɑɪzˈmɑləʤəst/
treasury,noun,kho bạc,U. S. Treasury bills and bonds are loans to the Federal Government.,Kỳ phiếu và trái phiếu kho bạc Hoa Kỳ là những khoản vay của,a place where state or royal money and valuables are stored,88,/ˈtrɛʒəri/
vermilion,adjective,đỏ son,Vermilion Bird is Tortoise killed,Chu Tước là Huyền Vũ giết,A vivid red synthetic pigment made of mercury sulfide.,89,/vərˈmɪljən/
albatross,noun,chim hải âu lớn,The wandering albatross is an outstanding example.,Chim hải âu lớn (Diomedea exulans) là một thí dụ điển hình.,Any of various large seabirds of the family Diomedeidae ranging widely in the Southern Ocean and the North Pacific and having a hooked beak and long narrow wings.,90,/ˈælbətrɒs/
alligator,verb,cá sấu Mỹ,Alligators don't have that fringe on their hind leg.,Cá sấu Mỹ không có gai răng cưa ở chân sau.,(obsolete) One who binds or ties.,91,/ˈælɪgeɪtə/
auction,noun,đấu giá,Apparently all seven came up for auction a few months back.,Rõ ràng là cả bảy con đã được cho bán đấu giá mới vài tháng trước.,A public event where goods or property are sold to the highest bidder.,92,/ˈɔkʃɪn/
extravaganza,noun,hành vi ngông cuồng,Shoes Extravaganza .,Áo Surplice,"an event or display (dramatic, musical, etc) of fantastic or chaotic behaviour or conduct.",95,/ɛkstrævɪˈgænzə/
fatality,noun,sự rủi ro,The consequences can be fatal .,Hậu quả có thể sẽ rất nghiêm trọng .,"The state of being fatal, or proceeding from destiny; invincible necessity, superior to, and independent of, free and rational control.",96,/feɪˈtælɪti/
kayak,verb,Kayak,"You like walking your dog, kayaking , and Hitchcock movies.","Anh thích tản bộ với chó, đi thuyền kayak và phim Hitchcock.","a type of small boat, powered by the occupant or occupants using a double-bladed paddle in a sitting position",97,/ˈkɑjæk/
mascot,noun,linh vật,Looks like you're a mascot for a macabre club.,Có vẻ như cô là linh vật của một câu lạc bộ tử thần đấy.,"something, especially a person or animal, used to symbolize a sports team or other group",98,/ˈmæskɒt/
polar,adjective,ở địa cực,"Much of the water is stored in oceans, lakes, rivers, glaciers, polar icecaps, and under the ground.","Phần lớn nước được chứa trong các đại dương, ao hồ, sông ngòi, băng hà, tảng băng ở địa cực , và trong lòng đất.","of, relating to, measured from, or referred to a geographic pole (the North Pole or South Pole)",100,/ˈpʌʊlə/
altruistic,adjective,vị tha,"So, long live the altruistic revolution.",Cách mạng Vị tha muôn năm!,Regardful of others; beneficent; unselfish,101,/ɒltruˈɪstɪk/
black hole,noun,hố đen,Now our Sun will not collapse to a black hole .,Bây giờ Mặt trời của chúng ta sẽ không dập tắt thành một hố đen .,"A gravitationally domineering celestial body with an event horizon from which even light cannot escape; the most dense material in the universe, condensed into a singularity, usually formed by a collapsing massive star.",102,/blæk həʊl/
bronze,adjective,đồng thiếc,"Lepton (Jewish, copper or bronze )","Lép-ton (Do Thái, đồng hoặc đồng thiếc )","(uncountable) A natural or man-made alloy of copper, usually of tin, but also with one or more other metals.",103,/brɒnz/
citizenship,noun,quyền công dân,They applied for French citizenship after...,Họ xin quyền công dân Pháp sau khi...,The status of being a citizen.,104,/ˈsɪtɪzənʃɪp/
crow,noun,quạ,"They reveal a beautiful range of colors: glossy, dark plumage, reminiscent of crows , alternating strips of black and white, or splashes of bright red.","Chúng tiết lộ một loạt các màu sắc đẹp đẽ: sáng bóng, sậm tối , gợi nhớ đến lũ quạ , hay xen kẽ các dải đen và trắng, hoặc có những vệt màu đỏ tươi.","A bar of iron with a beak, crook, or claw; a bar of iron used as a lever; a crowbar.",105,/krəʊ/
fellowship,verb,hội,Dad and Mother took full advantage of all opportunities to fellowship and associate.,Cha và mẹ tận dụng mọi cơ hội để kết hợp và hội họp cùng anh em.,A company of people that shares the same interest or aim.,106,/ˈfɛləʊʃɪp/
lithium,noun,liti,it's almost like age is a form of lithium .,nó giống như tuổi tác là một dạng Liti vậy.,"(pharmacology, uncountable) Lithium carbonate or other preparations of lithium metal used to treat manic depression and bipolar disorders.",108,/ˈlɪθiəm/
outbreak,verb,bùng nổ,But nobody believes it will actually be particularly effective if we have a real outbreak .,Nhưng không ai tin rằng nó sẽ thật sự hiệu nghiệm nếu dịch bệnh thật sự bùng nổ .,A sudden increase.,109,/ˈaʊtbreɪk/
pharaoh,noun,Pharaon,Here they are enslaved by Pharaoh .,Tại đây họ đã bị Pha - ra - ông bắt làm nô lệ.,The supreme ruler of ancient Egypt; a formal address for the sovereign seat of power as personified by the 'king' in an institutional role of Horus son of Osiris; often used by metonymy for Ancient Egyptian sovereignty,110,/ˈfɛroʊ/
policy,noun,chính sách,The policy of the government was criticized by the opposition party.,Chính sách của chính phủ bị phê phán bởi đảng đối lập.,"A plan or course of action, especially one of an organization or government",111,/ˈpɒlɪsi/
purge,verb,thanh trừng,There will be no more purges .,Sẽ không có vụ thanh trừng nào nữa.,An act of purging,112,/pədʒ/
abroad,adverb,ở nước ngoài,He's been abroad for six years now.,Anh ấy ở nước ngoài đã sáu năm nay.,(neologism) countries or lands abroad,113,/əˈbrɔd/
accommodation,noun,chỗ ở,"Our next assignment was Rockhampton, but we could not find any accommodations there.","Nhiệm sở kế tiếp của chúng tôi là Rockhampton, nhưng chúng tôi không tìm đâu ra chỗ ở .","(British) Lodging in a dwelling or similar living quarters afforded to travellers in hotels or on cruise ships, or prisoners, etc.",114,/əkɒməˈdeɪʃən/
adventurous,adjective,mạo hiểm,"There were adventure games, quiz games, strategy games, and action games.","Có những trò chơi như mạo hiểm , thi đố, chiến lược và hành động.",Inclined to adventure; willing to incur risks; prone to embark in hazardous enterprise; rashly daring; — applied to persons.,115,/ədˈvɛntʃərəs/
board,noun,bảng,"And these are some later studies that I'm working on right now that are on the boards , where you can see, in the bottom right-hand corner, with the red, it's actually smaller pieces of thermometal, and it's actually going to, we're trying to make it move like cilia or eyelashes.","Và có một vài nghiên cứu sau này mà tôi đang làm việc hiện giờ ở trên bảng , nơi bạn có thể thấy, ở góc tay phải phía dưới, với màu đó, nó thực sự là miếng nhỏ hơn của nhiệt kim loại, và nó chắc chắn sẽ dẫn đến việc, chúng tôi cố gắng khiến nó di chuyển giống như lông mao hay lông mi.",(nautical) The distance a sailing vessel runs between tacks when working to windward,116,/bɔd/
cottage,verb,nhà tranh,Employee records say wayne dryden was fired from the crest cottages six months ago.,Uh... hồ sơ nhân viên ghi Wayne Dryden bị đuổi từ nhà tranh Crest 6 tháng trước.,A small house; a cot; a hut.,117,/ˈkɒtɪdʒ/
destination,noun,đích,She is destined to be sold for political currency.,Số phận của cô ta là bị bán đi vì mục đích chính trị.,(archaic) The act of destining or appointing.,118,/destɪˈneɪʃən/
foreign,adjective,nước ngoài,Students often find it very difficult to understand a lecture in a foreign language.,Sinh viên cảm thường thấy rất khó hiểu một bài giảng bằng tiếng nước ngoài .,From a different country.,119,/ˈfɒrən/
hostel,verb,cũ nhà trọ,Hostels .,Nhà trọ .,"A budget-oriented overnight lodging place, with dormitory accommodation and shared facilities",120,/ˈhɒstəl/
identification,noun,sự nhận dạng,This varied morphology also often makes identification of species difficult.,Hình thái biến đổi này cũng thường làm cho sự nhận dạng loài là khó khăn.,"The act of identifying, or proving to be the same.",121,/aɪdɛntɪfɪˈkeɪʃən/
