word,part_of_speech,meaning,example,example_meaning,definition
brunt,noun,gánh năng chủ yếu,They suffered the full brunt of the attack.,Họ chủ yếu nhận hết đòn tấn công.,The full adverse effects of; the chief consequences or negative results of a thing or event.
heartrending,adjective,đau lòng,The poverty of those fellow Christians was heartrending .,Sự nghèo khổ của các anh em tín đồ Đấng Christ này thật não lòng .,"That causes great grief, anguish or distress"
indelicate,adjective,thiếu tế nhị,"However, the entries are not made with indelible ink.","Tuy nhiên, tên trong sách không được ghi bằng loại mực không thể tẩy xóa .",Improper or immodest.
refined,adjective,tao nhã,One of the refinements of every polished society.,Tôi cho khiêu vũ là cái thú tinh tế đầu tiên của xã hội tao nhã .,Showing or having good feelings or good taste.
superficial,adjective,nông cạn,"So it's a superficial job, then.",Vậy chắc phải là một công việc hời hợt .,"Shallow, lacking substance."
hypocrisy,noun,hành động đạo đức giả,And children often are the most alert and sensitive when it comes to recognizing hypocrisy .,Con cái thường cảnh giác và bén nhạy nhất khi chúng nhận ra hành động đạo đức giả .,"the claim or pretense of holding beliefs, feelings, standards, qualities, opinions, virtues or motivations that one does not actually possess. [from early 13th c.]"
impertinent,adjective,láo,He will consider it an impertinence .,Anh ta sẽ cho rằng đấy là một sự xấc láo .,irrelevant (opposite of pertinent)
gist,verb,lý do chính,Got the gist ?,Nắm được vấn đề chưa?,The most essential part; the main idea or substance (of a longer or more complicated matter).
pedantic,adjective,thông thái rởm,So pedantic .,Đúng là thông thái rởm !,"Like a pedant, overly concerned with formal rules and trivial points of learning."
bashful,adjective,rụt rè,"Being rather bashful , I said we would rather he would give us some.",Tôi rụt rè nói rằng chúng tôi thích để ông lấy cho chúng tôi một chút ít.,(Can we clean up(+)this sense?) inclined to avoid notice
unrequited,adjective,không được thưởng,Unrequited love affairs.,Yêu đương đơn phương .,Unanswered; not returned; not reciprocated; not repaid.
ruddy,adjective,hồng hào,"Blond, a bit younger than I am, ruddy -faced.","Tóc vàng, hơi trẻ hơn anh, hồng hào .","Reddish in color, especially of the face, fire, or sky."
ensemble,verb,bộ quần áo,That's an awfully aggressive ensemble .,Một bộ quần áo không thể tệ hơn.,"a group of musicians, dancers, actors, etc who perform together; the chorus of a ballet company"
pensive,adjective,trầm ngâm,"You're certainly a man comfortable with long, pensive silences.",Anh chắc chắn là kiểu người thoải mái với sự im lặng dài và trầm ngâm .,"Having the appearance of deep, often melancholic, thinking."
provoke,verb,khiêu khích,"I have learned to control my anger, even when I am provoked .","Tôi đã tập kiềm chế cơn nóng giận, ngay cả khi bị người khác khiêu khích .",(transitive) to cause (a person) to become annoyed or angry.
deftly,adverb,khéo léo,If you'd come earlier... you would have seen me deftly separate this Seljuk's head from his body.,Nếu ông tới sớm hơn... ông sẽ được chứng kiến tôi khéo léo chặt đầu tên Seljuk này.,"in a deft manner, i.e. quickly and neatly in action"
worldly,adjective,trần tục,Are we ridding ourselves of all our worldly possessions?,Có phải chúng ta đang tự giải thoát khỏi những của cải trần tục không?,"Of or relating to man and the planet earth, physical as opposed to spiritual."
drivel,verb,chảy dãi,"Stop talking drivel , pal.","Đừng đùa chứ , anh bạn.",senseless talk; nonsense
pseudonym,noun,biệt hiệu,Heisenberg is kind of a pseudonym .,Heisenberg là... kiểu như biệt hiệu ấy.,"A fictitious name, often used by writers and movie stars."
compote,noun,mứt quả,a quarter of the items were sold off for compote,một phần tư của các mặt hàng này được bán đi để làm mứt quả,A dessert made of fruit cooked in sugary syrup.
privation,noun,cảnh thiếu thốn,It was the reason they suffered privation and even death.,Đó là lý do mà họ đã chịu cảnh thiếu thốn và ngay cả cái chết.,(philosophy) The state of being deprived of or lacking an attribute formerly or properly possessed; the loss or absence of such an attribute.
epistle,verb,thư của sứ đồ,The epistle clearly shows that the sacrifice of Jesus Christ is the only one that provides the needed ransom for sinful humankind.,Thư của sứ đồ cho thấy rõ ràng rằng sự hy sinh của Giê-su Christ là của-lễ duy nhất để cung cấp giá chuộc cần thiết cho nhân loại tội lỗi.,"A letter, or a literary composition in the form of a letter."
measly,adjective,không ra gì,A measly ten?,Chỉ có mười đồng ?,"Small in amount, contemptibly so."
bourgeois,adjective,giai cấp tư sản,"In bourgeois terms, it was a war between the Allies and Germany.",Đối với giai cấp tư sản đó là cuộc chiến giữa Đồng Minh và Đức.,"Of or relating to the middle class, especially its attitudes and conventions."
temperance,noun,sự chừng mực,"No, I accidentally lost my temper .","Không, em vô tình mất kiểm soát .","Habitual moderation in regard to the indulgence of the natural appetites and passions; restrained or moderate indulgence; moderation; as, temperance in eating and drinking; temperance in the indulgence of joy or mirth; specifically, moderation, and sometimes abstinence, in respect to using intoxicating liquors."
attribute,Verb,cho là do,"It also causes slight cirrhosis, which Dr. Chase so eagerly attributed to alcohol.","Nó cũng dẫn tới bệnh xơ gan nhẹ, điều mà bác sĩ Chase đã rất nhanh chóng cho là do rượu.",A characteristic or quality of a thing.
deviant,adjective,bất thường,You're saying I'm a deviant ?,Ông đang bảo tôi bất thường ?,"A person who deviates, especially from norms of social behavior."
node,noun,nút,"Hybrid dependency/phrase structure grammar uses dependencies between words, but also includes dependencies between phrasal nodes – see for example the Quranic Arabic Dependency Treebank.",Văn phạm kết hợp phụ thuộc và thành phần dùng phụ thuộc giữa các từ nhưng cũng có phụ thuộc giữa các nút cụm từ - xem ví dụ Quranic Arabic Dependency Treebank.,"A knot, a knob; a protuberance; a swelling."
vindictiveness,noun,tính chất trả thù,He is a vindictive bastard.,Hắn là một tên khốn đầy thù hận .,The condition of being vindictive
haggard,adjective,hốc hác,But on that day a very haggard woman opened the door and stood before him.,"Nhưng vào ngày đó, một phụ nữ hốc hác đã mở cửa và đứng trước mặt ông.","Looking exhausted and unwell, in poor condition"
affinity,noun,ái lực,Roxithromycin has fewer interactions than erythromycin as it has a lower affinity for cytochrome P450.,Roxithromycin ít tương tác thuốc hơn so với erythromycin do nó có ít ái lực với cytochrome P450.,A natural attraction or feeling of kinship to a person or thing.
tractable,adjective,dễ bảo,"And another Bible scholar, Joseph Benson, wrote during the last century: “Men of fierce, cruel, and ungovernable dispositions shall be so transformed by the preaching of the gospel, and by the grace of Christ, that they shall become most humble, gentle, and tractable , and shall no more vex and persecute those meek and poor ones, mentioned [in] Isa 11 verse 4.”","Một chuyên-gia khác về Kinh-thánh là Joseph Benson, đã viết vào thế-kỷ 19 như sau: “Những con người cứng đầu, hung bạo và tàn ác sẽ biến đổi nhân-cách họ với sự rao truyền của phúc-âm và ân-sủng của đấng Christ tác-động trên con người họ khiến họ trở thành thật khiêm-tốn, hòa-nhã, dễ bảo ; họ sẽ không quấy nhiễu và hà hiếp kẻ yếu thế và kẻ nghèo được đề-cập đến ở câu 4”.","Capable of being easily led, taught, or managed; docile; manageable; governable."
alimony,noun,tiền cấp dưỡng,Did you know my wife pays me alimony ?,Cô có biết vợ tôi phải trả tiền cấp dưỡng cho tôi không?,(law) A court-enforced allowance made to a former spouse by a divorced or legally separated person.
sere,adjective,sear,"The Greek historian Strabo writes, ""they extended their empire even as far as the Seres (China) and the Phryni.""",Nhà sử học Hy Lạp Strabo viết rằng: Họ đã mở rộng đế chế của mình xa tới tận Seres (người Trung Quốc) và Phryni.,Without moisture.
environs,noun,vùng ven,Integration between land and water elements of the coastal zone: This is the realisation of the physical environment being a whole.,Đất và nước yếu tố của các vùng ven biển: Đây là việc thực hiện các môi trường vật lý là một tổng thể.,The surroundings; the environment.
allege,verb,cho là,This man is an alleged victim of consumption.,Người đàn ông này được cho là nạn nhân của bệnh lao phổi.,"(obsolete) To lighten, diminish."
supersede,verb,thay thế,In September 1997 it was superseded by Microsoft Internet Explorer 4.,Vào tháng 9 1997 nó đã bị thay thế bởi Internet Explorer 4.,(transitive) Set (something) aside.
libel,verb,lời phỉ báng,"In 1999, an article about the case in the Canadian newspaper The Globe and Mail resulted in a libel suit by Goh.","Năm 1999, một bài viết về sự kiện này trên tờ báo Globe and Mail của Canada kết dẫn tới một lời phỉ báng từ Lý.",A written (notably as handbill) or pictorial statement which unjustly seeks to damage someone's reputation.
dissent,verb,bất đồng quan điểm,"Your dissent on Godfrey v. Kent was brilliant, by the way.","Vụ bất đồng quan điểm với Godfrey v. Kent là rất thông minh, dù sao đi nữa.","(intransitive) To disagree; to withhold assent. Construed withfrom(or, formerly,to)."
tamp,noun,đầm,A 15-kilometre (9.3 mi) tamped -earth ramp was built to transport marble and materials to the construction site and teams of twenty or thirty oxen pulled the blocks on specially constructed wagons.,"15 km (9,3 mi) đường dốc bằng đất đầm nện được xây dựng để vận chuyển đá cẩm thạch và các vật liệu khác đến để xây dựng công trình và các đội gồm 20 hoặc 30 con bà được dùng để kéo các khối đá trên các toa xe có cấu tạo đặc biệt.","(blasting) to plug up with clay, earth, dry sand, sod, or other material, as a hole bored in a rock, in order to prevent the force of the explosion from being misdirected."
internment,noun,sự giam giữ,Constraints can be internal or external to the system.,Các ràng buộc có thể là nội bộ hoặc bên ngoài hệ thống.,"Confinement within narrow limits, as of foreign troops, to the interior of a country."
shamble,verb,chạy lóng ngóng,"Also, comp in shambles ?","Nói chung thì, kinh khủng thật.",To walk while shuffling or dragging the feet.
gilt,adjective,lợn cái con,Gilts at seven.,Giá vàng đang ở mức 7.,(slang) money
unequivocal,adjective,sòng,His words are unequivocal and bold.,Lời của ông thật dứt khoát và mạnh mẽ.,"Unambiguous; without equivocation or ambiguity; singularly clear, unmistakable, or unquestionable"
nominal,adjective,danh,This was despite the fact that he was a nominal Catholic.,Tất cả những điều này bất kể sự kiện ông là một người Công Giáo trên danh nghĩa.,"Of, resembling, relating to, or consisting of a name or names."
quaff,verb,nốc cạn một hơi,,,"To drink or imbibe, especially with vigour."
subjugate,verb,chinh phục,"In Cuba, it was subjugated by the Batista government.","Ở Cuba, nó được chinh phục bởi chính phủ Batista.",To forcibly impose obedience or servitude.
camaraderie,noun,tình bạn,I learned about sharing. I learned about camaraderie .,Tôi học cách chia sẻ.Tôi học về tình bạn .,Close friendship in a group of friends or teammates.
pathological,adjective,bệnh lý,You switched the samples and the pathology reports.,Anh đã đổi mẫu và bản báo cáo bệnh lý .,Pertaining to pathology.
dredge up,verb,,Can't dredge up the past now.,Giờ không được là lúc gợi lại quá khứ.,"Used other than as an idiom:seedredge,up."
cull,verb,hái,A cull is our only hope.,Sàng lọc là hy vọng duy nhất.,To pick someone or something.
amputate,verb,cắt cụt,"For example, we have a sister in our congregation who had her leg amputated .","Thí dụ, trong hội thánh chúng tôi có một chị bị cắt cụt chân.","To surgically remove a part of the body, especially a limb"
amiable,adjective,dễ thương,Is he amiable ?,Ông ta có tử tế không?,"Friendly; kind; sweet; gracious; as, an amiable temper or mood; amiable ideas."
ambitious,adjective,có nhiều hoài bão,"That's too ambitious .""","Điều đó quá tham vọng ?""","Possessing, or controlled by ambition; greatly or inordinately desirous of power, honor, office, superiority, or distinction."
overwhelm,verb,áp đảo,It's enough to make you feel very overwhelmed .,Nhiêu đó đủ để làm bạn thấy áp đảo .,"To engulf, surge-over and submerge"
antibiotic,adjective,thuốc kháng sinh,One of my big soapboxes right now is antibiotics .,Một trong những chủ đề lớn của tôi ngay bây giờ là thuốc kháng sinh .,(pharmacology) Any substance that can destroy or inhibit the growth of bacteria and similar microorganisms.
catastrophe,noun,tai họa,Why could this world not end in a nuclear catastrophe ?,Tại sao thế giới này không thể chấm dứt bằng một tai họa hạch tâm?,(now rare) Alternative spelling of catastrophe.
ravenous,adjective,cơ cực,"Raven , stop!","Raven , dừng lại!",Very hungry.
cunning,adjective,xảo quyệt,He has also employed more subtle means— cunning acts and sly devices.,Hắn cũng vận dụng những phương kế xảo quyệt hơn—những hành động dối trá và mưu kế gian hiểm.,Sly; crafty; clever in surreptitious behaviour.
apprehensive,adjective,sợ hãi,"Are we living with apprehension , fear, and worry?","Chúng ta có đang sống trong nỗi e ngại, sợ hãi và lo âu không?",Anticipating something with anxiety or fear.
lurk,verb,rình mò,♫ lurks the ghost of war.,♫ ẩn giấu bóng ma chiến tranh.,To remain concealed in order to ambush
phenomenal,adjective,phi thường,"Once hatched, a chick grows at a phenomenal pace.","Một khi đã nở, chim non lớn lên với một tốc độ phi thường .",(colloquial) Very remarkable; highly extraordinary; amazing.
confiscate,adjective,tịch thâu,I tried to think of something to say that would prevent this spiritual treasure from being confiscated .,Tôi cố nghĩ ra một điều gì đó để nói hầu cho kho tàng thiêng liêng này khỏi bị tịch thâu .,(transitive) To take possession of by force or authority; expropriate.
silhouette,verb,hình bóng,"Silhouette , Harry!","Hình bóng , Harry!","An illustrated outline filled in with a solid color(s), usually only black, and intended to represent the shape of an object without revealing any other visual details; a similar appearance produced when the object being viewed is situated in relative darkness with brighter lighting behind it; a profile portrait in black, such as a shadow appears to be."
rigmarole,noun,câu chuyện vô nghĩa,"And her sainted mother always dreamed of the whole mass rigmarole , but you're...","Và người... người mẹ thánh thiện của nó vẫn luôn mơ có đầy đủ một lễ Misa lê thê lết thết cho nó, nhưng...","complex, obsolete procedures; excess steps or activity; needless motion"
apprentice,noun,người học việc,"Being an apprentice , you know, you do that.",Bạn phải làm thế khi bạn là người học việc .,"A trainee, especially in a skilled trade."
eccentric,adjective,lập dị,he was eccentric .,Gã Gale Boetticher này lập dị lắm.,not at or in the centre.
piddling,adjective,dọn dẹp,What are you piddle -farting around for? I could do that in 10 minutes.,Sao mày ề à thế nhở. Nếu là tao thì cái đó 10 phút là xong rồi.,"Insignificant, negligible, paltry, trivial, useless."
glimmer,verb,le lói,"A short while later, a glimmer of light began to suffuse the dark vault of the sky.","Một lát sau, tia sáng le lói bắt đầu tràn ngập vòm trời đen tối.",A faint light; a dim glow.
misdeed,noun,hành động xấu,But what misdeed did they commit?,Nhưng hành động xấu xa nào họ đã phạm phải?,"That which was done that should not have been, ranging from any sin or moral offense to various degrees of crime."
connoisseur,noun,người sành sỏi,I'm a connoisseur of the... first printing.,Tôi là một người sành sỏi về những... bản in đầu tiên,"A specialist of a given field whose opinion is valued; especially in one of the fine arts, or in a matter of taste"
cinch,verb,nịt,"Wearing a ""fuller–figure"" "" cinched in corset"" designed by The Blonds, who also design outfits for Lady Gaga, Leah Simpson for the Daily Mail wrote that Aguilera put a ""sexy twist on patriotism with a star–spangled bodysuit and managed to get a few pulses racing in the over–the–top ensemble.""","Trình diễn trong ""trang phục kín đáo"" ""được thít chặt bằng áo nịt ngực"" thiết kế bởi The Blonds, người cũng thiết kế trag phục cho Lady Gaga, Leah Simpson của Daily Mail viết rằng Aguilera đem đến ""sự quyến rũ trong tình yêu nước với bộ quần áo lấp lánh những ngôi sao, và một chút rộn ràng trong bộ trang phục qua-hết-ngực.""",A simple saddle girth used in Mexico.
assumption,noun,giả định,And what assumption are we working on?,Thế chúng ta làm việc với giả định gì?,"The act of assuming, or taking to or upon one's self; the act of taking up or adopting."
mishap,verb,việc không may,"The only mishap was during the ceremony, when Charlotte was heard to giggle when the impoverished Leopold promised to endow her with all his worldly goods.",Việc không may duy nhất xảy ra trong buổi lễ là Charlotte cười khúc khích khi Leopold (rất nghèo so với Charlotte) hứa sẽ chăm lo cho bà với tất cả những thứ vật chất mà anh ta có.,"An accident, mistake, or problem."
swanky,adjective,choáng,Pretty swanky offices.,Văn phòng khoe khoang quá nhỉ.,"Rather posh, elegant, ritzy."
lingo,noun,tiếng lóng,"You gotta learn the lingo , hombrito.","Đi mà học thêm tiếng lóng đi, chàng trai.","Language, especially language peculiar to a particular group or region; jargon or a dialect."
segregate,adjective,tách riêng,You can segregate the data even further at the report level with tools like Segments.,"Thâm chí, bạn có thể tách riêng dữ liệu thêm nữa ở cấp báo cáo bằng các công cụ như Phân đoạn .",Separate; select.
aborigine,noun,thổ dân,Aboriginal and Torres Strait Islander people made up 18.1% of the population.,"Thổ dân và dân đảo Torres Strait chiếm 18,1% dân số.",An aboriginal inhabitant of a country.
foolproof,adjective,hết sức rõ ràng,We've watched the financial markets that we uniquely create -- these markets that were supposed to be foolproof -- we've watched them kind of collapse before our eyes.,Ta đã theo dõi thị trường tài chính do ta tạo ra lẽ ra phải hết sức rõ ràng nhưng lại sụp đổ ngay trước mắt chúng ta.,"For a device: protected, or designed to be proof against misuse or error; fail-safe."
leery,adjective,cẩn thận,"I-it's just, people have to be, and especially women, need to be leery about how much they put out into the world.","Mọi người, và đặc biệt là phụ nữ, cần cẩn thận về những gì mà họ tiết lộ ra thế giới bên ngoài.","Cautious, hesitant, or nervous about something; having reservations or concerns."
fortnight,noun,hai tuần lễ,"Every second fortnight , he rode.","Cứ vào hai tuần lễ cuối, ông ấy cưỡi ngựa đi.",A period of fourteen nights; two weeks.
aptitude,noun,khả năng,Let's see if you have the aptitude .,Chúng ta hãy xem là cô đủ khả năng không.,Natural ability to acquire knowledge or skill.
sharecropper,noun,người cấy rẽ,You're living like a sharecropper .,Con sống như một nông dân đi làm thuê vậy.,A person who enters an agreement with a land owner to farm the land and then pay a portion (share) of the produce as rent. One who sharecrops.
iota,noun,Iôta,Not an iota changed accept.,Sau đó là một thực tế.,"(uncountable) The ninth, and smallest, letter of the Greek alphabet."
stammer,verb,nói lắp,I thought I would stammer but did not.,Tôi nghĩ rằng tôi sẽ nói lắp nhưng tôi đã không làm thế.,To keep repeating a particular sound involuntarily.
sarcastic,adjective,chế nhạo,"While all sarcasm fits the definition of verbal irony, not all verbal irony is sarcastic .","Tất cả những lời chế nhạo là sự châm biếm, nhưng không phải tất cả lời châm biếm đều là sự chế nhạo .",Containing sarcasm.
grits,verb,bột yến mạch thô,They say he has grit .,Người ta nói ổng gan lì .,Plural form of grit. ('hulled oats')
affliction,noun,nỗi đau đớn,"These afflictions could have been physical, emotional, or mental.","Những nỗi đau đớn này có thể là về mặt thể chất, tình cảm, hay tinh thần.","A state of pain, suffering, distress or agony."
mull,verb,bắt trượt,"""Denmark, Poland mull pipeline link.(News)"".","Truy cập ngày 1 tháng 7 năm 2009 . “Denmark, Poland mull pipeline link.(News)”.",To work (over) mentally; to cogitate; to ruminate; usually with over.
haywire,adjective,rối loạn,The body's immune response goes haywire and starts attacking the peripheral nerves.,Phản ứng miễn dịch của cơ thể đột ngột rối loạn và tấn công các dây thần kinh ngoại biên.,Wire used to bind bales of hay.
malfunction,verb,trục trặc,But the Son'a report claims that they didn't fire until after he malfunctioned .,Nhưng người Son'a nói rằng họ không hề nổ súng trước khi anh ta bị trục trặc .,Faulty functioning.
battalion,verb,Tiểu đoàn,They had the battalion here under a very poor major.,Tiểu đoàn được đặt dưới quyền chỉ huy của một thiếu tá kém cỏi.,"(military) An army unit having two or more companies, etc. and a headquarters. Traditionally forming part of a regiment."
ruckus,noun,,What's this ruckus about?,Sao phải làm loạn lên thế?,A noisy disturbance and/or commotion.
flabbergasted,adjective,kinh ngạc,"When I leave a job interview, they're flabbergasted , can't believe what I say.",Khi tôi kết thúc phỏng vấn mọi người rất kinh ngạc và không tin những gì tôi nói.,"Appalled, annoyed, exhausted or disgusted."
unforeseen,adjective,bất ngờ,Illness or unforeseen occurrence may keep us away occasionally.,Thỉnh thoảng mình có thể vắng mặt vì bệnh hoạn hoặc trường hợp bất ngờ xảy ra.,not foreseen.
interrogation,noun,sự thẩm vấn,We need to interrogate one.,Chúng ta cần tới thẩm vấn một con.,The act of interrogating or questioning; examination by questions; inquiry.
expeditiously,adverb,,More expeditious than that.,Khẩn trương hơn đi.,In an expeditious manner
reserved,adjective,dành riêng,This process is not reserved for the prophets alone.,Tiến trình này không dành riêng cho các vị tiên tri.,Simple past tense and past participle of reserve.
privy,adjective,kín,The Privy Council is claiming... the remnants who escaped are behind this,Hội đồng kín đã tuyên bốNgười trốn thoát là kẻ đứng sau vụ này,"(now chiefly historical) Private, exclusive; that is one's own."
levity,noun,tính coi nhẹ,Your levity is good.,Tình yêu của con người thật tốt.,"lightness of manner or speech, frivolity"
scorn,verb,khinh,The scornful often accuse prophets of not living in the 21st century or of being bigoted.,Kẻ khinh miệt thường cáo buộc các vị tiên tri về việc không sống hợp thời trong thế kỷ 21 hoặc bị mù quáng.,(transitive) To feel or display contempt or disdain for something or somebody; to despise.
epigram,noun,cách nói dí dỏm,"Hence the epigram , ""Lex orandi, lex credendi"" - the law for prayer is the law for faith.","Lex orandi , lex credenda (""Luật của sự cầu nguyện chính là luật của đức tin"").",(obsolete) An inscription in stone.
turbulence,noun,Dòng chảy rối,"A turbulent flow can, however, be statistically stationary.","Một dòng chảy rối có thể, tuy nhiên, ổn định về mặt thống kê.","(uncountable) The state or fact of being turbulent or agitated; tempestuousness, disturbance."
supercilious,adjective,khinh khỉnh,The psalmist wrote: “The wicked one according to his superciliousness makes no search; all his ideas are: ‘There is no God.’” —Psalm 10:4.,"Người viết Thi-thiên nói: “Vì kiêu ngạo, nó không tìm kiếm Chúa, trong tư duy không dành chỗ cho Ngài”.—Thi-thiên 10:4, Bản Diễn Ý; chúng tôi viết nghiêng.",Arrogantly superior; showing contemptuous indifference; haughty.
oculist,noun,thầy thuốc khoa mắt,(Inaudible remark) (For bad eyesight you must go to a better oculist .),(Bình phẩm không nghe rõ) (Vì thị lực kém bạn phải đi đến một bác sĩ mắt tốt hơn.),An ophthalmologist
contiguous,adjective,bên cạnh,Staten Island is the only borough in New York City that does not share a land border with another borough (Marble Hill in Manhattan is contiguous with the Bronx).,Đảo Staten là quận duy nhất của Thành phố New York không có ranh giới trên bộ với quận khác (Marble Hill thuộc Manhattan nằm sát bên cạnh quận the Bronx).,connected; touching; abutting
sumptuous,adjective,xa hoa,"Through his agents Stephen and Theodotos, the emperor raised the funds to gratify his sumptuous tastes and his mania for erecting costly buildings.","Thông qua hai tên thuộc hạ là Stephen và Theodotos, hoàng đế cho nâng công quỹ để thỏa mãn thị hiếu xa hoa và niềm đam mê xây dựng những công trình tốn kém của mình.","Magnificent, luxurious, splendid."
anemic,adjective,thiếu máu,53% of women of reproductive age and 44% of children were found to be anemic .,53% phụ nữ ở tuổi sinh đẻ và 44% trẻ em bị thiếu máu .,Of or pertaining to anemia.
countenance,verb,cho phép,"The New York Times stated that ""no true patriot can countenance any such expenditures for bronze females in the present state of our finances.""","Nhật báo The New York Times lên tiếng rằng ""không có người yêu nước chân chính nào có thể cho phép bất cứ sự chi tiêu nào như thế cho những hình tượng nữ bằng đồng với tình trạng tài chính hiện tại của chúng ta.""","Appearance, especially the features and expression of the face."
rakish,adjective,ngang tàng,I think you look very rakish .,Tôi nghĩ rằng cậu trông rất ngang tàng .,Stylish; characterized by a devil-may-care unconventionality.
immoderate,adjective,quá độ,▪ What the Bible does condemn is the immoderate use of alcohol:,▪ Điều Kinh Thánh lên án là việc uống rượu quá độ :,"excessive or lacking, not consistent"
hauteur,noun,thái độ kiêu căng,""" Lord Pershore gone to bed, Jeeves? "" I asked, with reserved hauteur and what - not.",""" Chúa Pershore đi ngủ, Jeeves? "" Tôi hỏi, với hauteur dành riêng và những gì - không.",haughtiness or arrogance; loftiness
shiftless,adjective,nhác,I'm shiftless .,Tôi rất vụng về .,"lazy, unmotivated"
hospitality,noun,lòng hiếu khách,The Jews viewed showing hospitality as a sacred duty.,Người Do Thái xem việc thể hiện lòng hiếu khách là điều rất quan trọng.,"(business) The business of providing catering, lodging and entertainment service."
punctilious,adjective,câu nệ,"Some sites, including Wikimedia Commons, are punctilious about licenses and only accept pictures with clear information about permitted use.","Một số website, bao gồm Wikimedia Commons , có quy định chặt chẽ về bản quyền và chỉ chấp nhận ảnh chụp với thông tin giấy phép hợp lệ và rõ ràng.","Strictly attentive to detail; meticulous or fastidious, particularly to codes or conventions."
disconcerting,adjective,làm bối rối,"AllMusic called it a ""dizzying, disconcerting , schizophrenic tour through just about any rock style the group can think of, hopping from genre to genre without any apparent rhyme or reason, and sometimes doing so several times in the same song.""","AllMusic gọi album ""làm choáng váng, làm bối rối , một chuyến đi điên rồ qua tất cả những phong cách nhạc rock mà nhóm nhạc có thể nghĩ đến, chuyển từ thể loại này sang thể loại khác mà chẳng cần lý do nào, và đôi khi làm điều đó nhiều lần trong chỉ một bài hát.""","Tending to cause discomfort, uneasiness or alarm; unsettling; troubling; upsetting."
evasion,noun,sự tránh,Tax evasion .,Trốn thuế,"The act of eluding or avoiding, particularly the pressure of an argument, accusation, charge, or interrogation; artful means of eluding."
insidious,adjective,nham hiểm,"11 Satan can also undermine our spirituality in a subtle, insidious way.",11 Sa-tan cũng có thể dùng một cách xảo quyệt và nham hiểm để làm tổn hại tình trạng thiêng liêng của chúng ta.,"Producing harm in a stealthy, often gradual, manner."
meretricious,adjective,gái điếm,Meretricious .,Thật hào nhoáng .,"(obsolete) Of, or relating to prostitutes or prostitution."
ineffable,adjective,huý,An “ Ineffable Name”?,Một “danh cấm kỵ ” chăng?,Beyond expression in words; unspeakable.
ramification,noun,nhánh,to see the political ramifications of a system like this.,để đọc bảng phân nhánh của những hệ thống thế này.,"(botany, anatomy) A branching-out, the act or result of developing branches; specifically the divergence of the stem and limbs of a plant into smaller ones, or of similar developments in blood vessels, anatomical structures etc."
turgid,adjective,sưng,This is a positive remedy for weariness turgidity of the bowels and...,Đây là một phương thuốc nhiệm mầu cho mọi sự mệt mỏi sưng phình ruột và...,"Distended beyond the natural state by some internal agent, especially fluid, or expansive force."
