word,part_of_speech,meaning,example,example_meaning,definition
pomegranate,noun,quả lựu,"If I text you the word "" pomegranate , "" you're to come stay here until further notice.","Nếu trong tin nhắn của tôi có từ "" quả lựu "", cậu hãy đến đây tạm trú cho đến khi có tin tức khác.","Any of several shrubs or small trees, of the genus Punica, bearing the fruit of the same name."
slaughterhouse,noun,lò mổ,Now I've got a slaughterhouse filled with rotten product.,Giờ thì lò mổ của tôi đầy thịt thối.,A place where animals are slaughtered.
widower,noun,người góa vợ,"Well, if you must know, I'm a widower .","Well, nếu ông phải biết thì tôi là 1 người góa vợ .",A man whose wife has died (and who has not re-married); masculine of widow.
gasp,verb,thở hổn hển,"I can remember sobbing, tears racing down my face as I gasped for air.","Tôi có thể nhớ đã thổn thức, lệ chảy dài xuống má trong khi tôi thở hổn hển .","A short, sudden intake of breath."
brag,adjective,khoe khoang,"It is true that many persons do it, but few people like to hear bragging .","Có nhiều người hay khoe khoang , nhưng có ít người thích nghe lời khoe khoang .",(by ellipsis) The card game three card brag.
beloved,adjective,yêu dấu,I add my testimony to that of our beloved prophet.,Tôi thêm chứng ngôn của mình vào chứng ngôn của vị tiên tri yêu dấu của chúng ta.,someone who is loved; something that is loved
assurance,noun,sự tự tin,"That, I can assure you, is impossible.","Điều đó, tôi có thể đảm bảo với cô, là không thể.",The act of assuring; a declaration tending to inspire full confidence; that which is designed to give confidence.
exact,adjective,đúng,"Anyway, Martin used to drive the same exact seven miles every day.","Dù sao thì, nghe này, Martin từng lái đúng bảy dặm mỗi ngày.","Precisely agreeing with a standard, a fact, or the truth; perfectly conforming; neither exceeding nor falling short in any respect."
improve,verb,cải thiện,How does humility improve our relations with fellow Christians?,Tính khiêm nhường giúp ta cải thiện mối liên lạc với anh em cùng đạo như thế nào?,(transitive) to make (something) better; to increase the value or productivity (of something)
overall,adjective,toàn bộ,The person then develops problems talking and overall weakness .,Sau đó bệnh nhân cảm thấy nói chuyện khó khăn và cơ thể yếu lả toàn bộ .,All-encompassing.
sniff,verb,ngửi,Sniff your sleeve.,Ngửi ống tay áo.,An instance of sniffing.
blend,verb,pha trộn,"It is an electronica and dance record, blending styles of UK garage, house and rave.","Nó là một album nhạc dane, pha trộn với phong cách UK Garage, house và rave.",A mixture of two or more things.
whiff,adjective,luồng,11 But what do you do when whiffs of this world’s “air” come your way?,11 Bạn sẽ làm gì khi những luồng khói thuốc của thế gian này tuôn tới phía bạn?,"A waft; a brief, gentle breeze; a light gust of air"
fang,verb,răng nọc,"Of the approximately 2,650 species of advanced snakes (Caenophidia), only the front- fanged species (~650) were considered venomous by the anthropocentric definition.","Trong số khoảng 2.650 loài rắn bậc cao (Caenophidia), chỉ các loài có răng nọc trước (~650 loài) được coi là có nọc độc theo định nghĩa lấy con người làm trung tâm.",(rare) to strike or attack with the fangs
undergo,verb,trải qua,How did David’s life undergo change?,Đời sống của Đa-vít đã trải qua những biến đổi như thế nào?,"(transitive, obsolete) To go or move under or beneath."
vegetarian,adjective,chay,""" Knowing what I know, why am I not a vegetarian ? """,""" Hiểu biết những gì mà tôi biết, tại sao tôi không ăn chay ? ""","A person who does not eat animal flesh, or, in some cases, animal products."
errand,verb,việc lặt vặt,"No late night emails, no personal errands , and definitely no coffee.","Không email đêm, không việc lặt vặt cá nhân, và chắc chắn không có pha cà phê.","A trip to accomplish a small mission or to do some business (dropping items by, doing paperwork, going to a friend's house, etc.)"
wander,verb,lang thang,"And a lady does not wander through the theater alone, either.",Và một quý cô cũng không lang thang khắp nhà hát một mình.,The act or instance of wandering.
pulse,Verb,nhịp đập,A pulse .,nhịp đập .,"Any annual legume yielding from 1 to 12 grains or seeds of variable size, shape and colour within a pod, and used as food for humans or animals."
classy,adjective,cừ,"Classy , actually.",Thật sự cừ lắm đó.,"Elegant, highly stylish or fashionable."
ruin,verb,sự đổ nát,Even a single page could bring about our ruin .,Ngay cả 1 trang có thể mang lại sự đổ nát của chúng ta.,(countable) construction withered by time.
embouchure,noun,cách đặt môi,Now compress your lips to create your embouchure ... enough for the tip of your little finger.,Giờ khép môi lại đặt vào sáo... nhỏ đủ để đút đầu ngón tay út vào.,(music) The shape of the mouth and lips when playing a wind instrument.
toboggan,verb,xe trượt băng,After months of confinement underground she toboggans down the slope.,Sau nhiều tháng giam mình dưới lớp đất nó trượt xuống con dốc.,"A long sled without runners, with the front end curled upwards, which may be pulled across snow by a cord or used to coast down hills."
compulsion,noun,sự ép buộc,"He doesn't derive any sadistic pleasure from these fantasies, they're more like a compulsion .","Hắn không thấy thú vui bạo dâm từ ảo tưởng đó, chúng giống sự ép buộc hơn.","An irrational need to perform some action, often despite negative consequences."
upsurge,verb,cn,(Malachi 2:16) In the wake of World War I there was an unprecedented upsurge in divorces.,"Đối với Ngài, những người xem thường lời khuyên của Kinh-thánh mà bỏ vợ để cưới vợ khác là phạm một trọng tội (Ma-la-chi 2:16).",a sudden strong rise or flow
latency,noun,sự ngấm ngầm,Improved virtualization latency .,Kích hoạt tính năng Nested Virtualization .,"(electronics) A delay, a period between the initiation of something and the occurrence."
frolicsome,adjective,béo mỡ,,,Given to frolicking; playful
insomniac,adjective,bị chứng mất ngủ,"He never closes, he's an insomniac !",Hắn bị chứng mất ngủ nên không bao giờ đóng cửa!,One who suffers an inability or difficulty sleeping; a sufferer from insomnia.
orneriness,noun,,Ornery cuss.,Lão già xấu tính .,the state of being ornery
prefer,verb,thích hơn,I'd have preferred it if you'd stayed later last night.,Nhưng tôi sẽ thích hơn nếu tối qua cô ở lại trễ.,"(transitive, now dated) To advance, promote (someone). [from 14th c.]"
nectar,verb,rượu ngon,It's been years since I've tasted the nectar of the Old South.,Đã một năm rồi tôi chưa được nếm rượu ngon của Phương Nam.,(mythology) The sweet drink of the Ancient gods.
navigation,noun,dẫn đường,Navigator !,Người Dẫn Đường !,"(uncountable) Traffic or travel by vessel, especially commercial shipping"
reenactment,noun,,Reenact one or two experiences.,Diễn lại một hoặc hai kinh nghiệm.,"The repetition of an earlier (usually historic) event, as a performance or social event."
classical,adjective,kinh điển,Fine bone china — this is a real classic .,Xương nghiền mịn trong đồ sứ — cái này thật là kinh điển đấy.,"Of or relating to the first class or rank, especially in literature or art."
debit,adjective,lưu lượng,Under GAAP there are two kinds of accounts: debit and credit.,Theo GAAP và MAIC có hai loại tài khoản: nợ và có.,A sum of money taken out of an account.
masochist,noun,người thông dâm,"What a sick, masochistic lion.",Con sư tử thật bệnh hoạn và thô bạo .,"someone who enjoys pain, or who derives pleasure from harming oneself or being harmed by others"
undeniable,adjective,dứt khoát là tốt,My logic is undeniable .,Suy luận của tôi rất chặt chẽ .,"irrefutable, or impossible to deny"
rejection,noun,sự từ chối,I started teaching people how to turn rejections into opportunities.,Tôi bắt đầu dạy mọi người cách biến sự từ chối thành cơ hội.,The act of rejecting.
hatch,verb,ấp,My husband and Laroche have been hatching this plan for a long time.,Chồng tôi và Laroche đã ấp ủ kế hoạch này từ rất lâu rồi.,A horizontal door in a floor or ceiling.
cavity,noun,ổ,"After the abdominal cavity had been emptied, it was washed thoroughly.","Sau khi mọi thứ trong bụng đã được lấy ra, ổ bụng được rữa thật kỹ.",A hole or hollow depression.
numbness,noun,tình trạng tê,Numbness in her left foot is ascending into her leg.,Tình trạng tê liệt từ bàn chân đang lan dần lên chân cô ấy.,Absent or reduced sensitivity to cutaneous stimulation.
vaccinate,verb,chủng,I went to get vaccinated .,Tôi đã đi để được tiêm chủng .,Treat with a vaccine to produce immunity against a disease.
rudiments,noun,,Enter Rudimental feat.,Nhập Rudimental feat.,Plural form of rudiment.
terrorism,noun,khủng bố,Are we to understand the terror is against the government?,Hành động khủng bố của anh nhằm chống lại chính phủ sao?,The deliberate commission of an act of violence to create an emotional response through the suffering of the victims in the furtherance of a political or social agenda.
recitation,noun,sự ngâm thơ,[Child reads or recites Psalm 83:18.],[Cháu đọc hoặc đọc thuộc lòng Thi-thiên 83:18].,The act of publicly reciting something previously memorized.
fictional,adjective,hư cấu,"The characters they copied were fictional , but the liquor Allen and his friends drank was real.","Các nhân vật đó đều là hư cấu , nhưng rượu mà Danh cùng bạn mình uống là thật.","Invented, as opposed to real."
promulgation,noun,sự ban bố,The term was promulgated in 1967 by Edward de Bono.,Phương pháp này được đề nghị bởi Edward de Bono.,"the act of promulgating or announcing something, especially a proclamation announcing a new law."
febrile,adjective,sốt,I think it may have been a febrile convulsion.,Tôi nghĩ có thể đây là chứng sốt co giật.,"Feverish, or having a high temperature."
predetermine,verb,quyết định trước,One scholar says that the Greek term rendered “resolved” “has the idea of predetermination .”,"Theo một học giả, từ Hy Lạp được dịch là “định” bao hàm ý “ quyết định trước ”.",To determine or decide something in advance.
clever,adjective,thông minh,Jane is as clever as any girl in her class.,Jane thông minh như những đứa bé gái khác trong lớp của nó.,"smart, intelligent or witty, in the sense of being mentally quick or sharp"
solely,adverb,duy nhất,You will return to face with the sole purpose of winning.,Các con sẽ trở lại với mục đích duy nhất của chiến thằng.,(focus) Alone; exclusively.
sputter,verb,nói lắp bắp,"Sputtering , I grabbed it.",Tôi bám vào nó.,"Moist matter thrown out in small detached particles; also, confused and hasty speech."
protectorate,noun,chế độ bảo hộ,and my protector down to the end.,ngài yêu thương che chở dù trong gian khó.,Government by a protector; -- applied especially to the government of England by Oliver Cromwell.
eyesore,noun,điều chướng mắt,Get this eyesore out of my showroom.,Đem cái thứ chướng mắt này ra khỏi phòng trưng bày của tôi.,A displeasing sight; something prominently ugly or unsightly.
desensitize,verb,làm bớt nhạy,We're becoming desensitized .,Chúng ta trở nên lãng tai,to cause to become less sensitive or insensitive
sketchy,adjective,sơ sài,"Command has attempted to list casualties and losses, but information is sketchy .",Bộ Chỉ Huy yêu cầu soạn bản liệt kê tổn thất nhưng thông tin lại sơ sài .,Roughly or hastily laid out; intended for later refinement.
snipe,verb,dẽ giun,"Have you ever heard of a "" snipe ""?","Cháu đã từng nghe "" chim dẽ giun "" chưa?","Any of various limicoline game birds of the family Scolopacidae, having a long, slender, nearly straight beak."
triptych,noun,tranh bộ ba,"which culminated in a very large work, which I call ""The Triptych .""","cuối cùng dẫn đến 1 tác phẩm cực lớn Tôi gọi nó là ""The Triptych"" ( tranh bộ ba )",A picture or series of pictures painted on three tablets connected by hinges.
summation,noun,phép cộng,"In summation , I think you just got to not do it.","Tóm lại, tôi nghĩ Anh không nên làm như vậy.",A summarization.
connive,Verb,ngơ,Conniving and as cruel as they come.,Mưu mô và vô cùng độc ác.,to cooperate with others secretly in order to commit a crime; to collude
nary,adjective,n ngôi,Matias notices Nari trying to call the police.,Matias thấy Nari cố gắng gọi cảnh sát.,not one
loaf,noun,bánh mì,The loaf of bread was adorned with ornate tiny squirrels.,Ổ bánh mì được trang trí bằng những con sóc nhỏ xíu được làm rất công phu.,(also loaf of bread) A block of bread after baking.
envisage,verb,dự tính,"Together, we envisage and enact a society","Chung tay, chúng tôi dự tính và tạo dựng một xã hội",To conceive or see something within one's mind. To imagine or envision.
hominid,adjective,,"This object was made by a hominid ancestor,",Vật này do tổ tiên loài người làm nên,"Any primate of the family Hominidae. All the great apes (Humans, chimpanzees, bonobos, gorillas and orangutans)."
celluloid,adjective,xenluloit,Nothing but ashes and fading strips of celluloid .,Chẳng còn gì ngoài đông tro tàn và những cuộn phim bị biến dạng .,"Any of a variety of thermoplastics created from nitrocellulose and camphor, once used as photographic film."
abstraction,noun,trừu tượng,"Structural type system Abstract type Type system Pierce, Benjamin C. (2002).","Hệ thống kiểu cấu trúc Kiểu trừu tượng Hệ thống kiểu Pierce, Benjamin C. (2002).","The act of abstracting, separating, or withdrawing, or the state of being withdrawn; withdrawal."
lacuna,noun,chỗ khuyết,These lacunae cover two years during which a king could have reigned.,Những khoảng trống này còn có thể bao gồm cả khoảng thời gian hai năm mà một vị vua đã cai trị.,A small opening; a small pit or depression; a small blank space; a gap or vacancy; a hiatus.
prophylaxis,noun,phép phòng bệnh,I recommend post-exposure prophylaxis .,Tôi khuyên cô nên dùng thuốc chống phơi nhiễm HIV .,"(medicine) Prevention of, or protective treatment for disease."
modality,noun,phương thức,"But the modality of attention,",Nhưng phương thức của sự chú ý.,the state of being modal
vociferate,verb,la om sòm,"There was a conference, and the incredible evidence of a vociferous eye- witness.",Có một cuộc thảo luận và bằng chứng đáng kinh ngạc của một nhân chứng om sòm mắt.,(intransitive): To cry out with vehemence; to exclaim; to bawl; to clamor. - Cowper
neurologist,noun,nhà thần kinh học,"Dr. Foreman, a neurologist , believes this woman has a brain tumor.","Bác sĩ Foreman, một nhà thần kinh học , tin rằng cô ta có một khối u ở não.",A doctor or scientist who practices or specializes in neurology.
spastic,adjective,co cứng,Some medications can help relax the muscles in kids with spastic cerebral pal sy .,Một số loại thuốc có thể giúp làm giãn cơ ở trẻ bị bại não co cứng .,"(pathology) Of, relating to, or affected by spasm."
labyrinthine,adjective,chẳng chịu khó khăn,Characters in a Kafkaesque setting often lack a clear course of action to escape a labyrinthine situation.,"Các nhân vật trong một bối cảnh ""kiểu Kafka"" thường thiếu một cách thức hành động rõ ràng để thoát khỏi hoàn cảnh đó.","Resembling a labyrinth; with the qualities of a maze; twisting, convoluted, baffling, confusing, perplexing, bamboozling."
dorsal,noun,lưng,And a male with a huge dorsal fin almost two metres high.,Và một con đực với cái vây lưng khổng lồ cao gần hai mét.,"(anatomy) With respect to, or concerning the side in which the backbone is located, or the analogous side of an invertebrate."
unilateral,adjective,đơn phương,"In a democracy, good is a conversation, not a unilateral decision.","Trong nền dân chủ, tốt đẹp phải là sự giao tiếp không phải những quyết định đơn phương .",affecting only one side of the body
repletion,noun,sự tràn đầy,With joy you will be replete .,với bao sướng vui trong đời ta .,The condition of being replete
aggregation,noun,khối kết tập,"Then if you drive over the road, you take out the aggregates —","Rồi nếu lái xe lên chỗ đường đó, bạn sẽ phá hủy những khối kết tập này —",The act of collecting together (aggregating).
aegis,noun,sự bảo hộ,"Follow the map, where it leads, under my aegis .","Theo tấm bản đồ, đến nơi nó dẫn tới dưới sự bảo hộ của ta.",A mythological shield associated with Zeus and Athena shown as a short cloak consisting of a goatskin. The aegis of Athena is usually shown with a border of snakes and with the head of Medusa in the center. The aegis is more an emblem of protection and power than an actual military shield.
pugnacity,noun,tính hay gây gỗ,"The Durants observed: “The causes of war are the same as the causes of competition among individuals: acquisitiveness, pugnacity , and pride; the desire for food, land, materials, fuels, mastery.”","Hai tác giả Durant nói trên nhận xét: “Các căn nguyên của chiến tranh giống nhau với căn nguyên của sự cạnh tranh giữa hai người: sự ham muốn vật chất, tính hiếu chiến và tự ái; sự ham muốn có thêm nhiều thức ăn, đất đai, của cải vật chất, dầu hỏa và đô hộ”.",The act or characteristic of being aggressive or combative.
confabulation,noun,sự nói chuyện,"Vallée speculates that accounts of USS Engstrom's degaussing might have been garbled and confabulated in subsequent retellings, and that these accounts may have influenced the story of ""The Philadelphia Experiment.""","Vallée suy đoán rằng số tài liệu về quá trình khử từ của tàu USS Engstrom có thể đã bị cắt xén và xáo trộn trong những lần kể lại sau đó, và các tài liệu này có thể đã ảnh hưởng đến câu chuyện của ""Vụ Thử nghiệm Philadelphia.""",A casual conversation; a chat.
phantasmagoria,noun,ảo cảnh,Also included is ZUN's short story related to Phantasmagoria of Flower View and a CD of various rearrangements of his music.,Ngoài ra còn bao gồm một câu chuyện ngắn của ZUN liên quan tới Phantasmagoria of Flower View và một CD với một số bản nhạc được biên soạn lại của ông.,A series of events involving rapid changes in light intensity and colour.
verbosity,noun,tính dài dòng,""" Verbosity . """,Dài dòng .,"The excess use of words, especially using more than are needed for clarity or precision; long-windedness"
schizophrenia,noun,bệnh tâm thần phân liệt,"You know, the patient is prime age to develop spontaneous schizophrenia .",Anh biết là ở tuổi tầm bệnh nhân thì bắt đầu tiến triển bệnh tâm thần phân liệt .,"(pathology) A psychiatric diagnosis denoting a persistent, often chronic, mental illness variously affecting behavior, thinking, and emotion."
phantasmagoric,adjective,ảo cảnh,He also creates phantasmagoric sculptures made of bones from cast resin.,Anh cũng tạo ra những bản điêu khắc ảo ảnh bằng xương đúc từ nhựa thông.,Characterized by or pertaining to rapid changes in light intensity and colour.
supererogatory,adjective,thừa,"This means that utilitarianism, if correctly interpreted, will yield a moral code with a standard of acceptable conduct very much below the level of highest moral perfection, leaving plenty of scope for supererogatory actions exceeding this minimum standard.""","Điều này có nghĩa là Chủ nghĩa thực tế, nếu như giải thích một cách đúng đắn, sẽ tạo ra những tiêu chuẩn đạo đức với những thái độ phù hợp thấp hơn rất nhiều so với những cấp độ đạo đức hoàn hảo, tạo ra nhiều cơ hội cho những “hành động thái quá ” vượt qua những tiêu chuẩn trung bình này.""","pertaining to supererogation, or doing more than is required, especially with reference to good works in Roman Catholicism"
apoplexy,noun,chứng ngập máu,,,"(medicine) Sudden diminution or loss of consciousness, sensation, and voluntary motion, usually caused by pressure on the brain."
anamnesis,noun,ký ức,"Genogram Medical record Medicine Physical examination Psychoanalysis (Freud uses the term anamnesis to describe neurotics' recounting of their symptoms) Quilliam, S. (2011).","Catamnesis Cây gia hệ Bệnh án Y học Thăm khám thực thể Phân tâm học (Freud uses the term anamnesis to describe neurotics' recounting of their symptoms) ^ a ă â Quilliam, S. (2011).",The ability to recall past events; recollection.
acme,noun,tột đỉnh,Individual self-control has even been called “the acme of human achievement.”,Người nào tập được tính tự chủ thì được xem là đã đạt đến “thành tích tột đỉnh của loài người”.,The top or highest point; pinnacle; culmination.
iterative,adjective,lặp,"Even the best usability experts cannot design perfect user interfaces in a single attempt, so a usability engineering lifecycle should be built around the concept of iteration .","Ngay cả các chuyên gia về khả năng sử dụng tốt nhất cũng không thể thiết kế giao diện người dùng hoàn hảo trong một nỗ lực duy nhất, do đó, một vòng đời kỹ thuật về khả năng sử dụng nên được xây dựng xung quanh các khái niệm về sự lặp lại.",Of a procedure that involves repetition of steps (iteration) to achieve the desired outcome; in computing this may involve a mechanism such as a loop.
allusion,noun,lời ám chỉ,"A man with a beard after the Macedonian period implied a philosopher, and there are many allusions to this custom of the later philosophers in such proverbs as: ""The beard does not make the sage.""","Một người đàn ông với bộ râu sau giai đoạn Macedonian được ngụ ý là một nhà triết gia và có rất nhiều lời ám chỉ đến thói quen này của các nhà triết học sau này trong các câu tục ngữ như: ""Bộ râu không tạo thành một triết gia.""","An indirect reference; a hint; a reference to something supposed to be known, but not explicitly mentioned; a covert indication."
veridical,adjective,trung thực,"So the bottom line is, evolution does not favor veridical , or accurate perceptions.","Vậy, kết luận là, tiến hóa không ưu tiên nhận thức trực tiếp hoặc nhận thức chính xác.",True.
concentric,adjective,đồng tâm,You wanna put the marshmallows in concentric circles.,Này Rachel cậu muốn đặt kẹo dẻo vào những vòng tròn đồng tâm này đấy.,(geometry) Having a common center.
paradigmatic,adjective,,D'Annunzio has always been paradigmatic ...,D'Annunzio luôn là hình mẫu mà ...,of or pertaining to a paradigm
benison,noun,sự ban phúc,,,A blessing; beatitude; benediction.
schema,noun,giản đồ,where things don't match your schema .,về thực tế không giống với giản đồ của ta.,"An outline or image universally applicable to a general conception, under which it is likely to be presented to the mind."
ramify,verb,mọc thành,"He writes: “The more famous Rabbis often assembled about them in great numbers, youths desirous of instruction, for the purpose of making them thoroughly acquainted with the much ramified and copious ‘oral law.’ . . .","Ông viết: “Các ra-bi lừng danh thường tập hợp lại rất nhiều người trẻ ham muốn được thọ giáo, với mục đích dạy cho họ hiểu tường tận hàng bao ‘luật truyền khẩu’ đa dạng...","To divide into branches or subdivisions; as, to ramify an art, subject, scheme."
retentive,adjective,lâu,"I know people still believe ingesting it is better for retention ,","Tôi biết mọi người vẫn tin tưởng việc đọc giúp nhớ lâu hơn,","Having power to retain; as, a retentive memory."
explicable,adjective,có thể giảng được,"Rarely, changes are made in the explication of doctrine.",Những thay đổi để làm sáng tỏ giáo lý hiếm khi xảy ra.,Able to be explained.
predispose,verb,dẫn đến,It occurs in people who are genetically predisposed .,Nó xảy ra ở những người tiền định vị di truyền.,To make someone susceptible to something (such as a disease).
minutely,adjective,tỉ mỉ,And these are six minutes they really prepared for the TED audience.,Và đây là 6 phút mà họ đã chuẩn bị tỉ mỉ cho các khán giả của TED.,With attention to tiny details.
verisimilitude,noun,vẻ thật,"We are drawn to her writing by its verisimilitude – not of mimesis, so-called and... 'realism' – but rather the feeling of being itself... of just being a human being.""","Chúng ta bị tác phẩm của bà hấp dẫn bởi vẻ thật của nó– chứ không bởi mimesis<, cái gọi là, và... 'chủ nghĩa hiện thực' – mà bởi cảm giác là chính nó... là chính một con người"".","the property of seeming true, of resembling reality; resemblance to reality, realism"
prohibited,adjective,bị cấm,Smoking is prohibited in this room.,Hút thuốc lá bị cấm ở phòng này.,Forbidden; unallowed
joint,adjective,chung,This is truly a joint effort.,Đây thực sự là một nỗ lực chung .,Done by two or more people or organisations working together.
vacancy,noun,chỗ khuyết,From 888 to 1869 it was traditional for reigning Emperors to send a son to the temple to take over as head priest when a vacancy arose.,"Từ năm 888 đến 1869, theo truyền thống, các hoàng đế gửi con trai vào chùa làm sư trụ trì khi có chỗ khuyết vị trí đó.",An unoccupied position or job.
boggy,adjective,lầy lội,Walt Boggis is a chicken farmer.,Walt Boggis nuôi gà.,"Having the qualities of a bog; i.e. dank, squishy, muddy, and full of water and rotting vegetation."
censorship,noun,công tác kiểm duyệt,Google will quit China unless web censorship ends,Google sẽ rút lui khỏi Trung Quốc trừ phi chấm dứt công tác kiểm duyệt web,"The use of state or group power to control freedom of expression, such as passing laws to prevent media from being published or propagated."
hypochondria,noun,chứng nghi bệnh,The hypochondria of his father left Elisabeth mistress of the palace.,Khí hậu của cha ông để lại bà chủ Elisabeth trong cung điện.,(medicine) A psychological disorder characterized by excessive preoccupation or worry about having a serious illness.
mediation,noun,hòa giải,They need us to mediate some territorial dispute.,Họ muốn chúng ta đi hòa giải tranh chấp lãnh thổ.,negotiation to resolve differences conducted by some impartial party.
pettifog,verb,cãi cọ lặt vặt,We had a good court until those pettifogging lawyers moved in.,Chúng tôi đã từng xử án ngon lành ở đây cho tới khi bọn luật sư ruồi bu tới.,To quibble over trivial matters; nitpick
instigator,noun,kẻ xúi giục,The instigator was Satan the Devil.,Kẻ xúi giục đó là Sa-tan Ma-quỉ.,"A person who intentionally incites or starts something, especially one that starts trouble."
abnegation,noun,sự bỏ,Abnegation .,Abnegation .,A denial; a renunciation.
expiation,noun,sự chuộc,Expiation !,Sự cứu rỗi !,An act of atonement for a sin or wrongdoing.
oracle,verb,thẻ,"Since oracles were available only at specific places, an individual had to put forth considerable effort to travel there in order to receive them.","Vì lời bói thẻ chỉ có thể nhận được tại những địa điểm đặc biệt, một người đã phải gắng sức vượt đường xa đến đó xem bói.",A shrine dedicated to some prophetic deity.
bier,noun,quan tài,"He resurrected the widow’s son from the funeral bier , no doubt on the day of his death.","Ngài phục hồi sự sống cho con trai một của bà mẹ góa, khiến người con bước ra khỏi quan tài trong ngày đem chôn.",A litter to transport the corpse of a dead person.
improper,adjective,bậy,"Rather than turn away before improper thoughts grew in his heart, he kept looking.","Thay vì quay mắt đi trước khi những ý tưởng bậy bạ nẩy mầm trong lòng ông, ông tiếp tục nhìn.",unsuitable to needs or circumstances; inappropriate
stereotypical,adjective,,"And in this case, the stereotype corresponds to reality.","Trong trường hợp này, ý niệm đó phù hợp với thực tế.",Pertaining to a stereotype; conventional
unsuspecting,adjective,không nghi ngờ,"The selling approach uses social engineering to cause shock, anxiety, or the perception of a threat, generally directed at an unsuspecting user.","Cách tiếp cận bán hàng sử dụng lừa đảo phi kỹ thuật để gây sốc, lo lắng, hoặc nhận thức về một mối đe dọa, thường hướng vào một người dùng không nghi ngờ .",Of or pertaining to lack of suspicion.
assembly,noun,hội đồng,"The town was devastated, though the Biscayan assembly and the Oak of Gernika survived.","Các thị trấn bị tàn phá, mặc dù hội đồng Biscayan và Oak của Gernika vẫn tồn tại.",A set of pieces that work together in unison as a mechanism or device.
posh,adjective,cừ,We're going posh .,Mình sẽ ăn kiểu thượng lưu .,"Snobbish, materialistic, prejudiced, under the illusion that they are better than everyone else. usually offensive. (especially in Scotland and North England)"
pratfall,verb,,,,A fall onto the buttocks.
predation,noun,Săn mồi,But predators shouldn't have to suffer for my mistakes.,Nhưng những con thú săn mồi không nên chịu sự dày vò vì lỗi của tôi.,act of predating
stalactite,noun,chuông đá,and one of those stalactites can require tens of millions of years to be formed.,một trong những chuông đá này cần hàng chục triệu năm hình thành,"(geology) A mineral deposit of calcium carbonate, in shapes similar to icicles, that hangs from the roof of a cave."
barker,noun,pháo,"Not at all, Miss Barker .","Không có gì, bà Barker .",Someone or something who barks.
septic,adjective,nhiễm trùng,His wound has gone septic .,Có lẽ anh ta bị nhiễm trùng rồi.,Of or pertaining to sepsis
concordance,noun,mục lục,"Using a Bible concordance or the Watch Tower Publications Index, we can seek the answer to the question, ‘How does Jehovah feel about the particular weakness that I am fighting?’","Dùng bảng tra cứu từ ngữ Kinh Thánh hay những bảng mục lục các bài Tháp Canh trong số ra mỗi cuối năm, chúng ta có thể tìm giải đáp cho câu hỏi: ‘Đức Giê-hô-va cảm thấy thế nào về sự yếu đuối mà tôi đang cố khắc phục?’",agreement; accordance; consonance
lug,verb,kéo lê,"If there ain't all that much to lug around,",Nếu không có gì nhiều để kéo lê xung quanh,A lug nut.
contain,verb,chứa đựng,"The Kryptonian archives contains knowledge from 100,000 different worlds.","Thư viện của Krypton chứa đựng kiến thức từ 100,000 thế giới.",(transitive): To hold inside.
