word,part_of_speech,meaning,example,example_meaning,definition,ID
cardinal,adjective,chủ yếu,"Numbers are mainly formed by adding cardinal numbers to the number 5 and by multiplying the numbers 10, 20 and 100.","Số đếm chủ yếu được tạo ra bằng cách thêm số vào 5 và nhân những số 10, 20 và 100.","Of fundamental importance; crucial, pivotal.",4318
preach,verb,thuyết giáo,"What's the matter, Preacher, don't you like being preached at?","Sao vậy, Linh mục, anh không thích nghe thuyết giáo hả?",Give a sermon.,4319
actor,noun,diễn viên,Tom lacks the talent to be an actor .,Tom thiếu tài năng để trở thành một diễn viên .,a person who performs in a theatrical play or film,4320
role,noun,vai trò,And so each citizen plays an indispensable role .,Và như vậy mọi công dân đều có vai trò không thể thiếu được.,A character or part played by a performer or actor.,4321
caliber,noun,cỡ,"Inspired by but not licensed by America's Next Top Model, the objective of this program was to raise the caliber of young models in the country and enhancing the international perception of Ghanaian models.","Lấy cảm hứng từ America's Next Top Model, mục tiêu của chương trình này là nâng cao tầm cỡ của các thí sinh trẻ trong nước và nâng cao nhận thức quốc tế về người mẫu.",US spelling of calibre.,4322
versatile,adjective,đa năng,Mbabazi is a versatile player with the ability to play on either wing or as a forward.,Mbabazi là 1 cầu thủ đa năng với khả năng để chơi ở hai cánh hoặc là tiền đạo.,(biology) Capable of moving freely in all directions.,4323
fuddy-duddy,noun,người vô tích sự,"Yeats, you old fuddy - duddy .","Là Yeats, ông già hủ lậu ạ .","(US, informal) An old-fashioned, persnickety or ineffective person.",4324
aspire,verb,khao khát,No. Designers aspire to be really great designers.,Không. Những nhà thiết kế khao khát trở thành những nhà thiết kế vĩ đại.,To hope or dream; especially to hope or work towards a profession or occupation (followed by to as a preposition or infinitive particle).,4325
neophyte,noun,người mới nhập đạo,Here come the Neophytes .,Đây là Neophytes .,A beginner.,4326
sitcom,noun,phim hài,They can watch sitcoms with her.,Họ có thể xem phim hài với con bé.,A situation comedy: an episodic comedy television program with a plot or storyline based around a particular humorous situation.,4327
comedian,noun,diễn viên kịch vui,She's a comedian .,Cô nhóc là diễn viên hài đấy.,"An entertainer who performs in a humorous manner, especially by telling jokes.",4328
character,noun,nhân vật,"The following is a list of characters from the anime and manga series, Gakuen Alice.",Dưới đây là danh sách các nhân vật trong manga và anime Gakuen Alice.,A being involved in the action of a story.,4329
induct,verb,induce,"Induction motor, sir.","Động cơ cảm ứng , thưa thầy.","to introduce into (particularly if certain knowledge or experience is required, such as ritual adulthood or cults).",4330
humor,verb,hài hước,He seems to be bankrupt of humor .,Hình như anh ấy chẳng có tí khiếu hài hước nào.,"(uncountable) The quality of being amusing, comical, funny. [from the early 18th c.]",4331
override,verb,cho ngựa giày xéo,Override .,Thông qua !,To ride across or beyond something.,4333
redeem,verb,chuộc,But into that agonizing breach came three redeeming forces.,Nhưng có ba sức mạnh cứu chuộc đã xảy đến trong thời gian đau khổ đó.,(transitive) To recover ownership of something by paying a sum.,4334
determine,verb,quyết định,And the choices we make about this will determine our future.,Và quyết định của chúng ta sẽ quyết định tương lai của chính chúng ta.,To set the limits of.,4335
nausea,noun,buồn nôn,Taking ginger or doxylamine is most likely to effectively curb nausea and vomiting .,Củ gừng hoặc thuốc doxylamine có thể trị được buồn nôn và ói hiệu quả nhất .,"A feeling of physical unwellness, usually with the desire to vomit.",4336
hull,noun,vỏ,"The modifications to her hull increased her armor weight from 6,502 to 10,313 long tons, directly violating the terms of the Washington Naval Treaty.","Việc cải tiến thân tàu đã làm tăng trọng lượng của vỏ giáp bảo vệ từ 6.502 lên 10.313 tấn, trực tiếp vi phạm các điều khoản của Hiệp ước Washington.",The outer covering of a fruit or seed,4337
absolutely,adverb,hoàn toàn,Absolutely marvelous.,Hoàn toàn tuyệt diệu.,"In an absolute, independent, or unconditional manner.",4338
vocation,noun,nghề,"Make a plan for your life, including education or vocational training.","Hãy lập một kế hoạch cho cuộc sống của các em, kể cả học vấn lẫn học nghề .","an occupation for which a person is suited, trained or qualified",4339
confidence,noun,sự tự tin,"As they started out, I was impressed with their confidence .","Khi họ bắt đầu đi, tôi cảm kích trước sự tự tin của họ.",Self-assurance.,4340
virtue,noun,đức,Many people do not fully understand the meaning of virtue .,Nhiều người không hiểu trọn vẹn ý nghĩa của đức tính.,"(obsolete) The inherent power of a god, or other supernatural being. [13th-19th c.]",4341
honorable,adjective,chính,"It doesn't pass the balancing test, your honor .","Nó không vượt qua các phân tích chính đáng, thưa quan tòa.",Worthy of respect; respectable.,4342
self-pity,noun,sự tự thương mình,Is he self - pitying ?,Ông có than thân trách phận không?,a feeling of pity for oneself,4343
mansion,noun,lâu đài,"Finally, he came to a wonderful mansion , which was his destination.","Cuối cùng, ông đến một lâu đài tráng lệ chính là điểm đến của ông.","A large house or building, usually built for the wealthy.",4344
defeatist,adjective,thất bại chủ nghĩa,To criticize the plan is defeatist !,Phê phán kế hoạch này là chủ bại !,"of, or relating to defeatism",4345
admiration,noun,sự khâm phục,I do admire a brave woman.,Tôi thực sự khâm phục một người phụ nữ dũng cảm.,"Wonder mingled with approbation or delight; an emotion excited by a person or thing possessed of wonderful or high excellence; as, admiration of a beautiful woman, of a landscape, of virtue.",4346
canyon,noun,vực,"In a deep, dark canyon off the coast of California,","Dưới hẻm vực sâu và tối ngoài khơi California,","A valley, especially a long, narrow, steep valley, cut in rock by a river.",4347
freedom,noun,sự tự do,You wanted to tell me about freedom ?,Bạn muốn nói với tôi về sự tự do hả?,"(uncountable) The state of being free, of not being imprisoned or enslaved.",4348
make it,verb,thành công,I didn't think you'd make it so soon.,Ta không nghĩ ngươi sẽ thành công sớm đâu.,(idiomatic) to reach a place.,4349
whisper,verb,thì thầm,"""""""I made it look like a hunting accident,"""" she whispered .""",“Tôi khiến nó trong như một tai nạn khi săn bắn.” cô thì thầm .,The act of speaking in a quiet voice.,4350
deserve,verb,đáng,I think that his proposal deserves some thinking.,Tôi cho rằng gợi ý của anh ấy đáng được xem xét.,"To be entitled to, as a result of past actions; to be worthy to have.",4351
comfort,verb,an ủi,May it comfort you as it has comforted me.,Cầu cho nó làm con được an ủi như nó đã từng làm ta được an ủi,"Contentment, ease.",4352
photograph,verb,chụp ảnh,"Even in consumer cameras, we no longer use photographic film.","Ngay cả đối với máy ảnh sử dụng, chúng ta cúng không còn dùng đến phim chụp ảnh .","A picture created by projecting an image onto a photosensitive surface such as a chemically treated plate or film, CCD receptor, etc.",4353
titan,noun,người khổng lồ,Nor will I break from my charge to bow and scrap before imagined titan .,Cũng sẽ không rời quyền chỉ huy để cúi đầu và cãi cọ với một người khổng lồ trong tưởng tượng.,"Something or someone of very large stature, greatness, or godliness.",4354
score,interjection,ghi điểm,They've been keeping score all year.,Họ ghi điểm suốt 1 năm qua mà!,(music) One or more parts of a musical composition in a format indicating how the composition is to be played.,4355
jazz,verb,Nhạc Jazz,In that same year she recorded what would have been the first jazz LP in South Africa's history.,Cùng năm đó cô thu âm bản nhạc jazz đầu tiên trong lịch sử ở Nam Phi.,"(music) A musical art form rooted in West African cultural and musical expression and in the African American blues tradition, with diverse influences over time, commonly characterized by blue notes, syncopation, swing, call and response, polyrhythms and improvisation.",4356
prolific,adjective,sinh sản nhiều,"Studying the white shark, however, is not easy—they are not prolific , and they die in captivity.","Tuy nhiên, nghiên cứu cá mập trắng không dễ dàng—chúng không sinh sản nhiều , và chết khi nuôi trong hồ.","Fertile, producing offspring or fruit in abundance—applied to plants producing fruit, animals producing young, etc.",4357
executive,adjective,quyền hành pháp,Supreme executive power derives from a mandate from the masses.,Quyền hành pháp tối cao được ủy nhiệm từ đại đa số quần chúng.,"Designed or fitted for execution, or carrying into effect.",4358
advocate,verb,chủ trương,Some use and advocate violence.,Một số sử dụng và chủ trương bạo lực.,"A person who argues the case of another, such as a lawyer in a court.",4359
arrangement,noun,sự sắp xếp,A key feature of the contract was the technology transfer arrangement .,Một đặc điểm chính của hợp đồng là sự sắp xếp chuyển giao công nghệ.,The act of arranging.,4360
unparalleled,adjective,chưa từng có,"We are blessed beyond measure to live in a day of unparalleled prosperity, enlightenment, and advantage.","Chúng ta được phước vô cùng khi được sống trong một thời kỳ thịnh vượng, khai sáng, và lợi thế chưa từng có .",having no parallel; without equal; lacking anything similar or worthy of comparison.,4362
production,noun,sản lượng,"These threats of reducing your oil production , it won't work.",Mối đe doạ từ việc giảm sản lượng dầu của ông sẽ không thành công đâu.,an occasion or activity made more complicated than necessary,4363
nomination,noun,sự bổ nhiệm,Nearly 10% of the delegates we need for the nomination .,Gần 10% số đại cử tri chúng tôi cần cho sự bổ nhiệm .,An act or instance of nominating.,4364
seminal,adjective,sự sinh sản,"AOL called it a "" seminal moment in internet history ...",AOL gọi đó là “Một sự kiện quan trọng trong lịch sử của Internet.,Of or relating to seed or semen.,4365
politics,noun,chính trị,Last year saw a big political change in Japan.,"Năm ngoái, tôi đã chứng kiến một cuộc thay đổi chính trị lớn ở Nhật Bản.",The practice of responding to conflict with dialogue.,4366
reconciliation,noun,hoà giải,Amaran said the talks were aimed at achieving reconciliation with the government .,Amaran nói cuộc hội đàm nhằm mục đích hoà giải với chính phủ .,The reestablishment of friendly relations; conciliation or rapprochement.,4367
principled,adjective,có nguyên tắc,"If I don't have my principles , I don't have anything.",Nếu tớ không có nguyên tắc riêng Tớ không thể có gì hết.,"Based on, having or manifesting principles.",4368
indefatigable,adjective,không biết mỏi mệt,""" Quite indefatigable",♫ Hoàn toàn không mỏi mệt ♫,Extremely persistent and untiring.,4369
habitat,noun,môi trường sống,He then moved across into what we called the habitat team.,"Sau đó, anh chuyển qua một đội tên là nhóm môi trường sống .",(biology) A specific place or natural conditions in which a plant or animal lives.,4370
emissary,noun,phái viên,I hope Agamemnon's generals are smarter than his emissaries .,Ta hy vọng quân đội của Agamemnon thông minh hơn phái viên của ông ta.,(anatomy) a venous channel in the skull,4371
moral,adjective,phẩm hạnh,But Tesla possessed the moral fortitude that I lack.,Nhưng Tesla sở hữu phẩm hạnh đạo đức mà tôi không có.,"Of or relating to principles of right and wrong in behaviour, especially for teaching right behaviour.",4372
alleviate,verb,giảm bớt,I alleviate boredom and occasionally heighten my thought processes.,Em giảm bớt tính chán nản và thỉnh thoảng nâng cao quy trình suy nghĩ của mình.,"(transitive) To make less severe, as a pain or difficulty.",4373
snippet,verb,miếng nhỏ cắt ra,Learn about structured snippet extensions.,Tìm hiểu bài giới thiệu về phần mở rộng đoạn nội dung có cấu trúc.,"(computing) a textfile containing a relatively small amount of code, useless by itself, along with instructions for inserting that code into a larger codebase",4376
varnish,verb,sơn dầu,"Today, mastic is found in varnishes that protect oil paintings, furniture, and musical instruments.","Ngày nay, mát-tít được dùng trong véc-ni bảo vệ tranh sơn dầu , đồ gỗ, và nhạc cụ.","A type of paint with a solvent that evaporates to leave a hard, transparent, glossy film.",4378
crevice,noun,kẽ,We're searching every crack and crevice Under this roof.,Chúng tôi sẽ tìm từng vết nứt kẽ hở dưới mái nhà này.,"A narrow crack or fissure, in a rock or wall.",4379
redundancy,noun,sự rườm rà,I'm redundant .,Tôi là người thừa .,The state of being redundant; a superfluity; something redundant or excessive; a needless repetition in language; excessive wordiness.,4380
uproot,Verb,trừ tiệt,"To uproot these destructive feelings, people need to change the way they think.","Để trừ tiệt những cảm xúc tai hại này, người ta cần phải thay đổi lối suy nghĩ.","To root up; to tear up by the roots, or as if by the roots; to extirpate.",4381
bile,verb,tính cáu gắt,Bitter as bile .,Đắng như mật cá.,"(biochemistry) A bitter brownish-yellow or greenish-yellow secretion produced by the liver, stored in the gall bladder, and discharged into the duodenum where it aids the process of digestion.",4382
adrenaline,noun,adrenaline,"Oh, are you sure you don't wanna come by Hollis'with me and shake off the adrenaline ?","Oh, em có chắc là không muốn đến chỗ Hollis cùng anh và trút bỏ lượng adrenaline ?",(biochemistry) An alternative name for epinephrine; the hormone and neurotransmitter.,4383
radiate,adjective,tỏa ra,From this seam tiny fibrils radiate throughout the vitreous humor.,Từ đường nối đó các thớ nhỏ xíu tỏa ra khắp pha lê dịch.,"To extend, send or spread out from a center like radii.",4384
desperately,adverb,liều lĩnh,"You know, something about the attempt on Morra seemed desperate .","Cô biết không, nỗ lực hạ Morran có vẻ liều lĩnh .",In a desperate manner; without regard to danger or safety; recklessly.,4385
inflame,verb,viêm,"The tendon and tendon sheath become inflamed , which can be painful .","Gân và bao gân bị viêm , có thể gây đau nhức .","To set on fire; to kindle; to cause to burn, flame, or glow.",4386
rend,verb,xé,I understand that somebody began to rend a song.,tôi hiểu là vài người bắt đầu xé bài hát.,(transitive) To separate into parts with force or sudden violence; to tear asunder; to split; to burst,4387
refuge,noun,nơi trú ẩn,But their hollow refuge will not shield them.,Nhưng nơi trú ẩn giả tạo ấy sẽ chẳng che chở họ được.,Something or someone turned to for safety or assistance; a recourse or resort,4388
ascent,noun,lên,The ascent is slowed by a series of dangerous crevasses.,Chuyến đi lên chậm vì có nhiều khe núi nguy hiểm.,The act of ascending. A motion upwards.,4389
pummel,verb,đấm thùm thụp,I was pummeled in the face by a policeman who had been a boxer.,Tôi bị một cảnh sát viên trước kia là võ sĩ quyền Anh đấm thùm thụp vào mặt.,To hit or strike heavily and repeatedly.,4390
aquifer,noun,tầng ngậm nước,The underground aquifers are drying out.,Những tầng ngậm nước dưới mặt đất đang cạn dần.,"An underground layer of water-bearing porous stone, earth, or gravel",4391
disintegrate,verb,tan rã,Help us reverse society’s trend of disintegrating families.,Hãy giúp chúng tôi đảo ngược khuynh hướng làm gia đình tan rã của xã hội.,"(transitive) To undo the integrity of, break into parts.",4392
tattered,adjective,bươm,"My marriage ended, and my life was in tatters .",Hôn nhân đổ vỡ và cuộc sống tôi tan nát .,"rent in tatters, torn, hanging in rags; ragged",4393
traumatic,adjective,chấn thương,The miracles Clark experienced during this traumatic event were just beginning.,Những phép lạ mà Clark đã trải qua trong sự kiện chấn thương này mới chỉ bắt đầu.,"of, caused by, or causing trauma",4394
resilient,adjective,đàn hồi,and it had a lot of resilience and strength and so on.,và nó rất đàn hồi và dẻo dai.,Able to endure tribulation without cracking.,4395
veer,verb,xoay,It patently veers toward propaganda.,Nó rõ ràng là xoay chiều tới các cuộc tuyên truyền.,(intransitive) to change direction or course suddenly; to swerve,4396
recalcitrant,adjective,cứng đầu cứng cổ,Don't let your recalcitrance take any more lives.,Đừng để sự ngoan cố của cậu tước đi thêm nhiều sinh mạng nữa.,a person who is recalcitrant,4398
vigor,noun,sinh lực,And you might like to have more in the way of good health and vigor .,Và có lẽ bạn muốn có thêm sinh lực và sức khỏe dồi dào.,(American) Alternative spelling of vigour.,4399
haphazard,adjective,lung tung,"Listen, I know this all seems a little haphazard , all right?","Nghe này, tôi biết chuyện này rất lung tung","random; chaotic; incomplete; not thorough, constant, or consistent",4400
degrading,adjective,làm giảm giá trị,Avoid all immorality and personally degrading practices.,Tránh tất cả những điều vô luân và những thực hành làm giảm giá trị của cá nhân mình.,Present participle of degrade.,4401
insurrection,noun,cuộc nổi dậy,"No more war, no more insurrections .","Không còn chiến tranh, không còn các cuộc nổi dậy",An organized opposition to authority; a mutiny; a rebellion,4402
servile,adjective,hèn hạ,The judiciary is increasingly servile .,Nhánh tư pháp ngày càng lệ thuộc .,of or pertaining to a slave.,4403
languorous,adjective,lừ đừ,"His walk... his terrible, languorous , insinuating walk.","Tướng đi của hắn... cái tướng đi khệnh khạng, lừ đừ , chướng mắt của hắn.","lacking energy, spirit, liveliness or vitality; languid, lackadaisical",4404
intractable,adjective,khó chữa,Intractable Disease.,Những căn bệnh khó chữa .,"Not tractable or to be drawn or guided by persuasion; not easily governed, managed, or directed; uncontrollable; incurable; violent; stubborn; obstinate.",4405
audacity,noun,sự táo bạo,"Where did this guy get this confidence, the audacity of it?","Từ đâu mà anh chàng này đã lấy được sự tự tin, sự táo bạo đó?","Insolent boldness, especially when imprudent or unconventional.",4406
stealth,verb,lén lút,Why are you sneaking around all stealth and shit?,Tại sao bà lại lén lút vậy?,"(uncountable) the attribute or characteristic of acting in secrecy, or in such a way that the actions are unnoticed or difficult to detect by others.",4407
provision,verb,điều khoản,The establishment of the Kanak Language Academy (KLA) was a provision of the Nouméa Accord.,Việc thiết lập Hovj viện Ngôn ngữ Kanak (KLA) là một điều khoản của Hiệp định Nouméa.,An item of goods or supplies obtained for future use.,4408
infidelity,noun,sự phản bội,Infidelity destroys that trust” —not to mention the further effects it has on children!,"Sự phản bội phá hủy lòng tin đó”, chưa kể đến những ảnh hưởng khác mà con cái phải chịu!",Unfaithfulness in marriage or other moral obligation.,4409
haven,verb,nơi ẩn náu,"If you're healthy, there's a safe haven up in Dalton.","Nếu bạn khoẻ mạnh, có nơi ẩn náu an toàn ở Dalton.",A harbour or anchorage protected from the sea.,4410
prescience,noun,sự biết trước,Prime Minister your prescience is humbling!,"Mạt tướng vô năng, thừa tướng thần cơ diệu toán",Knowledge of events before they take place; foresight; foreknowledge.,4411
dispel,verb,xua tan,May God separate between these two as only light can dispel darkness.,Chúa có thể tách rời cả hai chỉ ánh sáng mới có thể xua tan bóng tối.,"To drive away by scattering, or so to cause to vanish; to clear away; to banish; to dissipate.",4412
mutinous,adjective,làm binh biến,"The following day, a sailors' council took control of the base, and a train carrying the mutineers from Helgoland and Thüringen was stopped in Cuxhaven, where the men escaped.","Ngày hôm sau, một ủy ban thủy thủ nắm lấy quyền kiểm soát căn cứ; và chuyến tàu hỏa chở những người làm binh biến của Helgoland và Thüringen bị chặn lại tại Cuxhaven, nơi họ được giải thoát.",Likely to commit mutiny.,4413
implicitly,adverb,hoàn toàn,Who do you implicitly feel connected to?,Bạn ngầm thấy gần ai hơn?,In an implicit or implied manner.,4414
quavering,adjective,rung rung,Mr Dunthorneis quavering voice as he makes the announcement.,Giọng nói rung rung của ông Dunthorne khi ông thông báo.,Present participle of quaver.,4415
vengeance,noun,trả thù,"If you believe the Bible, perhaps you feel that in principle vengeance is wrong.","Nếu tin Kinh-thánh, có lẽ bạn nghĩ rằng trên nguyên tắc việc trả thù là sai.","Revenge taken for an insult, injury, or other wrong.",4416
erroneous,adjective,sai lầm,The people who had taken foreign wives humbly repented and corrected their erroneous ways.,Những người cưới vợ ngoại đã khiêm nhường ăn năn và sửa chữa sai lầm của mình.,Containing an error; inaccurate.,4417
adornment,noun,đồ trang trí,We have already seen Fisher’s elegant explanation for this elegant adornment .,Chúng ta đã thấy sự giải thích lịch sự của Fisher cho đồ trang trí tao nhã này.,A decoration; that which adorns.,4418
gallows,noun,giá xử giảo,It's called gallows humor.,Hãy coi đó là trò đùa chết chóc đi.,Wooden framework on which persons are put to death by hanging.,4419
martyr,verb,kẻ chết vì nghĩa,I don't want to become a martyr .,Tớ không muốn trở thành 1 kẻ chết vì nghĩa,"One who willingly accepts being put to death for adhering openly to one's religious beliefs; notably, saints canonized after martyrdom.",4420
uprising,noun,khởi nghĩa,February 14 – The First Serbian Uprising begins the Serbian Revolution.,14 tháng 2 - khởi nghĩa Serbia lần thứ nhất bắt đầu.,a popular revolt that attempts to overthrow a government or its policies; an insurgency or insurrection,4421
suffrage,noun,quyền đi bầu,Suffrage is universal for citizens over age 21.,Quyền bỏ phiếu dành cho mọi công dân trên 21 tuổi.,"The right or chance to vote, express an opinion, or participate in a decision.",4422
intent,adjective,mải mê,"I listened intently , caught up in his explanations.","Tôi chăm chú lắng nghe, mải mê với những điều anh giải thích.",The purpose of something that is intended.,4423
unkempt,adjective,không chải,"The brother did not know why he did it, as the young man had long, unkempt hair and a beard, was shabbily dressed, and did not even thumb a ride.","Anh không hiểu tại sao anh đã ngừng xe lại, vì người thanh niên này ăn mặc cách xốc xếch, tóc tai để dài không chải chuốt và để râu, và anh ta cũng chẳng ra hiệu xin quá giang.",Uncombed; dishevelled,4424
vivacious,adjective,hoạt bát,"Joyce, a vivacious office worker, peers at the document she holds.","Cô Joyce, một nhân viên văn phòng hoạt bát , đang xem qua một tài liệu.",Lively and animated; full of life and energy.,4425
insistent,adjective,cứ nhất định,And you insisted on us getting the cheaper one not too long ago.,Và anh cứ nhất định chúng ta nên lấy loại rẻ nhất không lâu trước đây.,(obsolete) Standing or resting on something.,4426
impudence,noun,hành động láo xược,Impudence,Đừng la nữa,"The quality of being impudent, not showing due respect.",4427
grope,verb,mò mẫm,She groped in utter darkness and deep despair.,Bà mò mẫm trong bóng tối và nỗi tuyệt vọng vô cùng.,(obsolete) To feel with or use the hands; to handle.,4428
asylum,noun,nơi ẩn náu,The issue of asylum seekers in Australia,Vấn đề về những người tìm nơi ẩn náu ở Úc,"The protection, physical and legal, afforded by such a place.",4429
defective,adjective,khuyết,Atrial septal defects are one of the more common types of these heart defects .,Khuyết tật vách tâm nhĩ là một trong các loại khuyết tật tim thường gặp hơn .,Having one or more defects.,4430
vengeful,adjective,dùng để trả thù,You've never felt vengeful ?,Cha chưa từng căm thù sao?,Vindictive or wanting vengeance.,4431
gibberish,adjective,vô nghĩa,"Examples: Blank pages, gibberish landing page content","Ví dụ: Trang trống, nội dung trang đích vô nghĩa","speech or writing that is unintelligible, incoherent or meaningless",4432
obedience,noun,nghe lời,"She was obedient , she did whatever her parents wanted.","Một cô gái ngoan ngoãn, nghe lời bố mẹ",The quality of being obedient.,4433
deliberately,adverb,cố tình,They could be deliberately feeding us bad intel.,Chúng có thể cố tình tung tin xấu.,"Intentionally, or after deliberation; not accidentally.",4434
accustomed,adjective,quen với,It's getting accustomed to the climate too.,Cũng phải tập làm quen với khí hậu nữa.,Familiar through use; usual; customary.,4435
feigned,adjective,giả vờ,He feigns inferiority to encourage his opponent's advance.,Nó giả vờ đuối thế để dụ địch thủ tiến lên.,"Pertaining to a pretense, a counterfeit, or something false or fraudulent.",4436
devoid,adjective,trống rỗng,I've known Jon long enough to see he isn't devoid of emotion.,Tôi biết Jon đủ lâu để hiểu rằng anh ta không có sự trống rỗng trong cảm xúc.,empty; having none of; completely without,4437
interpose,verb,xen,Her husband interposed .,Chồng bà nói xen vào .,(transitive) To insert something (or oneself) between other things.,4438
audible,adjective,nghe rõ,The ear converts sound waves into audible tones perceived in the brain.,Tai đổi sóng âm thành tiếng có thể nghe rõ trong óc.,Able to be heard.,4439
diminished,adjective,bị giảm đi,Your level of commitment seems to have diminished .,Sự nhiệt tình với bổn phận của anh đã bị giảm đi đấy.,Simple past tense and past participle of diminish.,4440
disappointment,noun,sự thất vọng,"But for other mothers, the journey ends in disappointment .","Nhưng với những con mẹ khác, chuyến đi kết thúc trong sự thất vọng",(uncountable) The emotion felt when a strongly held expectation is not met.,4441
adequate,adjective,đủ,I cannot adequately express how deeply indebted I am to you .,Tôi không thể đủ bày tỏ lòng biết ơn sâu sắc của tôi dành cho bạn .,"Equal to some requirement; proportionate, or correspondent; fully sufficient; as, powers adequate to a great work; an adequate definition lawfully and physically sufficient.",4442
vanity,noun,chuyện phù hoa,This too is vanity .,Điều đó cũng là sự hư-không .,"That which is vain, futile, or worthless; that which is of no value, use or profit.",4443
serene,adjective,thanh bình,The sky gives space and peace and serenity .,"Bầu trời mang đến cho vạn vật không gian , sự yên lành và thanh bình .","Peaceful, calm, unruffled; unaffected by disturbance.",4444
disentangle,verb,gỡ rối,"Lang's writings on Scottish history are characterised by a scholarly care for detail, a piquant literary style, and a gift for disentangling complicated questions.","Các bài viết của Lang về lịch sử Scotland được mô tả là có sự chăm chút uyên thâm đến từng chi tiết, sở hữu một phong cách văn học khêu gợi và một tài năng thiên bẩm trong việc gỡ rối các câu hỏi phức tạp.",(transitive) To free something from entanglement; to extricate or unknot,4445
nudge,verb,lấn,Turn on nudges :,Bật tùy chọn nhắc nhở hoạt động:,"(transitive) To push against gently, especially in order to gain attention or give a signal",4446
